beta,radius,ref_count,q05_ess_fraction,max_split_logZ_per_P_diff,mean_smc_mh_acceptance,min_smc_cess_fraction,mean_smc_step_count,mean_weighted_accuracy,mean_weighted_ce_l2_ratio
0.05,0.01,2700,0.9999919530549362,2.9765569807131164e-07,0.9999117476851852,0.9999408451267335,1.0,0.9973810099956437,0.0063520597648916025
0.05,0.02,2700,0.9998548436637957,1.2574866054468779e-06,0.9995460792824075,0.9992553534600402,1.0,0.9921745866851104,0.011071690532510874
0.05,0.03,2700,0.9992427871715815,2.4066445139057742e-06,0.9988881655092593,0.9962881768899988,1.0,0.9822055122409717,0.022067209790726454
0.05,0.04,2700,0.9977266294500983,4.467022436094642e-06,0.9979546440972222,0.9921583623645673,1.0,0.9682645730091097,0.0405258660766184
0.05,0.05,2700,0.995003847025924,6.869044787030386e-06,0.9969401041666667,0.983983987691922,1.0,0.951808106883316,0.06632427931050996
0.05,0.06,2700,0.990796889632072,8.744409782336962e-06,0.9956785300925926,0.9731715968382209,1.0,0.9340852011238515,0.09866342821220488
0.05,0.07,2700,0.9852104818231876,9.630099722838549e-06,0.9942679398148148,0.9556060373552255,1.0,0.9159023021574244,0.1365320884210509
0.05,0.08,2700,0.978027499267166,1.4706121220142568e-05,0.9929564525462963,0.9396698900081808,1.0,0.8978357259222897,0.17883317166019647
0.05,0.09,2700,0.9700682386048968,1.4775360842046864e-05,0.9915436921296297,0.9167157749784997,1.0,0.8802206575447601,0.22462770217292966
0.05,0.1,2700,0.959981827490009,1.81732220167298e-05,0.9900998263888889,0.9046157676911714,1.0,0.8632189765319055,0.2731543242580396
0.05,0.11,2700,0.949430185279291,1.7502791264088718e-05,0.9886624710648149,0.8801024443724185,1.0,0.8469187830926177,0.3237648647344395
0.05,0.12,2700,0.9381678870829364,1.864747076313796e-05,0.9873050491898148,0.8574901085323617,1.0,0.8314265570959645,0.37559286320933244
