rule,nmstv_mean,tv_mean,n_datasets,complexity_rank_nmstv_low_to_high
very_low_tv_spectral_teacher,0.3245703473792008,0.16224555328586762,1,1
low_tv_spectral_teacher,0.4070564814370742,0.2035282407185371,1,2
real_even_odd,0.4932864276461805,0.2466432138230902,1,3
teacher_nn,0.6843772639598127,0.3421886319799063,1,4
random_label,0.985558573825462,0.4927792869127309,1,5
