rule,radius,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,qc_pass,claim_status
low_tv_spectral_teacher,0.01,1.0,0.9855470561397325,3.4606388593818585e-06,0.0,True,claimable_rule_radius
low_tv_spectral_teacher,0.02,1.0,0.9304247797469577,1.0081376820357507e-05,4.862352148466827e-06,True,claimable_rule_radius
low_tv_spectral_teacher,0.03,1.0,0.7950281441944891,1.7658781483952067e-05,1.2837585585891829e-05,True,claimable_rule_radius
low_tv_spectral_teacher,0.05,1.0,0.5668728887560259,5.1766418205479726e-05,3.948331066232324e-05,True,claimable_rule_radius
low_tv_spectral_teacher,0.08,1.0,0.5880687991692061,0.00011002456948214268,8.275304913026579e-05,True,claimable_rule_radius
low_tv_spectral_teacher,0.12,1.0,0.5472258208735029,0.0008439040639293202,0.00015422824491252777,True,claimable_rule_radius
low_tv_spectral_teacher,0.15,1.0,0.5682761120913833,0.001689213427929623,0.00018891709872410878,True,claimable_rule_radius
low_tv_spectral_teacher,0.2,1.0,0.664658246839476,0.002286480090040957,0.00024422003715188114,True,claimable_rule_radius
low_tv_spectral_teacher,0.3,1.0,0.6050821261180165,0.004496547384001883,0.00032234809414480477,False,no_claim
low_tv_spectral_teacher,0.45,1.0,0.5901361953639812,0.006454128341835461,0.00042766456926456714,False,no_claim
low_tv_spectral_teacher,0.65,1.0,0.6012661681283071,0.008603607816639018,0.00043471568522102176,False,no_claim
low_tv_spectral_teacher,0.85,1.0,0.6459274724575329,0.011520128773819771,0.0004869858839378212,False,no_claim
low_tv_spectral_teacher,1.0,1.0,0.665022475653825,0.015714880009782557,0.0004839411746901362,False,no_claim
low_tv_spectral_teacher,1.25,1.0,0.6124261924557628,0.014480567573175868,0.0005354896639365885,False,no_claim
low_tv_spectral_teacher,1.5,1.0,0.6383561887755697,0.027014367999810912,0.0006465342323015113,False,no_claim
low_tv_spectral_teacher,1.75,1.0,0.6212441937442638,0.02154590734231669,0.000602113837678994,False,no_claim
low_tv_spectral_teacher,2.0,1.0,0.5882813719944081,0.024083870662156365,0.0006398939927775138,False,no_claim
low_tv_spectral_teacher,2.25,1.0,0.6351310133306445,0.02695295440174329,0.000688712185846468,False,no_claim
low_tv_spectral_teacher,2.5,1.0,0.6714276243408231,0.023020220665655736,0.0008073944907520455,False,no_claim
random_label,0.01,1.0,0.9578576558622047,7.175362326038197e-06,0.0,True,claimable_rule_radius
