rule,radius,n_units,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,mean_logZ,mean_delta_phi_energy,weighted_ce_mean,qc_pass,claim_status
low_tv_spectral_teacher,0.01,60,1.0,0.9855470561397325,3.4606388593818585e-06,0.0,-2.2242827767268936,0.0,0.004292154298345307,True,claimable_rule_radius
low_tv_spectral_teacher,0.02,60,1.0,0.9304247797469577,1.0081376820357507e-05,4.862352148466827e-06,-2.338416464124975,-4.505870011767928e-05,0.004497940486956716,True,claimable_rule_radius
low_tv_spectral_teacher,0.03,60,1.0,0.7950281441944891,1.7658781483952067e-05,1.2837585585891829e-05,-2.5673297797344303,-0.00013543111054383633,0.004892131168424895,True,claimable_rule_radius
low_tv_spectral_teacher,0.05,60,1.0,0.5668728887560259,5.1766418205479726e-05,3.948331066232324e-05,-3.5687595442049402,-0.0005307843535246929,0.006413683087957167,True,claimable_rule_radius
low_tv_spectral_teacher,0.08,60,1.0,0.5880687991692061,0.00011002456948214268,8.275304913026579e-05,-6.681761571727855,-0.0017597626510070907,0.010344274231763357,True,claimable_rule_radius
low_tv_spectral_teacher,0.12,60,1.0,0.5472258208735029,0.0008439040639293202,0.00015422824491252777,-13.183184338058725,-0.004326451465192196,0.017847899588315078,True,claimable_rule_radius
low_tv_spectral_teacher,0.15,60,1.0,0.5682761120913833,0.001689213427929623,0.00018891709872410878,-19.160517059216676,-0.006686235405641447,0.025413778949028708,True,claimable_rule_radius
low_tv_spectral_teacher,0.2,60,1.0,0.664658246839476,0.002286480090040957,0.00024422003715188114,-30.793144602070292,-0.011278666334521672,0.041455728689580106,True,claimable_rule_radius
low_tv_spectral_teacher,0.3,60,1.0,0.6050821261180165,0.004496547384001883,0.00032234809414480477,-52.78279008869968,-0.019959931824703032,0.0729834055743637,False,no_claim
low_tv_spectral_teacher,0.45,60,1.0,0.5901361953639812,0.006454128341835461,0.00042766456926456714,-82.4124735729576,-0.031657398656230046,0.11863793355641179,False,no_claim
low_tv_spectral_teacher,0.65,60,1.0,0.6012661681283071,0.008603607816639018,0.00043471568522102176,-117.01423731410712,-0.045317787026206174,0.1671990922675275,False,no_claim
low_tv_spectral_teacher,0.85,60,1.0,0.6459274724575329,0.011520128773819771,0.0004869858839378212,-144.88534531304856,-0.05632098797328134,0.2078667169949703,False,no_claim
low_tv_spectral_teacher,1.0,60,1.0,0.665022475653825,0.015714880009782557,0.0004839411746901362,-162.4745390373664,-0.06326500444557422,0.23716244372672834,False,no_claim
low_tv_spectral_teacher,1.25,60,1.0,0.6124261924557628,0.014480567573175868,0.0005354896639365885,-188.00151149444892,-0.0733427669631749,0.2770234543281925,False,no_claim
low_tv_spectral_teacher,1.5,60,1.0,0.6383561887755697,0.027014367999810912,0.0006465342323015113,-209.31096695840932,-0.08175550105869817,0.31344076294827716,False,no_claim
low_tv_spectral_teacher,1.75,60,1.0,0.6212441937442638,0.02154590734231669,0.000602113837678994,-228.3533865790502,-0.08927323482128834,0.3418816263665841,False,no_claim
low_tv_spectral_teacher,2.0,60,1.0,0.5882813719944081,0.024083870662156365,0.0006398939927775138,-241.8243741523446,-0.094591429678491,0.37024436938960903,False,no_claim
low_tv_spectral_teacher,2.25,60,1.0,0.6351310133306445,0.02695295440174329,0.000688712185846468,-260.5856880647444,-0.10199818605922521,0.4027933406538019,False,no_claim
low_tv_spectral_teacher,2.5,60,1.0,0.6714276243408231,0.023020220665655736,0.0008073944907520455,-269.2222414420587,-0.10540780049953881,0.41719448168998385,False,no_claim
random_label,0.01,60,1.0,0.9578576558622047,7.175362326038197e-06,0.0,-2.6291537634052546,0.0,0.00501242926889579,True,claimable_rule_radius
random_label,0.02,60,1.0,0.7273834879053582,3.477304079779319e-05,1.641277587918487e-05,-3.1525537471129916,-0.0002066324452063708,0.005913039957033832,True,claimable_rule_radius
random_label,0.03,60,1.0,0.5277140386522756,0.008605673702854639,0.014855649585879151,-57.17298489271915,-0.02153329298433237,0.10812278684454653,False,no_claim
random_label,0.05,60,1.0,0.5408416468190455,0.0035580560150670426,0.009580920984693335,-36.880838435762186,-0.013522181078703883,0.061557503120854756,True,claimable_rule_radius
random_label,0.08,60,1.0,0.6128867427849046,0.002084079583152441,0.0003041658298119423,-32.87836176742539,-0.011942048165819239,0.040071548168051904,True,claimable_rule_radius
random_label,0.12,60,1.0,0.6349835302976491,0.011886847808054882,0.0005860264633641031,-85.8085349856371,-0.032838287099183516,0.1102468558012972,False,no_claim
random_label,0.15,60,1.0,0.6030324058132857,0.017477409627195965,0.0008056420214489864,-139.2835181149103,-0.05394961087702529,0.18528546437992385,False,no_claim
random_label,0.2,60,1.0,0.5794849339810357,0.01566283238917596,0.00276328310930263,-238.43887958649626,-0.093095035855938,0.33422012142769286,False,no_claim
random_label,0.3,60,1.0,0.6459930269253221,0.019039308925965837,0.0016414161326837175,-359.3044815745342,-0.14081142037549502,0.5381098288511683,False,no_claim
random_label,0.45,60,1.0,0.6163441715002328,0.028234480754881164,0.0010625146554386277,-397.156206643585,-0.155754857039155,0.6244791057913638,False,no_claim
random_label,0.65,60,1.0,0.6190264850410596,0.018446707457014225,0.0007360268798183744,-385.3187547424047,-0.15108156375009849,0.6522455103716975,False,no_claim
random_label,0.85,60,1.0,0.6415973478018676,0.018939008374739375,0.00048284906003989947,-381.56454749055484,-0.14959944481924578,0.664751643447136,False,no_claim
random_label,1.0,60,1.0,0.5604243020557215,0.009823071735803058,0.0005103501193219861,-382.79825258671565,-0.1500864977589066,0.6720819258443063,False,no_claim
random_label,1.25,60,1.0,0.62874179904063,0.008351617059404225,0.0003052956566362166,-385.64780742432794,-0.15121147005958252,0.6803151505222337,False,no_claim
random_label,1.5,60,1.0,0.5907958766246256,0.008954482515175988,0.0005326352879331842,-387.55708427848526,-0.15196523115478877,0.6824522820151245,False,no_claim
random_label,1.75,60,1.0,0.6081846451414051,0.009606768942632835,0.0004910158014742674,-391.0875740898398,-0.15335902894845424,0.6862780616723625,False,no_claim
random_label,2.0,60,1.0,0.6103232672499395,0.006354566272262423,0.0006210078522017423,-394.39710391592973,-0.15466559421734088,0.6921095572305365,False,no_claim
random_label,2.25,60,1.0,0.5947084776411142,0.011412067906094708,0.00025545030595714146,-398.2445594920431,-0.15618452654111245,0.6982849653720158,False,no_claim
random_label,2.5,60,1.0,0.5842624472995932,0.0077486347768016915,0.00029160085070099574,-402.410743773173,-0.1578292893840378,0.7029186831694373,False,no_claim
real_even_odd,0.01,60,1.0,0.9973439958919704,0.0010378290840706063,0.0,-66.0318715500112,0.0,0.12832269667399634,True,claimable_rule_radius
real_even_odd,0.02,60,1.0,0.9882329790509422,0.0005896275788661355,0.024437585280765176,-40.13864607239084,0.010222355103679574,0.07763817682086362,False,no_claim
real_even_odd,0.03,60,1.0,0.9558720057989375,5.486190237170382e-06,0.018597791237793034,-1.5305157952246153,0.025464412062687167,0.0029059208811569297,False,no_claim
real_even_odd,0.05,60,1.0,0.6946814842685384,1.698663114881018e-05,0.01723027596950732,-2.0926971777668886,0.02524246915603802,0.003808025529856576,False,no_claim
real_even_odd,0.08,60,1.0,0.5238184564941829,0.003259127054748247,0.02129833932996384,-28.720804496695333,0.014729990940906379,0.049348079467671176,False,no_claim
real_even_odd,0.12,60,1.0,0.5477935853411062,0.0012464368126768011,0.016820787501902787,-12.261002599906602,0.021228136182433705,0.014960180131053175,False,no_claim
real_even_odd,0.15,60,1.0,0.6084821026406948,0.04450644488170926,0.0204314761822983,-61.34719698492096,0.0018494569937189973,0.08256017996246116,False,no_claim
real_even_odd,0.2,60,1.0,0.6537806467818171,0.0033293821056140003,0.01860398625816395,-36.95267017861582,0.011480142665375198,0.045456052942805976,False,no_claim
real_even_odd,0.3,60,1.0,0.6329227110819058,0.009140069082959168,0.017125236118708836,-86.33365643993412,-0.008014917050897321,0.11502438472727879,False,no_claim
real_even_odd,0.45,60,1.0,0.6062724833622946,0.009880702881833148,0.017629472347889287,-117.30959011439404,-0.020243868363356836,0.16782860796852772,False,no_claim
real_even_odd,0.65,60,1.0,0.6224058772928688,0.014737466432688117,0.017721056472735284,-161.7940254301361,-0.03780582466645279,0.2403555421407025,False,no_claim
real_even_odd,0.85,60,1.0,0.6038928518014767,0.013996423065122976,0.017737116167409958,-186.22034704411627,-0.04744906257169565,0.2820829355313011,False,no_claim
real_even_odd,1.0,60,1.0,0.6570505054211846,0.013753364674592192,0.017343251277409693,-203.96451388001125,-0.054454260690880406,0.3139237479549794,False,no_claim
real_even_odd,1.25,60,1.0,0.6231403620135841,0.014062353586672656,0.0194910016991733,-229.34019079754003,-0.06447229342579112,0.35452088994067527,False,no_claim
real_even_odd,1.5,60,1.0,0.5662737315622206,0.019879742936741635,0.018419332807359648,-247.6642102361097,-0.07170641085120351,0.38893140539109466,False,no_claim
real_even_odd,1.75,60,1.0,0.6374279072447743,0.024816568237450817,0.01619826898890041,-261.8908030092399,-0.07732291016945467,0.4180980794103517,False,no_claim
real_even_odd,2.0,60,1.0,0.6208716768153814,0.023924955414900827,0.016646735622192394,-280.85466360236023,-0.08480962970878367,0.4499175326562223,False,no_claim
real_even_odd,2.25,60,1.0,0.5984123797564953,0.01878203158986267,0.018338194302738423,-291.3739678731132,-0.08896253309242082,0.4699735953232537,False,no_claim
real_even_odd,2.5,60,1.0,0.584960695008451,0.018888124303845573,0.016839025139303392,-301.28060208701714,-0.09287356120687165,0.4881658341952678,False,no_claim
teacher_nn,0.01,60,1.0,0.9671773498985038,5.045169271054763e-06,0.0,-2.0973413171195063,0.0,0.004033005718139271,True,claimable_rule_radius
teacher_nn,0.02,60,1.0,0.8494354119554718,1.1845868465706989e-05,9.550085167472787e-06,-2.272591060194263,-6.918663366551773e-05,0.004347461431465463,True,claimable_rule_radius
