dataset_id,split_id,rule,ref_id,theta_path,dataset_path,attempt_seed,optimizer_chain,P,train_error,test_error,CE_mean_train,CE_sum_train,CE_mean_test,theta_norm,min_margin,q05_margin,median_margin,mean_margin,extra_reference_search,pool_rank,probe_label,source_split_logZ_per_P_diff,source_logZ_inf_full,radius
0,0,low_tv_spectral_teacher,1028,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1028/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703628,adam,2461,0.0,0.1259765625,0.0005433583508754,0.2781994756482098,0.7440800927533693,13.923105608304054,3.840391755188543,6.033410351775042,10.44816236689594,9.603476464594708,True,89,high_split,0.0055858294224825,-76.8874851457121,0.3
0,0,low_tv_spectral_teacher,16,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_016/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700016,adam,2461,0.0,0.13037109375,0.0008121668056065,0.4158294044705786,0.7150065932886506,13.998038262787924,2.95468720316023,5.690032584757814,9.922724181173397,9.127536788323363,,17,low_split,1.825048379504548e-05,-64.74746079949286,0.3
0,0,low_tv_spectral_teacher,52,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_052/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700052,adam,2461,0.0,0.12744140625,0.0122186165181975,6.255931657317167,0.4490398131699945,12.284403609126777,0.8110644083891576,2.6702395375333583,7.321445803999942,6.446042874322923,,53,high_split,0.010983757661275,-176.00349288488542,1.0
0,0,low_tv_spectral_teacher,57,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_057/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700057,adam,2461,0.0,0.130859375,0.0007544462206036,0.3862764649490745,0.7181895064869459,14.526173526122433,3.446065815273097,5.437393650540958,10.12426576095948,9.175526547832517,,58,low_split,0.0001863214703676,-180.5852623361273,1.0
0,0,low_tv_spectral_teacher,46,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/04_exact_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_046/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2700046,adam,2461,0.0,0.13232421875,0.0003471317579849,0.1777314600883033,0.8039054484686274,14.225234556596932,4.404105852020921,6.298839646977271,10.421071966164105,9.717869676355368,,47,high_split,0.0270017035833214,-264.81299784366564,2.5
0,0,low_tv_spectral_teacher,1014,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1014/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703614,adam,2461,0.0,0.1328125,0.0005810941471934,0.2975202033630451,0.7926235287655152,15.375095812075292,3.960944744557248,5.810247430440096,10.8361978123127,9.859173861835002,True,75,low_split,4.598067004504386e-05,-285.5797161149856,2.5
3,0,random_label,36,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/04_exact_reference_search/selected_reference_pool/split_000/random_label/ref_036/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703036,adam,2461,0.0,0.52490234375,0.0033198001600279,1.699737681934328,3.862905980617075,17.202051525319256,2.191221310541174,3.95709187270808,8.450104180325752,9.365024471426782,,37,high_split,0.0255170805388762,-335.3992543090848,0.3
3,0,random_label,1018,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1018/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703618,adam,2461,0.0,0.5166015625,0.0055750443109827,2.8544226872231864,3.3736433349674257,19.155861812157934,0.7899404034305522,3.93099949034843,7.750869108778096,8.152068265204552,True,79,low_split,0.0001616161959673,-344.4591305484725,0.3
3,0,random_label,1011,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1011/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703611,adam,2461,0.0,0.52294921875,0.0024602013596339,1.2596230961325952,3.747229162921447,19.01931956065722,2.2348227280117614,4.583009112392917,8.767792396432533,9.294933902140048,True,72,high_split,0.0099170922645946,-390.1451029374869,1.0
3,0,random_label,39,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/04_exact_reference_search/selected_reference_pool/split_000/random_label/ref_039/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703039,adam,2461,0.0,0.52392578125,0.0103212116607544,5.284460370306301,2.8861183063059923,19.732152196372613,0.5478895279389522,2.9511192360773384,6.539902536065902,7.071021486626208,,40,low_split,7.662312999537287e-05,-405.34034916301385,1.0
