rule,ref_id,radius,probe_label,replicate_idx,seed,n_samples,source_split_logZ_per_P_diff,source_logZ_inf_full,elapsed_s,finite,logZ_inf_full,phi_energy,split_logZ_per_P_diff,ess_fraction,weighted_ce,weighted_error,smc_step_count,smc_total_step_count,smc_mean_mh_acceptance
low_tv_spectral_teacher,1028,0.3,high_split,0,2027092800,1024,0.0055858294224825,-76.8874851457121,18.207287549972534,True,-78.64650937137327,-0.03195713505541376,0.001656530244715769,0.8045690604253788,0.09012094537831125,0.03573828847247653,48,96,0.57025146484375
low_tv_spectral_teacher,1028,0.3,high_split,1,2037092800,1024,0.0055858294224825,-76.8874851457121,17.89580535888672,True,-71.60456200255054,-0.02909571800184906,0.002932973846140214,0.9725460258393945,0.08145168696613539,0.03365879232328294,49,95,0.590172697368421
low_tv_spectral_teacher,16,0.3,low_split,0,2026080800,1024,1.825048379504548e-05,-64.74746079949286,15.864260911941528,True,-55.814215206055124,-0.02267948606503662,0.003446444334882912,0.9037467464971077,0.0651650607036841,0.025967308597517343,41,82,0.6154487423780488
low_tv_spectral_teacher,16,0.3,low_split,1,2036080800,1024,1.825048379504548e-05,-64.74746079949286,16.1498441696167,True,-59.08334693529689,-0.02400786141214827,0.0016736501161437164,0.956255015522178,0.06847953089604611,0.026915062369208806,41,81,0.6336564429012346
low_tv_spectral_teacher,52,1.0,high_split,0,2026123800,1024,0.010983757661275,-176.00349288488542,28.855012893676758,True,-195.10589037908485,-0.07927911027187519,0.0026695638878356156,0.841509790978375,0.2565401874794135,0.10737957577602657,73,144,0.3591715494791667
low_tv_spectral_teacher,52,1.0,high_split,1,2036123800,1024,0.010983757661275,-176.00349288488542,26.003177404403687,True,-194.40415765130726,-0.0789939689765572,0.011075483141773994,0.7584785999911131,0.29623983279674276,0.12135858002598852,68,136,0.3748994715073529
low_tv_spectral_teacher,57,1.0,low_split,0,2026128800,1024,0.0001863214703676,-180.5852623361273,25.158571243286133,True,-186.4355092853803,-0.07575599727158891,0.004044283314289233,0.898047961452388,0.27017091388908526,0.11547910318188676,67,133,0.381843280075188
low_tv_spectral_teacher,57,1.0,low_split,1,2036128800,1024,0.0001863214703676,-180.5852623361273,25.241066694259644,True,-190.2658202199152,-0.0773124015521801,0.004719025276544635,0.8239109521408673,0.2703088148557292,0.11765183382339303,70,135,0.37719907407407405
low_tv_spectral_teacher,46,2.5,high_split,0,2026132800,1024,0.0270017035833214,-264.81299784366564,32.39009213447571,True,-296.0247655035619,-0.12028637363005361,0.0037068941466678867,0.9849384535577576,0.425474455849088,0.1750731784990013,88,176,0.2729825106534091
low_tv_spectral_teacher,46,2.5,high_split,1,2036132800,1024,0.0270017035833214,-264.81299784366564,30.20363450050354,True,-283.36169495913987,-0.11514087564369763,0.014447245684575226,0.8840829755864043,0.43248476772773803,0.18267546167913576,89,174,0.27458243534482757
low_tv_spectral_teacher,1014,2.5,low_split,0,2027100800,1024,4.598067004504386e-05,-285.5797161149856,33.942209243774414,True,-281.80228278046536,-0.11450722583521551,0.00466346544718711,0.6802377402811711,0.39069031408488963,0.1690775423242255,93,182,0.26543183379120877
low_tv_spectral_teacher,1014,2.5,low_split,1,2037100800,1024,4.598067004504386e-05,-285.5797161149856,31.319266080856323,True,-297.68919425930255,-0.12096269575753862,0.005995244785183208,0.7120990180985638,0.44061632360474223,0.19407548959874027,89,173,0.27404714595375723
random_label,36,0.3,high_split,0,2029100800,1024,0.0255170805388762,-335.3992543090848,34.14582681655884,True,-364.03901239412085,-0.1479232069866399,0.001776517459351395,0.7584051230433219,0.5056925997064513,0.1939054519238424,89,176,0.3767311789772727
random_label,36,0.3,high_split,1,2039100800,1024,0.0255170805388762,-335.3992543090848,34.42158508300781,True,-359.1510526046164,-0.14593703884787337,0.009019609309484082,0.70764535678912,0.4876623620130082,0.1941262934435704,90,180,0.3684895833333333
random_label,1018,0.3,low_split,0,2030082800,1024,0.0001616161959673,-344.4591305484725,28.520530939102173,True,-308.15787248423084,-0.12521652681195888,0.0055977818083403335,0.817737259105674,0.4471973380166661,0.1903657268113892,80,158,0.42282683939873417
random_label,1018,0.3,low_split,1,2040082800,1024,0.0001616161959673,-344.4591305484725,29.171977996826172,True,-329.7166017823251,-0.13397667687213535,0.006023592724971354,0.6582106891788805,0.4746335215475119,0.19198637108461564,80,159,0.4181038718553459
random_label,1011,1.0,high_split,0,2030082800,1024,0.0099170922645946,-390.1451029374869,27.80337905883789,True,-393.8805349245033,-0.1600489780270229,0.010347285924105578,0.7558246342128411,0.6737571050611808,0.3774389725144577,77,147,0.40058992346938777
random_label,1011,1.0,high_split,1,2040082800,1024,0.0099170922645946,-390.1451029374869,26.264193296432495,True,-392.7272110780784,-0.1595803376993411,0.004031641207333266,0.7483859775912499,0.6860219760942845,0.4197411888292788,67,134,0.4464639692164179
random_label,39,1.0,low_split,0,2029110800,1024,7.662312999537287e-05,-405.34034916301385,27.637157201766968,True,-396.1363378738543,-0.1609655984859221,0.005138187747415722,0.7644424880282407,0.6699062533677628,0.38326973517044083,74,144,0.4017876519097222
