rule,ref_id,radius,probe_label,replicate_count,logZ_inf_full_mean,logZ_inf_full_sd,phi_energy_mean,phi_energy_sd,split_q50,split_q95,split_max,split_fail_rate,ess_min,elapsed_s_sum,source_split_logZ_per_P_diff,source_logZ_inf_full
low_tv_spectral_teacher,1028,0.3,high_split,2,-75.12553568696191,4.979408737253325,-0.030526426528631412,0.002023327402378433,0.0022947520454279914,0.002869151666068992,0.002932973846140214,0.0,0.8045690604253788,36.10309290885925,0.0055858294224825,-76.8874851457121
low_tv_spectral_teacher,16,0.3,low_split,2,-57.448781070676006,2.3116252143389553,-0.023343673738592446,0.0009393032159036791,0.0025600472255133144,0.003357804623945952,0.003446444334882912,0.0,0.9037467464971077,32.01410508155823,1.825048379504548e-05,-64.74746079949286
low_tv_spectral_teacher,52,1.0,high_split,2,-194.75502401519606,0.49619997039207187,-0.07913653962421618,0.00020162534351566528,0.006872523514804805,0.010655187179077074,0.011075483141773994,0.5,0.7584785999911131,54.858190298080444,0.010983757661275,-176.00349288488542
low_tv_spectral_teacher,57,1.0,low_split,2,-188.35066475264776,2.708438835862615,-0.0765341994118845,0.001100544021073803,0.004381654295416934,0.004685288178431865,0.004719025276544635,1.0,0.8239109521408673,50.399637937545776,0.0001863214703676,-180.5852623361273
low_tv_spectral_teacher,46,2.5,high_split,2,-289.69323023135087,8.954143052604442,-0.11771362463687562,0.003638416518734045,0.009077069915621556,0.013910228107679858,0.014447245684575226,0.5,0.8840829755864043,62.59372663497925,0.0270017035833214,-264.81299784366564
low_tv_spectral_teacher,1014,2.5,low_split,2,-289.74573851988396,11.23374283879618,-0.11773496079637708,0.004564706557820463,0.005329355116185159,0.0059286558182834025,0.005995244785183208,1.0,0.6802377402811711,65.26147532463074,4.598067004504386e-05,-285.5797161149856
random_label,36,0.3,high_split,2,-361.5950324993686,3.4563095133257558,-0.14693012291725666,0.0014044329594984915,0.005398063384417739,0.008657454716977448,0.009019609309484082,0.5,0.70764535678912,68.56741189956665,0.0255170805388762,-335.3992543090848
random_label,1018,0.3,low_split,2,-318.93723713327796,15.244323680447541,-0.12959660184204713,0.006194361511762514,0.005810687266655843,0.006002302179139803,0.006023592724971354,1.0,0.6582106891788805,57.692508935928345,0.0001616161959673,-344.4591305484725
random_label,1011,1.0,high_split,2,-393.30387300129087,0.8155231127111867,-0.159814657863182,0.00033137875364127993,0.007189463565719422,0.010031503688266961,0.010347285924105578,1.0,0.7483859775912499,54.067572355270386,0.0099170922645946,-390.1451029374869
random_label,39,1.0,low_split,2,-398.1073322254971,2.7874069434539344,-0.1617664901363255,0.001132631833991854,0.002733885238530967,0.004897757496527246,0.005138187747415722,0.5,0.6581837348392179,53.79700803756714,7.662312999537287e-05,-405.34034916301385
random_label,18,2.5,high_split,2,-438.9242584870252,1.0668643298493194,-0.17835199450915284,0.00043350846397780814,0.0026124626499844095,0.003198554355419141,0.003263675656023,0.0,0.8618935842327009,59.38222789764404,0.0146393586246915,-431.1805035844932
random_label,1001,2.5,low_split,2,-437.9091664934784,16.736880970842893,-0.17793952315866654,0.0068008455793754155,0.005944204152419647,0.010012648511785347,0.010464697885048203,0.5,0.6553501635970094,61.374799966812134,6.907868099466854e-07,-432.1053874305559
real_even_odd,1008,0.3,high_split,2,-67.43755393981489,2.034591759530743,-0.02740250058505278,0.0008267337503172464,0.00203216107742982,0.0023451025278344536,0.0023798738001016354,0.0,0.5776688548666117,32.680466175079346,0.0048569688461121,-62.53875563510656
real_even_odd,1020,0.3,low_split,2,-66.69132707800593,1.9532448336089552,-0.027099279592850842,0.000793679331007295,0.0008373522410413607,0.000991451952383361,0.001008574142532472,0.0,0.5997231853905729,32.629536151885986,1.543095100898197e-05,-67.61241744242102
real_even_odd,46,1.0,high_split,2,-170.47668375231282,4.935521845060532,-0.06927130587253671,0.0020054944514671046,0.004356168350753815,0.005016537674558707,0.0050899120438703625,0.5,0.847369704572509,49.479405879974365,0.0145139559817157,-156.56263883802754
real_even_odd,21,1.0,low_split,2,-181.70434837353798,8.370469029739422,-0.07383354261419667,0.0034012470661273606,0.0013066834298854258,0.001889073033449333,0.0019537829894008783,0.0,0.6670816311099753,50.99193453788757,9.368759873987928e-06,-185.848244107244
real_even_odd,1008,2.5,high_split,2,-296.9893898157079,7.058752541766396,-0.12067833799906863,0.0028682456488282903,0.0019442184092408848,0.002513990216626518,0.002577298195224922,0.0,0.832820133513159,58.88860750198364,0.0236922523599258,-280.29149401038484
real_even_odd,34,2.5,low_split,2,-280.3559796592101,8.651567274923803,-0.11391953663519305,0.0035154682141096292,0.0071938990183527275,0.011445533442001546,0.011917937266851414,0.5,0.7360679269094158,66.84228706359863,3.428839839007392e-05,-304.2206255983193
teacher_nn,45,0.3,high_split,2,-112.58422001160415,1.3764114815737185,-0.04574734661178551,0.0005592895089694117,0.0011833379847759,0.0013210052088605889,0.001336301567092221,0.0,0.7456591686931029,42.4850594997406,0.008127618888717,-98.5009898822009
teacher_nn,23,0.3,low_split,2,-116.44541819979017,1.5486355750279897,-0.047316301584636386,0.0006292708553547348,0.0016400359566475838,0.0020976438678105757,0.0021484891912731305,0.0,0.7413838858781381,37.116583824157715,4.298480260136172e-05,-112.63182523415992
teacher_nn,1025,1.0,high_split,2,-254.5427466046621,8.834703732640568,-0.10343061625544986,0.003589883678439896,0.004067206502332224,0.006833128330125003,0.007140452977657534,0.5,0.7557885477026515,54.66105604171753,0.016154341358012,-246.434594145122
teacher_nn,1003,1.0,low_split,2,-268.3011871340297,5.950710192574322,-0.10902120566193813,0.0024180049543170864,0.001517127723259458,0.0015248146386081958,0.0015256687403136112,0.0,0.7431860849080085,52.21935749053955,0.0002831105696116,-269.85704636052674
