run,radius,high_beta_count,slope_phi_energy_per_beta,slope_ci95_low,slope_ci95_high,slope_significant
30_dataset,0.01,6,0.0018631206419406532,0.0010283969185063166,0.00269784436537499,yes
30_dataset,0.02,6,0.0018684197345606975,0.0010315371997840742,0.002705302269337321,yes
30_dataset,0.03,6,0.0018774232603899449,0.0010360663278143098,0.0027187801929655798,yes
30_dataset,0.04,6,0.0018889683787816879,0.0010407816126827012,0.0027371551448806745,yes
30_dataset,0.05,6,0.0019018943879931507,0.0010454968539664877,0.0027582919220198138,yes
30_dataset,0.06,6,0.0019156974141537357,0.0010498132904289761,0.002781581537878495,yes
30_dataset,0.07,6,0.0019298229706744942,0.0010531034699420867,0.0028065424714069018,yes
30_dataset,0.08,6,0.0019438681278769172,0.0010560313589666713,0.002831704896787163,yes
30_dataset,0.09,6,0.001956402302938575,0.0010564379787517022,0.002856366627125448,yes
30_dataset,0.1,6,0.001968514906372976,0.0010575079027656438,0.0028795219099803085,yes
30_dataset,0.11,6,0.001979936281247852,0.001056050125960597,0.002903822436535107,yes
30_dataset,0.12,6,0.001989222403380832,0.0010522243417164655,0.0029262204650451983,yes
30_dataset,0.13,6,0.0019979658336180283,0.0010491627318927519,0.0029467689353433048,yes
30_dataset,0.14,6,0.002005693784216364,0.0010447038095420741,0.002966683758890654,yes
30_dataset,0.15,6,0.002011467080238613,0.0010376950552680986,0.002985239105209127,yes
30_dataset,0.16,6,0.002015104518476533,0.0010293697999620604,0.0030008392369910057,yes
30_dataset,0.17,6,0.0020198375156364108,0.0010232901655387817,0.0030163848657340396,yes
30_dataset,0.18,6,0.002020102919555947,0.0010124682875833576,0.0030277375515285368,yes
30_dataset,0.19,6,0.0020196578822245593,0.0010007566604381748,0.0030385591040109437,yes
30_dataset,0.2,6,0.002019163891309584,0.0009914913132604765,0.0030468364693586915,yes
30_dataset,0.21,6,0.002017514574722015,0.0009781974927137126,0.003056831656730317,yes
30_dataset,0.22,6,0.0020116563452734957,0.0009603476057661571,0.0030629650847808342,yes
30_dataset,0.23,6,0.002007905775814541,0.0009483453502759781,0.003067466201353104,yes
30_dataset,0.24,6,0.0020035894826004124,0.0009343349253830174,0.0030728440398178074,yes
30_dataset,0.25,6,0.0019959073058155702,0.0009176111051834551,0.003074203506447685,yes
30_dataset,0.26,6,0.00198788063277692,0.0009001729495415759,0.003075588316012264,yes
30_dataset,0.27,6,0.001979046769713895,0.0008790034513167617,0.0030790900881110285,yes
30_dataset,0.28,6,0.0019687259692503633,0.0008636107049733788,0.0030738412335273475,yes
30_dataset,0.29,6,0.0019577385490067425,0.0008462135254713879,0.003069263572542097,yes
30_dataset,0.3,6,0.0019481420039578212,0.0008273438302023785,0.003068940177713264,yes
30_dataset,0.31,6,0.00193642535579413,0.0008075131742735051,0.0030653375373147548,yes
30_dataset,0.32,6,0.001922170470897196,0.0007860927558551332,0.0030582481859392587,yes
30_dataset,0.33,6,0.0019110275419513597,0.0007693791595855075,0.0030526759243172117,yes
30_dataset,0.34,6,0.0018972009984572554,0.0007468287792254176,0.003047573217689093,yes
30_dataset,0.35,6,0.0018845998656107294,0.0007259821597878598,0.003043217571433599,yes
30_dataset,0.36,6,0.0018721413351329226,0.0007087349825090747,0.0030355476877567704,yes
30_dataset,0.37,6,0.0018556447326115552,0.0006886228260767266,0.0030226666391463836,yes
30_dataset,0.38,6,0.0018437831408383391,0.0006654560007655548,0.0030221102809111235,yes
30_dataset,0.39,6,0.00182817606916963,0.000641125999763082,0.003015226138576178,yes
30_dataset,0.4,6,0.0018123705124484647,0.0006209325428256159,0.0030038084820713136,yes
30_dataset,0.41,6,0.0017971434008789817,0.0005974147060148853,0.0029968720957430778,yes
30_dataset,0.42,6,0.0017860676523311922,0.0005849226531708343,0.0029872126514915503,yes
30_dataset,0.43,6,0.0017681656024013935,0.0005578941377161254,0.0029784370670866613,yes
30_dataset,0.44,6,0.0017563154779494268,0.000539504108573184,0.0029731268473256697,yes
30_dataset,0.45,6,0.0017410323644034597,0.0005209562364755602,0.0029611084923313593,yes
