beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.05,0.01,2700,-2.3012058848270507,0.00047445960393265176,-2.3012058848270507,0.00047445960393265176,0.0,-2.3016803444309835,pass
0.05,0.02,2700,-1.6083436720225415,0.0004618483045122885,-1.6083436720225415,0.0004618483045122885,0.0,-1.6088055203270537,pass
0.05,0.03,2700,-1.2030643505853074,0.00043537994718034333,-1.2030643505853074,0.00043537994718034333,0.0,-1.2034997305324877,pass
0.05,0.04,2700,-0.9155348129404665,0.00039588328265744593,-0.9155348129404665,0.00039588328265744593,0.0,-0.915930696223124,pass
0.05,0.05,2700,-0.692529428693939,0.0003453954099905589,-0.692529428693939,0.0003453954099905589,0.0,-0.6928748241039295,pass
0.05,0.06,2700,-0.5103386095052721,0.0002862969232859688,-0.5103386095052721,0.0002862969232859688,0.0,-0.5106249064285581,pass
0.05,0.07,2700,-0.3563140998935143,0.00022069671950531385,-0.3563140998935143,0.00022069671950531385,0.0,-0.3565347966130196,pass
0.05,0.08,2700,-0.22290560125437237,0.00015027086482204426,-0.22290560125437237,0.00015027086482204428,-2.710505431213761e-20,-0.22305587211919442,pass
0.05,0.09,2700,-0.10524281170526509,7.630492872718708e-05,-0.10524281170526509,7.630492872718708e-05,0.0,-0.10531911663399228,pass
0.05,0.1,2700,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.05,0.11,2700,0.09519485416090598,-7.787567100054756e-05,0.09519485416090598,-7.787567100054756e-05,0.0,0.09527272983190653,pass
0.05,0.12,2700,0.1820931885248457,-0.00015672915052578643,0.1820931885248457,-0.00015672915052578645,2.710505431213761e-20,0.1822499176753715,pass
0.05,0.13,2700,0.262025189580749,-0.00023598480247196085,0.262025189580749,-0.00023598480247196085,0.0,0.26226117438322094,pass
0.05,0.14,2700,0.3360249383213702,-0.00031508916953973897,0.3360249383213702,-0.00031508916953973897,0.0,0.33634002749090997,pass
0.05,0.15,2700,0.4049117707640401,-0.00039401903052558354,0.4049117707640401,-0.00039401903052558354,0.0,0.4053057897945657,pass
0.05,0.16,2700,0.4693468766168986,-0.0004720753678365469,0.4693468766168986,-0.0004720753678365469,0.0,0.46981895198473517,pass
0.05,0.17,2700,0.5298699771466149,-0.0005497755850791951,0.5298699771466149,-0.0005497755850791951,0.0,0.5304197527316941,pass
0.05,0.18,2700,0.5869292972021717,-0.0006264102677656359,0.5869292972021717,-0.0006264102677656359,0.0,0.5875557074699373,pass
0.05,0.19,2700,0.640899571724195,-0.0007021125282890703,0.640899571724195,-0.0007021125282890703,0.0,0.6416016842524841,pass
0.05,0.2,2700,0.6920983316298948,-0.0007764924740347752,0.6920983316298948,-0.0007764924740347752,0.0,0.6928748241039295,pass
0.05,0.21,2700,0.7407955923569499,-0.0008502249285255913,0.7407955923569499,-0.0008502249285255913,0.0,0.7416458172854755,pass
0.05,0.22,2700,0.787225126344882,-0.0009224275909541784,0.787225126344882,-0.0009224275909541784,0.0,0.7881475539358361,pass
0.05,0.23,2700,0.8315877910586478,-0.0009940591365994052,0.8315877910586478,-0.0009940591365994052,0.0,0.8325818501952472,pass
0.05,0.24,2700,0.8740606540710488,-0.0010640877082521592,0.8740606540710488,-0.0010640877082521592,0.0,0.875124741779301,pass
0.05,0.25,2700,0.9147978712568723,-0.0011328249662517025,0.9147978712568723,-0.0011328249662517027,2.168404344971009e-19,0.915930696223124,pass
0.05,0.26,2700,0.9539353457301992,-0.00120065275695122,0.9539353457301992,-0.00120065275695122,0.0,0.9551359984871505,pass
0.05,0.27,2700,0.9915942130253682,-0.0012672842391351444,0.9915942130253682,-0.0012672842391351444,0.0,0.9928614972645033,pass
0.05,0.28,2700,1.0278824155846216,-0.0013324360102179831,1.0278824155846216,-0.0013324360102179831,0.0,1.0292148515948396,pass
0.05,0.29,2700,1.0628957692703995,-0.0013966137978667587,1.0628957692703995,-0.0013966137978667587,0.0,1.0642923830682662,pass
0.05,0.3,2700,1.09672066140553,-0.0014599524929652151,1.09672066140553,-0.0014599524929652151,0.0,1.0981806138984953,pass
0.05,0.31,2700,1.1294354648287401,-0.0015220878759197845,1.1294354648287401,-0.0015220878759197843,-2.168404344971009e-19,1.1309575527046598,pass
0.05,0.32,2700,1.161110760891094,-0.001583015197570966,1.161110760891094,-0.001583015197570966,0.0,1.1626937760886649,pass
0.05,0.33,2700,1.1918107139047274,-0.0016426298256746027,1.1918107139047274,-0.0016426298256746027,0.0,1.193453343730402,pass
0.05,0.34,2700,1.2215925792053288,-0.0017019976302947739,1.2215925792053288,-0.0017019976302947739,0.0,1.2232945768356236,pass
0.05,0.35,2700,1.25051134037963,-0.0017593833344035847,1.25051134037963,-0.0017593833344035847,0.0,1.2522707237140336,pass
0.05,0.36,2700,1.2786134226741739,-0.0018171088996929415,1.2786134226741739,-0.0018171088996929408,-6.505213034913027e-19,1.2804305315738669,pass
0.05,0.37,2700,1.3059454839053588,-0.0018732560514405307,1.3059454839053588,-0.0018732560514405307,0.0,1.3078187399567993,pass
0.05,0.38,2700,1.3325484463154906,-0.001928062040923103,1.3325484463154906,-0.001928062040923103,0.0,1.3344765083564136,pass
0.05,0.39,2700,1.3584594369921756,-0.001982351289540585,1.3584594369921756,-0.001982351289540585,0.0,1.3604417882817161,pass
0.05,0.4,2700,1.3837143132639662,-0.00203533494389287,1.3837143132639662,-0.00203533494389287,0.0,1.385749648207859,pass
0.05,0.41,2700,1.4083447218713452,-0.002087836525081842,1.4083447218713452,-0.0020878365250818426,4.336808689942018e-19,1.410432558396427,pass
0.05,0.42,2700,1.432380828991984,-0.002139812397421164,1.432380828991984,-0.002139812397421164,0.0,1.4345206413894052,pass
0.05,0.43,2700,1.4558511028188064,-0.0021907902057792445,1.4558511028188064,-0.0021907902057792445,0.0,1.4580418930245855,pass
0.05,0.44,2700,1.478781947719713,-0.002240430320052743,1.478781947719713,-0.002240430320052743,0.0,1.4810223780397658,pass
0.05,0.45,2700,1.5011969590309784,-0.0022894446620831655,1.5011969590309784,-0.002289444662083165,-4.336808689942018e-19,1.5034864036930615,pass
0.05,0.46,2700,1.5231182344236722,-0.002338439875504565,1.5231182344236722,-0.002338439875504565,0.0,1.5254566742991769,pass
0.05,0.47,2700,1.5445686056204555,-0.0023858235243526395,1.5445686056204555,-0.002385823524352639,-4.336808689942018e-19,1.546954429144808,pass
0.05,0.48,2700,1.5655664284735202,-0.002433137409710482,1.5655664284735202,-0.002433137409710482,0.0,1.5679995658832306,pass
0.05,0.49,2700,1.5861306042856302,-0.002480146919313365,1.5861306042856302,-0.002480146919313365,0.0,1.5886107512049437,pass
0.05,0.5,2700,1.6062797056631202,-0.0025258146639332516,1.6062797056631202,-0.0025258146639332516,0.0,1.6088055203270535,pass
0.05,0.51,2700,1.6260297866521385,-0.002570579978051057,1.6260297866521385,-0.002570579978051057,0.0,1.6286003666301896,pass
0.05,0.52,2700,1.645395601373235,-0.0026152212178452063,1.645395601373235,-0.0026152212178452063,0.0,1.6480108225910801,pass
0.05,0.53,2700,1.664392991320526,-0.0026585416852677266,1.664392991320526,-0.0026585416852677266,0.0,1.6670515330057938,pass
0.05,0.54,2700,1.6830339389416744,-0.0027023824267587066,1.6830339389416744,-0.0027023824267587066,0.0,1.685736321368433,pass
0.05,0.55,2700,1.7013337831366766,-0.0027444670222834867,1.7013337831366766,-0.0027444670222834867,0.0,1.7040782501589602,pass
0.05,0.56,2700,1.7193028311239016,-0.0027868445748677273,1.7193028311239016,-0.0027868445748677273,0.0,1.7220896756987694,pass
0.05,0.57,2700,1.736954153823374,-0.0028281443276056482,1.736954153823374,-0.0028281443276056487,4.336808689942018e-19,1.7397822981509796,pass
0.05,0.58,2700,1.7542982245246483,-0.002868982647547234,1.7542982245246483,-0.002868982647547234,0.0,1.7571672071721955,pass
0.05,0.59,2700,1.7713452179280735,-0.002909705733732785,1.7713452179280735,-0.002909705733732785,0.0,1.7742549236618064,pass
0.05,0.6,2700,1.7881057499339952,-0.002949688068429904,1.7881057499339952,-0.002949688068429904,0.0,1.791055438002425,pass
