source,case_id,case_label,complexity_axis,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sem,d_phi_energy_raw_dd_mean,d_phi_energy_raw_dd_sem,d2_phi_energy_raw_dd2_mean,d2_phi_energy_raw_dd2_sem,positive_curvature_mean
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.1,90,-0.019870452964672512,0.00030057318305591217,-0.4981229779179769,0.0064740440988911695,-0.5906022593720398,0.12793213917691093,0.2653029993250838
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.15,90,-0.04477660186057135,0.0005273926612495115,-0.5276530908865789,0.005181496730368786,-0.339194935980529,0.09707869594038618,0.22724926799307904
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.2,90,-0.0726357620533304,0.000651300728024366,-0.5320424715160298,0.00634355436546284,0.7621449843251126,0.08323128457261168,0.829363740814651
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.25,90,-0.09798084901217433,0.0007542310222039007,-0.45143859245406764,0.005412290162081322,2.2668011691445673,0.1121173525089882,2.2760001634773017
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.3,90,-0.11777962129873715,0.0007403283575428656,-0.3053623546015731,0.007051264616052194,2.775112712692862,0.10113520276214391,2.775112712692862
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.35,90,-0.12851708447233162,0.0007468299721772953,-0.17392732118478155,0.006964264509307079,2.110608782317251,0.11275320058379752,2.1110906593334393
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.4,90,-0.1351723534172153,0.0006045361198296927,-0.09430147636984801,0.0066746380961438655,1.3029717335744273,0.10035675397562559,1.3456104015770731
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.45,90,-0.13794723210931645,0.0005359590018321113,-0.04363014782733875,0.00533861076034395,0.5993723300959756,0.09281362967939878,0.7155733796222488
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.5,90,-0.13953536819994916,0.0005278378415916115,-0.034364243360250485,0.004443741610183716,0.09072428772448834,0.08198720595205033,0.36083395122283574
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.55,90,-0.14138365644534148,0.000417328767311731,-0.03455771905488992,0.004369981563763077,0.10894449705350226,0.06796203401945898,0.3189359030022603
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.6,90,-0.14299114010543815,0.0004365656320494392,-0.023469793654900276,0.003660963890496801,0.1725582949426445,0.06984367549855063,0.34464737687975333
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.65,90,-0.14373063581083154,0.0003466138867293178,-0.017301889560625488,0.0038606555993857044,0.037677535713752576,0.058334174957214914,0.23497200970213378
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.7,90,-0.14472132906150068,0.00035330851983326474,-0.019702040083524996,0.0033784894321147976,-0.013951657552880954,0.06436933048820496,0.23513437222373296
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.75,90,-0.14570083981918408,0.000306706008365512,-0.018697055315913577,0.003781492008916152,0.013463697439518654,0.058476378761115826,0.2377237045767501
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.8,90,-0.14659103459309203,0.00030896146908182786,-0.01835567033957313,0.0032168741777341262,-0.011991428870456093,0.06329982095067792,0.22682984747429233
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.85,90,-0.14753640685314134,0.0002999865754070678,-0.01989619820295918,0.003458788074525256,0.046628668289541195,0.05625100551291954,0.25218537321923035
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.9,90,-0.14858065441338797,0.0003000709744706848,-0.013692803510618997,0.0035138406865899423,0.10459447094384618,0.05665065097085377,0.273029864068882
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,0.95,90,-0.14890568720420322,0.00027491573986467043,-0.009436751108574557,0.003311945816491351,0.013199571097745576,0.094503633285768,0.38206942359715756
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,1.0,90,-0.14952432952424544,0.00025190372283193346,-0.012372846400844456,0.0068874596098388585,-0.05872190584539794,0.1207676528831292,0.423656480426316
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.1,90,-0.02140658194137139,0.0002978205202688326,-0.5154568516061174,0.0070310093481809185,-0.6107154869075947,0.14165108104897425,0.24560214475328734
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.15,90,-0.047179424521677255,0.0005041837057615169,-0.5459926259514971,0.006270404610257965,-0.27852354630339005,0.09420074235529155,0.22863962721153652
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.2,90,-0.0760058445365211,0.0007545512095605827,-0.5433092062364563,0.006267972956879177,1.1130126153909214,0.1031637406629395,1.1747265245743526
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.25,90,-0.10151034514532288,0.0008050512954502488,-0.434691364412405,0.006370901581282983,2.4384777494983076,0.1093189694640337,2.4384777494983076
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.3,90,-0.11947498097776159,0.0007954415711694969,-0.29946143128662567,0.00631825367301819,2.570824599258546,0.11239499728590124,2.570824599258546
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.35,90,-0.13145648827398546,0.0006221103412620553,-0.17760890448655056,0.007115946257300013,1.9702620407537466,0.09692000993493578,1.9738352376327617
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.4,90,-0.13723587142641663,0.0006330580289607961,-0.10243522721125096,0.006107134389417435,1.1521424960835553,0.10429435304914447,1.204469739126098
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.45,90,-0.14170001099511056,0.0004778702129023417,-0.06239465487819494,0.0056111626587852705,0.6907182767629311,0.08977150465864835,0.7837064338988796
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.5,90,-0.1434753369142361,0.0003645140642867447,-0.033363399534957885,0.005008853747893781,0.2968750311570059,0.07408143508946949,0.45519759114561514
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.55,90,-0.14503635094860634,0.00039646811167966077,-0.03270715176249436,0.004020441112086571,0.0549727068902705,0.07686872362022745,0.3285705284747754
