source,case_id,case_label,complexity_axis,n_refs,positive_curvature_mass_mean,positive_curvature_mass_sd,positive_curvature_mass_sem
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,90,0.6745420945676692,0.07535776705853593,0.007943406109646025
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,90,0.6757117872107445,0.0781543078659301,0.008238187393678419
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,90,0.741882533155175,0.07480406523152515,0.007885040812381006
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,90,0.816964358087378,0.08239812530419435,0.008685525029640288
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,90,0.17710018548921813,0.056142099074265366,0.005917896856583642
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,90,0.22650573024373374,0.0678571922754465,0.007152776107146492
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,90,0.3068183163582826,0.08408965838735065,0.008863828272316986
mnist_rule,random_label,rule: random label,0.985558573825462,90,0.8474395889342918,0.11460336147731322,0.012080254992663629
