source,case_id,case_label,complexity_axis,line_style,basis,radius,n_units,phi_energy_raw_mean,phi_energy_raw_sem
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.1,90,-0.0198704529646725,0.0003005731830559
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.15,90,-0.0447766018605714,0.0005273926612495
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.2,90,-0.0726357620533304,0.0006513007280243
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.25,90,-0.0979808490121743,0.0007542310222039
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.3,90,-0.1177796212987371,0.0007403283575428
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.35,90,-0.1285170844723316,0.0007468299721772
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.4,90,-0.1351723534172153,0.0006045361198296
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.45,90,-0.1379472321093165,0.0005359590018321
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.5,90,-0.1395353681999492,0.0005278378415916
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.55,90,-0.1413836564453415,0.0004173287673117
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.6,90,-0.1429911401054381,0.0004365656320494
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.65,90,-0.1437306358108315,0.0003466138867293
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.7,90,-0.1447213290615007,0.0003533085198332
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.75,90,-0.1457008398191841,0.0003067060083655
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.8,90,-0.146591034593092,0.0003089614690818
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.85,90,-0.1475364068531413,0.000299986575407
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.9,90,-0.148580654413388,0.0003000709744706
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,0.95,90,-0.1489056872042032,0.0002749157398646
mnist_flip,eta_0.25,flip eta=0.25,0.8111369149742439,dashed,90ref_1024,1.0,90,-0.1495243295242455,0.0002519037228319
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.1,90,-0.0214065819413714,0.0002978205202688
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.15,90,-0.0471794245216772,0.0005041837057615
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.2,90,-0.0760058445365211,0.0007545512095605
