source,case_id,case_label,complexity_axis,line_style,basis,radius,n_units,phi_energy_raw_mean,phi_energy_raw_sem
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.25,90,-0.1015103451453229,0.0008050512954502
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.3,90,-0.1194749809777616,0.0007954415711694
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.35,90,-0.1314564882739854,0.000622110341262
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.4,90,-0.1372358714264166,0.0006330580289607
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.45,90,-0.1417000109951106,0.0004778702129023
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.5,90,-0.1434753369142361,0.0003645140642867
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.55,90,-0.1450363509486063,0.0003964681116796
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.6,90,-0.1467460520904855,0.000298532057325
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.65,90,-0.1478229638331994,0.0003374141933917
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.7,90,-0.1487750856635101,0.0002909475514071
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.75,90,-0.1503159110117772,0.0002459174917137
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.8,90,-0.1507020474235579,0.0002628813657236
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.85,90,-0.1514789094547355,0.0002600646018699
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.9,90,-0.1524301070609954,0.0002272724752746
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,0.95,90,-0.1532464820560652,0.0002316485520414
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,dashed,90ref_1024,1.0,90,-0.1537811432884845,0.0002207721684203
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.1,90,-0.0233079412535947,0.0003528348826531
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.15,90,-0.0516183446908551,0.0005814091739615
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.2,90,-0.0833686031945037,0.0007680073226835
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.25,90,-0.1110671388641718,0.0008977435541143
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.3,90,-0.1305222753801291,0.0008639139892618
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.35,90,-0.142203499609711,0.0007322591416032
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.4,90,-0.1476755272512547,0.0006726849490914
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.45,90,-0.1513351858370041,0.0005825216776865
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.5,90,-0.1514072242964008,0.0004349333203509
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.55,90,-0.1518668223706897,0.0003906172217052
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.6,90,-0.1527492334350935,0.0003701146398438
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.65,90,-0.1528893784849718,0.0003469114163877
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.7,90,-0.1539775053743007,0.0003681291770662
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.75,90,-0.1541707152803452,0.0003037277883568
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.8,90,-0.1545445245407295,0.0003125710845203
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.85,90,-0.1550692763548014,0.0002704142026362
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.9,90,-0.155692145292668,0.0002133213109841
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,0.95,90,-0.1557749139592503,0.0002602506983519
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,dashed,90ref_1024,1.0,90,-0.1572489706247645,0.0002426184206688
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.1,90,-0.0239392467297638,0.0003724416403091
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.15,90,-0.0549173707787933,0.0006439923188847
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.2,90,-0.0897746478940845,0.000987770342177
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.25,90,-0.1209590055450881,0.0010479466270748
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.3,90,-0.1404002390155277,0.0009440126976531
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.35,90,-0.1514401096965942,0.00081043774034
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.4,90,-0.1549150458384604,0.0006715160481647
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.45,90,-0.1565273467960903,0.0005651762458719
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.5,90,-0.1564350183048361,0.0004635012725553
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.55,90,-0.1570685993929181,0.0003909415026514
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.6,90,-0.1567040225685581,0.0003344443016235
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.65,90,-0.1563020084322457,0.0003120829688327
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.7,90,-0.1565012818168207,0.0003241342035564
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.75,90,-0.1574153273896,0.0002387005427224
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.8,90,-0.1570797932924107,0.0002358836494581
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.85,90,-0.1579336701858889,0.0002351536668914
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.9,90,-0.1582515674118013,0.0002200098684125
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,0.95,90,-0.1587671576688956,0.0002156138153634
mnist_flip,eta_0.40,flip eta=0.40,0.9686066224160286,dashed,90ref_1024,1.0,90,-0.1591160610088801,0.0002043054342331
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.1,90,-0.0044146301395095,9.81709491323912e-05
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.15,90,-0.0083461278048572,0.0001325602550693
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.2,90,-0.0126065667136354,0.0001564433683838
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.25,90,-0.0168114819193481,0.0001865283557765
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.3,90,-0.0206252688971746,0.0001808831043992
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.35,90,-0.0239619657584036,0.0002110364655562
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.4,90,-0.0275785322263182,0.0002056900795621
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.45,90,-0.0305289853400847,0.0002204482089244
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.5,90,-0.033068469987293,0.0002040842887894
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.55,90,-0.0360642368625978,0.0002319128044058
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.6,90,-0.0386747704325692,0.0001968146920211
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.65,90,-0.0411803886082974,0.0002352306089288
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.7,90,-0.0432707114151662,0.0002737856256771
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.75,90,-0.0457220854928981,0.0002524913767986
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.8,90,-0.0480110952589852,0.000276568011135
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.85,90,-0.0495992620390997,0.0003192785627401
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.9,90,-0.0525057245100712,0.0002812246089433
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,0.95,90,-0.0539477755945075,0.0003204343640476
mnist_rule,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,solid,90ref_1024,1.0,90,-0.0560327719668127,0.0003460725515119
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.1,90,-0.0030494066116484,9.384974049831398e-05
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.15,90,-0.0077176440034863,0.0001534816709482
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.2,90,-0.0136767408953455,0.0001954726056925
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.25,90,-0.0199995789330698,0.0002397679960756
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.3,90,-0.0260051065736426,0.0002655914430691
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.35,90,-0.0317164778832822,0.0002633670900397
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.4,90,-0.0368708806834702,0.0002958223236402
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.45,90,-0.041390667531511,0.0002940761283755
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.5,90,-0.0451567479883383,0.0002851913421679
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.55,90,-0.049127223730063,0.000276503138573
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.6,90,-0.0525105029738619,0.0002887910244446
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.65,90,-0.0557879085611958,0.000328819565969
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.7,90,-0.058724707553274,0.000298453253795
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.75,90,-0.0620778829545251,0.0003249450076537
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.8,90,-0.0645863515704707,0.0003298927887735
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.85,90,-0.0679109149441058,0.000374964977307
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.9,90,-0.0693167555334837,0.0003373975162443
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,0.95,90,-0.0724539597851279,0.0003377322857126
mnist_rule,real_even_odd,rule: even odd,0.4932864276461805,solid,90ref_1024,1.0,90,-0.0743701550563375,0.0003980070029028
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.1,90,-0.0087763994696449,0.0002347482110466
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.15,90,-0.0171981492242347,0.0003248746909724
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.2,90,-0.026010011461253,0.0003536842464985
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.25,90,-0.0344010869440389,0.0003925278731968
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.3,90,-0.0425191152088216,0.0003779006117133
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.35,90,-0.0491373576568226,0.0003963351765921
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.4,90,-0.0564983991218114,0.0003761526107589
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.45,90,-0.0613628660652218,0.0003977051296892
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.5,90,-0.0667204465023377,0.0004297716841648
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.55,90,-0.0715259903658375,0.0004468018556184
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.6,90,-0.0762081859602476,0.0004498675533107
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.65,90,-0.0811112714284088,0.0004197692563255
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.7,90,-0.0845924649255483,0.0004767441081604
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.75,90,-0.0885482722839238,0.0004378118275853
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.8,90,-0.0918544842550952,0.0004876070297471
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.85,90,-0.0954967659814613,0.000438952200063
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.9,90,-0.0979823855954663,0.0004221780533601
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,0.95,90,-0.1017608159986183,0.000520327447619
mnist_rule,teacher_nn,rule: teacher nn,0.6843772639598127,solid,90ref_1024,1.0,90,-0.104666538778125,0.0004596008762743
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.1,90,-0.026890111610131,0.0004048074201881
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.15,90,-0.0595165719994405,0.0008353771462088
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.2,90,-0.0936497828094032,0.0010911088997999
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.25,90,-0.1242940457698756,0.0011457985906709
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.3,90,-0.1430017588242921,0.0009814412822332
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.35,90,-0.1530207464916231,0.0008730022808579
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.4,90,-0.1577579889946393,0.0007370981105676
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.45,90,-0.158555218552373,0.000608844779203
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.5,90,-0.1585538696644625,0.0004915557468226
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.55,90,-0.1578769677912527,0.0004465986607586
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.6,90,-0.1587964784993474,0.0003624289739516
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.65,90,-0.1589701872145333,0.0003714826473488
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.7,90,-0.1592025720074132,0.0003648276970845
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.75,90,-0.1585101593394752,0.0003368978165419
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.8,90,-0.1595094258996672,0.0002473818950149
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.85,90,-0.1598314227649256,0.0002322668796348
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.9,90,-0.160028786332391,0.000256600720652
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,0.95,90,-0.1603678836022308,0.0002572492759334
mnist_rule,random_label,rule: random label,0.985558573825462,solid,90ref_1024,1.0,90,-0.1607878038739638,0.0002427259718169
