eta,n_refs,positive_curvature_mass_mean,positive_curvature_mass_sd,positive_curvature_mass_sem,min_curvature_mean,min_curvature_sd,min_curvature_sem,min_curvature_radius_mean,max_curvature_mean,max_curvature_radius_mean
0.25,10,0.5412612696227662,0.0762039258266363,0.024097797225870028,-0.2649643070214535,0.18270060632349183,0.05777500458759959,0.67,1.9351363257773186,0.3
0.3,10,0.5424955858495857,0.06640212408210446,0.020998195357256756,-0.18388454975753396,0.11000344994050798,0.0347861452288319,0.85,1.8444477501612677,0.3
0.35,10,0.610645188379872,0.05892298189530859,0.018633082931804018,-0.2891706634484489,0.2523393716354577,0.07979671577037344,0.86,2.302610795925368,0.31
0.4,10,0.6805990716058672,0.07350173436788997,0.023243289257520887,-0.20700860431577528,0.12390202521459352,0.03918126063857283,0.77,2.4325203382971514,0.29
