beta,cell_id,radius,ref_count,H_or_threshold,mode,Z_ratio,log_Z_ratio,ess_num,gate_count,weighted_error,weighted_h,dataset_tag,dataset_id,ref_id
0.05,cell_beta_0p05_p_0p00,0.01,1,1.0,absolute_h,1.0,0.0,1023.9993622933974,1024,0.0016152098515644986,0.036109158426843924,dataset_000_seed_606001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,2.0,absolute_h,1.0,0.0,1023.9993622933974,1024,0.0016152098515644986,0.036109158426843924,dataset_000_seed_606001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,4.0,absolute_h,1.0,0.0,1023.9993622933974,1024,0.0016152098515644986,0.036109158426843924,dataset_000_seed_606001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,6.0,absolute_h,1.0,0.0,1023.9993622933974,1024,0.0016152098515644986,0.036109158426843924,dataset_000_seed_606001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,8.0,absolute_h,1.0,0.0,1023.9993622933974,1024,0.0016152098515644986,0.036109158426843924,dataset_000_seed_606001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,0.25,delta_ce,1.0,0.0,1023.9993622933974,1024,0.0016152098515644986,0.036109158426843924,dataset_000_seed_606001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,0.5,delta_ce,1.0,0.0,1023.9993622933974,1024,0.0016152098515644986,0.036109158426843924,dataset_000_seed_606001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,1.0,delta_ce,1.0,0.0,1023.9993622933974,1024,0.0016152098515644986,0.036109158426843924,dataset_000_seed_606001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,2.0,delta_ce,1.0,0.0,1023.9993622933974,1024,0.0016152098515644986,0.036109158426843924,dataset_000_seed_606001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,4.0,delta_ce,1.0,0.0,1023.9993622933974,1024,0.0016152098515644986,0.036109158426843924,dataset_000_seed_606001234,0,0
