beta,cell_id,dataset_tag,dataset_id,ref_id,radius,H,logZ_H,logZ_H_full,R_H,gate_count,ess_H
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.01,1.0,-0.003446087015003912,,1.0,1024,1023.9993622933974
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.01,2.0,-0.003446087015003912,,1.0,1024,1023.9993622933974
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.01,4.0,-0.003446087015003912,,1.0,1024,1023.9993622933974
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.01,6.0,-0.003446087015003912,,1.0,1024,1023.9993622933974
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.01,8.0,-0.003446087015003912,,1.0,1024,1023.9993622933974
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.01,inf,-0.003446087015003912,-3.4237541892057175,1.0,1024,1023.9993622933974
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.05,1.0,-0.18091978386647692,,1.0,1024,1019.9771336426938
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.05,2.0,-0.18091978386647692,,1.0,1024,1019.9771336426938
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.05,4.0,-0.18091978386647692,,1.0,1024,1019.9771336426938
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.05,6.0,-0.18091978386647692,,1.0,1024,1019.9771336426938
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.05,8.0,-0.18091978386647692,,1.0,1024,1019.9771336426938
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.05,inf,-0.18091978386647692,-3.6012278860571905,1.0,1024,1019.9771336426938
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.01,1.0,-0.003891048820843875,,1.0,1024,1023.9987851342488
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.01,2.0,-0.003891048820843875,,1.0,1024,1023.9987851342488
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.01,4.0,-0.003891048820843875,,1.0,1024,1023.9987851342488
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.01,6.0,-0.003891048820843875,,1.0,1024,1023.9987851342488
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.01,8.0,-0.003891048820843875,,1.0,1024,1023.9987851342488
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.01,inf,-0.003891048820843875,-2.8418983477192823,1.0,1024,1023.9987851342488
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.05,1.0,-0.15462192526483468,,1.0,1024,1021.1185197451873
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.05,2.0,-0.15462192526483468,,1.0,1024,1021.1185197451873
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.05,4.0,-0.15462192526483468,,1.0,1024,1021.1185197451873
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.05,6.0,-0.15462192526483468,,1.0,1024,1021.1185197451873
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.05,8.0,-0.15462192526483468,,1.0,1024,1021.1185197451873
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.05,inf,-0.15462192526483468,-2.9926292241632733,1.0,1024,1021.1185197451873
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.01,1.0,-0.004107616014845199,,1.0,1024,1023.9981374072792
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.01,2.0,-0.004107616014845199,,1.0,1024,1023.9981374072792
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.01,4.0,-0.004107616014845199,,1.0,1024,1023.9981374072792
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.01,6.0,-0.004107616014845199,,1.0,1024,1023.9981374072792
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.01,8.0,-0.004107616014845199,,1.0,1024,1023.9981374072792
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.01,inf,-0.004107616014845199,-3.095302748413666,1.0,1024,1023.9981374072792
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.05,1.0,-0.1635585990091867,,1.0,1024,1020.9694851433911
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.05,2.0,-0.1635585990091867,,1.0,1024,1020.9694851433911
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.05,4.0,-0.1635585990091867,,1.0,1024,1020.9694851433911
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.05,6.0,-0.1635585990091867,,1.0,1024,1020.9694851433911
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.05,8.0,-0.1635585990091867,,1.0,1024,1020.9694851433911
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.05,inf,-0.1635585990091867,-3.2547537314080075,1.0,1024,1020.9694851433911
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.01,1.0,-0.005277421017051597,,1.0,1024,1023.9930574865261
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.01,2.0,-0.005277421017051597,,1.0,1024,1023.9930574865261
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.01,4.0,-0.005277421017051597,,1.0,1024,1023.9930574865261
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.01,6.0,-0.005277421017051597,,1.0,1024,1023.9930574865261
