beta,cell_id,dataset_tag,dataset_id,ref_id,radius,H,logZ_H,logZ_H_full,R_H,gate_count,ess_H
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.01,1.0,-0.0062899969025682154,,1.0,1024,1023.9822733976808
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.01,2.0,-0.0062899969025682154,,1.0,1024,1023.9822733976808
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.01,4.0,-0.0062899969025682154,,1.0,1024,1023.9822733976808
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.01,6.0,-0.0062899969025682154,,1.0,1024,1023.9822733976808
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.01,8.0,-0.0062899969025682154,,1.0,1024,1023.9822733976808
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.01,inf,-0.0062899969025682154,-3.935890806248776,1.0,1024,1023.9822733976808
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,4.0,-8.639842722165053,,0.6660156250000001,682,682.0000000000001
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,6.0,-8.233400574409062,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,8.0,-8.233400574409062,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,inf,-8.233400574409062,-12.163001383755269,1.0,1024,1024.0
