cell_id,dataset_tag,width,ref_id,theta_norm,final_train_loss,theta_path,selected_refs_path
cell_beta_0p05_p_0p00,dataset_045_seed_4501234,48,0,131.12547950947535,0.0005481727536478507,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_046_seed_4601234,48,0,135.50106861523705,0.0011727730266337666,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_047_seed_4701234,48,0,132.010567796296,0.0008230240516976831,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_048_seed_4801234,48,0,133.45978053355324,0.0007728265451600459,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_049_seed_4901234,48,0,133.0904306174517,0.0004227907503208592,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_050_seed_5001234,48,0,136.530424998615,0.003193770408184813,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_051_seed_5101234,48,0,140.0874273539675,0.0008844507429997608,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_052_seed_5201234,48,0,135.56848263175488,0.0005431532786724686,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_053_seed_5301234,48,0,135.50332903569958,0.0006011782577392372,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_054_seed_5401234,48,0,135.3070827558406,0.0037160975338325552,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_055_seed_5501234,48,0,139.11042546590244,0.0004670698343376188,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_056_seed_5601234,48,0,143.38324508254493,0.0017129219435947547,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_057_seed_5701234,48,0,123.02659620247167,0.0007973312181952194,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_058_seed_5801234,48,0,138.39216641763312,0.0011821095574268416,not_retained_summary_only,not_retained_summary_only
cell_beta_0p05_p_0p00,dataset_059_seed_5901234,48,0,136.6342485886481,0.002498777514964372,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_000_seed_003234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_001_seed_103234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_002_seed_203234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_003_seed_303234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_004_seed_403234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_005_seed_503234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_006_seed_603234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_007_seed_703234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_008_seed_803234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_009_seed_903234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_010_seed_1003234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_011_seed_1103234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_012_seed_1203234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_013_seed_1303234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_014_seed_1403234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_015_seed_1503234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_016_seed_1603234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_017_seed_1703234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_018_seed_1803234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_019_seed_1903234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_020_seed_2003234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_021_seed_2103234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_022_seed_2203234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_023_seed_2303234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_024_seed_2403234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_025_seed_2503234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_026_seed_2603234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_027_seed_2703234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_028_seed_2803234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_029_seed_2903234,48,0,,,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_030_seed_3003234,48,0,134.4245213156316,0.00170607349897196,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_031_seed_3103234,48,0,117.62869858430695,0.0008242679558439158,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_032_seed_3203234,48,0,133.99491461074373,0.0025798618345343164,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_033_seed_3303234,48,0,136.1797778904112,0.0005836385115006793,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_034_seed_3403234,48,0,130.96567775102608,0.0005894545804443969,not_retained_summary_only,not_retained_summary_only
cell_beta_0p07_p_0p00,dataset_035_seed_3503234,48,0,137.77339781765284,0.0006930743949343023,not_retained_summary_only,not_retained_summary_only
