family,beta_or_baseline,complexity_C,r_star_full,g_min_full,left_drop,right_recovery,left_slope,right_slope,inflection_full,r_star_dmax_0p3,g_min_dmax_0p3,recovery_by_0p3,inflection_by_0p3,regime_by_inflection
spin,0.05,0.4780205944187179,0.13,-0.008025034547355746,0.007435928977138987,0.006386094123384701,-0.03444159212507342,0.010173720149797921,True,0.13,-0.008025034547355746,0.0017610384389907434,True,inflection-present / sharp early trough
spin,0.07,0.461847794844466,0.13,-0.0075461236233053345,0.007063201064731395,0.00590772753138762,-0.033596877931945796,0.008810165406349851,True,0.13,-0.0075461236233053345,0.001553959774505881,True,inflection-present / sharp early trough
spin,0.09,0.4369968616477327,0.13,-0.006826018887738841,0.006318918507018603,0.005192139077261157,-0.029860333703531555,0.007472792025459252,True,0.13,-0.006826018887738841,0.0013259750169047164,True,inflection-present / sharp early trough
spin,0.11,0.4112540940673032,0.13,-0.006266448083030618,0.0058218609808810655,0.004631394558515852,-0.028069084493890784,0.006276020003574606,True,0.13,-0.006266448083030618,0.0011212881428633468,True,inflection-present / sharp early trough
spin,0.13,0.3783452565699349,0.14,-0.00545455545721159,0.005130040389872126,0.0038213982776015244,-0.01920048192780853,0.004765414198793061,True,0.14,-0.00545455545721159,0.0007979403970182928,True,inflection-present / sharp early trough
spin,0.15,0.3261466985217294,0.15,-0.004681326690384493,0.004402210410753552,0.0030511867876818447,-0.01235765075507736,0.003389356148959022,True,0.15,-0.004681326690384493,0.0005342148747086179,True,inflection-present / sharp early trough
spin,0.17,0.2671031098709601,0.16,-0.0034897507703925755,0.0032809522181474053,0.0018586672248208833,-0.006995538166787232,0.0018982961843087148,True,0.16,-0.0034897507703925755,0.00026961383697150397,True,inflection-present / sharp early trough
spin,0.19,0.2038299570072067,0.17,-0.0025592673080216967,0.0024079440637979517,0.0009707312120147836,-0.003983759097322036,0.0007340208856544961,True,0.17,-0.0025592673080216967,9.668625793744735e-05,False,inflection-present / shallow or delayed trough
spin,0.21,0.1502594046517673,0.19,-0.0017312925582552323,0.0016052652496392347,0.00019081160252151937,-0.001087816931207422,0.00017897263901654747,False,0.19,-0.0017312925582552323,1.6415903413381956e-05,False,no clear inflection in observed window
spin,0.23,0.1149051806948273,2.5,-0.0015094609175055004,0.0014096487894185421,0.0,-0.00020466293033937627,,False,0.3,-0.0012643416192896387,0.0,False,no clear inflection in observed window
spin,0.25,0.097214958381373,2.5,-0.0015101868802678297,0.0014404934880033965,0.0,-0.00021563072865796173,,False,0.3,-0.0010203966523747755,0.0,False,no clear inflection in observed window
spin,0.27,0.0861496560433926,2.5,-0.0014928543674499087,0.0014411882413491585,0.0,-0.00021041030260197935,,False,0.3,-0.0009661300588719697,0.0,False,no clear inflection in observed window
spin,0.29,0.0771766790992058,2.5,-0.00149841213028027,0.0014592542812290781,0.0,-0.00022910162365254866,,False,0.3,-0.0008711215647499802,0.0,False,no clear inflection in observed window
spin,0.31,0.0765370917342303,2.5,-0.0015025403034127532,0.0014645252230332936,0.0,-0.0002516254730684578,,False,0.3,-0.0008962913565335403,0.0,False,no clear inflection in observed window
spin,0.33,0.0713154994114632,2.5,-0.0015028656173887867,0.0014731515760722446,0.0,-0.0002643253646225363,,False,0.3,-0.00091052097766783,0.0,False,no clear inflection in observed window
spin,0.35,0.071285406235025,2.5,-0.001499328759407387,0.0014721318142054641,0.0,-0.0002760755489819369,,False,0.3,-0.001023102132119621,0.0,False,no clear inflection in observed window
spin,0.37,0.0714396013009783,2.5,-0.0015130856385799612,0.0014886917310779658,0.0,-0.00027618725052054593,,False,0.3,-0.0009966186189983878,0.0,False,no clear inflection in observed window
spin,0.39,0.0714434902626432,2.5,-0.0015155620446426468,0.0014973743469743838,0.0,-0.000288743649820504,,False,0.3,-0.0009892429924660481,0.0,False,no clear inflection in observed window
gaussian,random-label baseline,0.5013862982355978,0.15,-0.005829713940472221,0.0058603037299086135,0.0042786693557897715,-0.022751512574039193,0.00608975412827073,True,0.15,-0.005829713940472221,0.000985919870560228,True,inflection-present / sharp early trough
