beta,n_radius,rmse,mae,spin_minus_gaussian_bias
0.13,250,0.0002745717953768791,0.0002494300560028057,-0.00019085917683741506
0.15,250,0.0003711810680875157,0.0002809387241558656,-4.273105745562142e-05
0.11,250,0.00037468323987979404,0.00032871887519651225,-0.00032871887519651225
0.09,250,0.0005077563082308684,0.000415707800305079,-0.000415707800305079
0.07,250,0.0007326959112118605,0.0005673064108611626,-0.0005673064108611626
0.17,250,0.0007331914605743771,0.00041660472431966414,0.00023837817738002015
0.05,250,0.0008739684049715173,0.0006475860019385467,-0.0006475860019385467
0.19,250,0.0010782627531838252,0.0005760278352747525,0.0005150727745791068
0.21,250,0.0014254796477674244,0.000802013473745075,0.0008019680009292478
0.23,250,0.0016487822936911876,0.000984167719130441,0.000984167719130441
0.25,250,0.001770811264600727,0.0010718694012480387,0.0010718694012480387
0.35,250,0.0018018867891628904,0.0010998529995297625,0.0010998529995297625
0.27,250,0.001802196557066594,0.0010939477890949585,0.0010939477890949585
0.37,250,0.0018152722139123635,0.0011032743108676862,0.0011032743108676862
0.39,250,0.001819277917772667,0.0011063514959864743,0.0011063514959864743
0.31,250,0.0018427869403401299,0.0011203982624866293,0.0011203982624866293
0.33,250,0.0018429932490135596,0.001121821965985049,0.001121821965985049
0.29,250,0.001847038924763402,0.0011215409334696118,0.0011215409334696118
