radius,dataset_count,dphi_energy_dr_mean,dphi_energy_dr_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,dphi_energy_dr_sem,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high
0.84,90,-0.0022974935350817587,0.00026120164806636145,30.0,30,30,2.7533071215980598e-05,-0.0023514583546650806,-0.002243528715498437
0.85,90,-0.002273451367771213,0.0002556395836190407,30.0,30,30,2.694677814444129e-05,-0.002326267052934318,-0.002220635682608108
0.86,90,-0.0022538381104395943,0.0002530697479791083,30.0,30,30,2.6675893683292535e-05,-0.0023061228620588478,-0.002201553358820341
0.87,90,-0.0022331258212245813,0.00024739971105825663,30.0,30,30,2.607821931372123e-05,-0.002284239131079475,-0.0021820125113696876
0.88,90,-0.0022119312752579934,0.00024325548085594168,30.0,30,30,2.564137909414204e-05,-0.0022621883782825117,-0.002161674172233475
0.89,90,-0.0021912336354288067,0.00024092636150783973,30.0,30,30,2.5395868358063084e-05,-0.0022410095374106103,-0.002141457733447003
0.9,90,-0.0021730722381055234,0.00023736173323565536,30.0,30,30,2.5020123546331976e-05,-0.002222111680256334,-0.002124032795954713
0.91,90,-0.002155263412576428,0.00023454734956702785,30.0,30,30,2.472346145958386e-05,-0.002203721397037212,-0.002106805428115644
0.92,90,-0.0021356016485387813,0.00022969193436894535,30.0,30,30,2.4211655759192582e-05,-0.0021830564938267985,-0.002088146803250764
0.93,90,-0.0021167540278951586,0.00022556675661674022,30.0,30,30,2.3776823844191852e-05,-0.0021633566026297746,-0.0020701514531605426
0.94,90,-0.0020993741554524744,0.00022225043689882455,30.0,30,30,2.34272530522605e-05,-0.002145291571434905,-0.0020534567394700437
0.95,90,-0.002079940659700516,0.00021869975876999837,30.0,30,30,2.305297871475265e-05,-0.002125124497981431,-0.002034756821419601
0.96,90,-0.002064139708162997,0.00021573707128529586,30.0,30,30,2.274068403318814e-05,-0.0021087114488680457,-0.0020195679674579483
0.97,90,-0.002048725887127828,0.00021159355458168534,30.0,30,30,2.230391902297607e-05,-0.002092441568412861,-0.0020050102058427953
0.98,90,-0.0020336026483186386,0.00020807597137600004,30.0,30,30,2.1933133196672003e-05,-0.0020765915893841158,-0.0019906137072531614
