beta,n_radius,rmse,mae,spin_minus_gaussian_bias
0.13,30,0.0003331333194107544,0.00031075532572683436,0.00013654792057991912
0.11,30,0.0005925814713844317,0.000513017289204351,-0.000513017289204351
0.15,30,0.0008617294574153744,0.0007881353044142871,0.0007464535537693824
0.09,30,0.0010111828549533028,0.0009567550004240974,-0.0009567550004240974
0.07,30,0.0015610814528576754,0.0015115514392220742,-0.0015115514392220742
0.17,30,0.001854108109834591,0.0017240374596460026,0.0017234406706812756
0.05,30,0.0019525204540905606,0.0018921568050551407,-0.0018921568050551407
0.19,30,0.002654515305936722,0.0025009291865823314,0.0025009291865823314
0.21,30,0.0033713354118289412,0.0031883863622318895,0.0031883863622318895
0.23,30,0.0038223620867128554,0.0036235047888397093,0.0036235047888397093
0.25,30,0.004082978553061519,0.003877515015216154,0.003877515015216154
0.27,30,0.004175186515557576,0.003969012305086844,0.003969012305086844
0.35,30,0.004239577468910483,0.004036353697097073,0.004036353697097073
0.37,30,0.0042572897864662645,0.004053868724026006,0.004053868724026006
0.39,30,0.004278482035096572,0.0040749267908581676,0.0040749267908581676
0.29,30,0.004279338961807052,0.004070510428537597,0.004070510428537597
0.31,30,0.004287125560800479,0.0040787440389279785,0.0040787440389279785
0.33,30,0.004300847018342925,0.004093632201327063,0.004093632201327063
