source,group,label,nmstv,complexity_proxy,complexity_norm,A_kappa_savgol21_group_mean,min_dphi_dr_savgol21,min_dphi_dr_radius_savgol21,phi_energy_at_d1
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.3245703473792008,0.0,0.045551318454851976,-0.08685852366452894,0.18,-0.0564072415189508
flip,eta_0.02,flip eta 0.02,0.3569686266284974,0.3569686266284974,0.049014911239013664,0.12338994201168181,-0.15862318364634567,0.22,-0.0843992123095521
flip,eta_0.05,flip eta 0.05,0.430574457903612,0.430574457903612,0.16037216138376917,0.1783208326815329,-0.22751159851184846,0.21,-0.0987866863804118
advanced,real_even_odd,adv even odd,0.4932864276461805,0.4932864276461805,0.255248238193387,0.09794097853011934,-0.1280857847837355,0.21,-0.0741446417498216
flip,eta_0.15,flip eta 0.15,0.6551292914748983,0.6551292914748983,0.5000980817357601,0.38578426057117815,-0.4395765054431842,0.19,-0.1343551465961704
advanced,teacher_nn,adv teacher nn,0.6843772639598127,0.6843772639598127,0.5443469371838568,0.11061660498924983,-0.17913564462042947,0.15,-0.1050777048274004
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.8111369149742439,0.7361198704113397,0.5253898785818384,-0.5701972770340511,0.17,-0.1496254960225646
advanced,random_label,adv random,0.985558573825462,0.985558573825462,1.0,0.658161576156459,-0.7005153423624498,0.17,-0.1609853852708903
