eta,noise_eta,label,nmstv,complexity_proxy,complexity_norm,A_kappa_savgol21_group_mean,min_dphi_dr_savgol21,min_dphi_dr_radius_savgol21,phi_energy_at_d1
0.02,noise_eta_0.02,flip eta 0.02,0.3569686266284974,0.3569686266284974,0.0490149112390136,0.1233899420116818,-0.1586231836463456,0.22,-0.0843992123095521
0.05,noise_eta_0.05,flip eta 0.05,0.430574457903612,0.430574457903612,0.1603721613837691,0.1783208326815329,-0.2275115985118484,0.21,-0.0987866863804118
0.15,noise_eta_0.15,flip eta 0.15,0.6551292914748983,0.6551292914748983,0.5000980817357601,0.3857842605711781,-0.4395765054431842,0.19,-0.1343551465961704
0.25,noise_eta_0.25,flip eta 0.25,0.8111369149742439,0.8111369149742439,0.7361198704113397,0.5253898785818384,-0.5701972770340511,0.17,-0.1496254960225646
