rule,radius,ref_count,unit_count,unit_sampling_fit_pass_count,split_fail_count,split_fail_rate,finite_fail_count,ess_fail_count,split_q50,split_q90,split_q95,split_q99,split_max,ess_q05,ess_min,phi_energy_mean,phi_energy_sd,phi_energy_q25,phi_energy_q50,phi_energy_q75,pool_q95_split_pass,pool_fail_rate_le_0p05
low_tv_spectral_teacher,0.1,90,90,90,0,0.0,0,0,0.00010822651022610001,0.0003820472620469804,0.00048706662114569486,0.000723656284675965,0.0007352573050399,0.5614371830510592,0.5332416415277057,-0.005567337475627655,0.002484111687490227,-0.007812680815823822,-0.006261042441853222,-0.003004385779045141,True,True
low_tv_spectral_teacher,0.2,90,90,90,0,0.0,0,0,0.0006638641450988499,0.00181400063105566,0.00213425923926647,0.003226331842702599,0.0034970775234835,0.597389421321295,0.5028322430830289,-0.017526379309373615,0.0036771096947509187,-0.020633879118024417,-0.018357525143422784,-0.01398131249232564,True,True
low_tv_spectral_teacher,0.3,90,90,87,3,0.03333333333333333,0,0,0.0013423186593502,0.003065139163865192,0.0034912977928745446,0.004666208569203103,0.0055858294224825,0.6175493791333865,0.5563737460736552,-0.02999613919669097,0.0039294484078024544,-0.033413937129650136,-0.031012078445610537,-0.02606297851939693,True,True
low_tv_spectral_teacher,0.4,90,90,76,14,0.15555555555555556,0,0,0.001532956597231,0.0041290258514776225,0.005449523953879409,0.006465131925090219,0.0075846797258898,0.6009423911934434,0.515643848582532,-0.040207299685505515,0.0036885611002239168,-0.04316381501137305,-0.04066473469189533,-0.03703935559706573,False,False
low_tv_spectral_teacher,0.5,90,90,76,14,0.15555555555555556,0,0,0.0020166924867438003,0.004403926665809551,0.005093525453749544,0.006606473547983847,0.0074145415254429,0.5803639786185166,0.5362824085956782,-0.048759656529278966,0.0033451831516814103,-0.05119046954928928,-0.049555590953640274,-0.045879578433988474,False,False
low_tv_spectral_teacher,0.6,90,90,68,22,0.24444444444444444,0,0,0.00262398331719015,0.006069428440029182,0.006924609142889015,0.009741552281418256,0.0107275537522139,0.6362989891437807,0.5741436128304741,-0.05557690110909138,0.0035415828944402815,-0.057864078684169235,-0.05551700064077028,-0.052903687954421894,False,False
low_tv_spectral_teacher,0.7,90,90,51,39,0.43333333333333335,0,0,0.00302768929973345,0.007412702543790332,0.008557948483315378,0.010251685135869815,0.0104494280103434,0.5936048123540004,0.5327300804833885,-0.061094639149981,0.003439570029128587,-0.06399731072677695,-0.061224171440421124,-0.058617282943737324,False,False
low_tv_spectral_teacher,0.8,90,90,54,36,0.4,0,0,0.0031139765706844997,0.00693341397709958,0.00739469838697617,0.01162815843203134,0.0127968491251121,0.607302997188174,0.5678556113904393,-0.0676392974124679,0.0031734173920678487,-0.07034949274681637,-0.06771160869094386,-0.065326213199827,False,False
low_tv_spectral_teacher,0.9,90,90,49,41,0.45555555555555555,0,0,0.00381402017431045,0.0080633283315317,0.009752256807962798,0.011466083635494256,0.0119235285312675,0.6131970628381616,0.5588292693571283,-0.0721269964047715,0.003691962831814092,-0.07471376661407203,-0.0721954746237573,-0.06918754986025256,False,False
low_tv_spectral_teacher,1.0,90,90,58,32,0.35555555555555557,0,0,0.0028611837765924,0.007510380826434162,0.008567629235328987,0.01089752577947096,0.010983757661275,0.5818770740945692,0.5369784377885519,-0.07738381553284436,0.00365025266436395,-0.07951469141113207,-0.07797410860498609,-0.07496274926257881,False,False
low_tv_spectral_teacher,1.1,90,90,60,30,0.3333333333333333,0,0,0.0032163340263077498,0.007911685597343876,0.010707646095993829,0.012442745871257613,0.0141477459802993,0.6231499785602528,0.5535307235703123,-0.08200358800546387,0.0034432811175259966,-0.08439947185424139,-0.0823711709553536,-0.07974336713007421,False,False
low_tv_spectral_teacher,1.2,90,90,46,44,0.4888888888888889,0,0,0.0039059677926747997,0.010400117235650472,0.01160160712052257,0.013861714898637493,0.0149020305927115,0.6024897644354665,0.5676338410982833,-0.0857191203428763,0.003989941688284058,-0.08831529995375255,-0.08619983789278124,-0.08373512500900385,False,False
