global_cluster,radius,ref_count,phi_energy,d_phi_energy_dd,d2_phi_energy_dd2,phi_energy_sd
0,0.1,90,-0.026890111610131065,-0.6675967119927221,0.8703847592191669,0.0038403403845942105
0,0.2,90,-0.0936497828094033,-0.5805582360708055,1.7352784053327084,0.010351167895944813
0,0.3,90,-0.14300175882429214,-0.3205410309261806,2.5139884093497677,0.009310769524719396
0,0.4,90,-0.1577579889946394,-0.07776055420085189,1.5767429170132017,0.0069927266652013665
0,0.5,90,-0.15855386966446253,-0.005192447523540185,0.3725852124304912,0.004663307270714208
0,0.6,90,-0.15879647849934742,-0.003243511714753676,0.00813855260970333,0.003438303143175284
0,0.7,90,-0.15920257200741328,-0.0035647370015995197,-0.004437799550675899,0.0034610594289038632
0,0.8,90,-0.1595094258996673,-0.004131071624888857,-0.014135764349416014,0.0023468707204078133
0,0.9,90,-0.16002878633239107,-0.0063918898714827215,-0.025874597180211654,0.0024343281795027954
0,1.0,90,-0.16078780387396385,-0.009305991060931187,-0.015995525972054395,0.0023027007546578535
0,1.1,90,-0.1618899845445773,-0.0095909950658936,-0.0005706737637591481,0.002276862752694554
0,1.2,90,-0.16270600288714254,-0.009420125813683015,-0.009138741558835008,0.00197240258544793
0,1.3,90,-0.1637740097073139,-0.011418743377660606,-0.018567043682342053,0.0021656596880757924
0,1.4,90,-0.16498975156267462,-0.013133534550151425,0.009731647190147642,0.0021341118223679664
0,1.5,90,-0.16640071661734424,-0.009472413939631068,0.01653405290340851,0.0022223136772199924
0,1.6,90,-0.16688423435060085,-0.009826723969469719,-0.018943246737619383,0.0025006741591899963
0,1.7,90,-0.16836606141123814,-0.013261063287154935,-0.0011678966992700716,0.002242323903935127
0,1.8,90,-0.16953644700803186,-0.010060303309323719,0.018305123544994615,0.001866582260482416
0,1.9,90,-0.17037812207310285,-0.009600038578156006,-0.019404761538489537,0.002378464515457989
0,2.0,90,-0.17145645472366308,-0.01394125561702164,-0.017641809644464927,0.0023969258381429815
0,2.1,90,-0.17316637319650718,-0.013128400507048993,0.0072421076971725335,0.0028047542735640633
0,2.2,90,-0.1740821348250729,-0.012492834077587132,0.005548737320900762,0.002172437125946795
0,2.3,90,-0.17566494001202462,-0.012018653042868843,0.008869956339992104,0.0026137496060837013
0,2.4,90,-0.1764858654336466,-0.010718842809588708,-0.006048891800443634,0.0022747185088537445
0,2.5,90,-0.1778087085739424,-0.013228431402957572,-0.025095885933688628,0.002579919302704585
1,0.1,90,-0.0057977145189737345,-0.13273329369683687,-0.024787353402200753,0.003075416580331844
1,0.2,90,-0.01907104388865742,-0.13521202903705695,0.02730440327739259,0.005998286491059032
1,0.3,90,-0.03284012032638512,-0.12727241304135836,0.1584227281786201,0.007819311182667404
1,0.4,90,-0.04452552649692909,-0.10352748340133291,0.2137036439366774,0.009226260374072343
1,0.5,90,-0.053545617006651704,-0.08453168425402288,0.1528460785995946,0.010045216671147437
1,0.6,90,-0.06143186334773366,-0.072958267681414,0.09112056131317346,0.01112691287584048
1,0.7,90,-0.0681372705429345,-0.06630757199138819,0.07300528919941833,0.0122541432106054
1,0.8,90,-0.0746933777460113,-0.058357209841530325,0.06203472554633195,0.012767563257596514
1,0.9,90,-0.07980871251124058,-0.0539006268821218,0.03501611606062314,0.0134269499355613
1,1.0,90,-0.08547350312243565,-0.05135398662940569,0.044676883225905975,0.01420582941221041
1,1.1,90,-0.09007950983712171,-0.04496525023694059,0.04876681251105269,0.014248422863757729
1,1.2,90,-0.09446655316982376,-0.041600624127195146,0.030364226012554476,0.014479263790107826
1,1.3,90,-0.09839963466256076,-0.03889240503442971,0.0290195747765263,0.014948780946838349
1,1.4,90,-0.10224503417670969,-0.03579670917188988,0.03659076989823093,0.015560497932237372
1,1.5,90,-0.10555897649693875,-0.03157425105478353,0.023722963948956358,0.015257907991085371
1,1.6,90,-0.1085598843876664,-0.0310521163820986,0.0049317598337191276,0.015240695972152416
1,1.7,90,-0.11176939977335845,-0.0305878990880397,0.03689636817977519,0.01552544874686232
1,1.8,90,-0.11467746420527435,-0.023672842746143556,0.03741421564363854,0.015570419290608938
1,1.9,90,-0.11650396832258714,-0.023105055959311973,-0.032756134325439425,0.015472995474911506
1,2.0,90,-0.11929847539713676,-0.030224069611231464,-0.005034307850032761,0.015592898883975598
1,2.1,90,-0.12254878224483345,-0.024111917529318523,0.039549151950150636,0.015167272746936553
1,2.2,90,-0.12412085890300048,-0.02231423922120133,0.02373295414280088,0.015590177781654509
1,2.3,90,-0.12701163008907373,-0.019365326700758363,0.025559296125881058,0.015139929769325725
1,2.4,90,-0.12799392424315212,-0.017202379996025124,-0.026082458752539586,0.015369457673209108
1,2.5,90,-0.13045210608827873,-0.024581818451266287,-0.07379438455241154,0.015445472871982608
