rule,ref_id,within_rule_cluster,within_pc1,within_pc2,within_pc3,split_fail_count,split_fail_rate,max_split,mean_phi_energy,theta_ref_norm
low_tv_spectral_teacher,0,1,1.330957906066238,-0.12181434511955927,0.5662116702796711,13,0.52,0.0172973859665889,-0.08043831500108445,11.803181643612332
low_tv_spectral_teacher,1,1,1.4316922971407384,1.5506829522858692,4.637884995582971,8,0.32,0.0218076639371072,-0.07999262960182595,14.096209203436189
low_tv_spectral_teacher,2,0,2.0106839248731645,-2.265902111871429,-0.7280165279303362,10,0.4,0.0161791499229894,-0.07996899000608117,13.963937356757036
low_tv_spectral_teacher,3,0,4.504142326281728,-4.2395406356871925,-0.22269426479613127,11,0.44,0.0133985834734186,-0.07801587185859918,14.961790096482176
low_tv_spectral_teacher,4,1,-0.36702827213226674,4.92404099971043,5.446476585157166,10,0.4,0.0188823752735494,-0.08188325337745106,13.852759064327104
low_tv_spectral_teacher,5,0,8.428455682050766,3.3422024131752233,-1.2475665887578473,11,0.44,0.0199366069825744,-0.07709267977764826,13.575516710361123
low_tv_spectral_teacher,6,1,-6.4493230162883215,-4.408314538993822,-2.4169448516853436,8,0.32,0.0162153829196557,-0.08331878735591193,11.675638599483072
low_tv_spectral_teacher,7,1,-6.258528893433894,-0.7977455886682525,2.4922922725862215,16,0.64,0.0222480136802669,-0.08280935290362193,12.171396255700602
low_tv_spectral_teacher,8,1,-2.967877260486603,-1.8349300752617543,4.76633657135023,9,0.36,0.010617216215292,-0.08273752800090133,12.876839072402571
low_tv_spectral_teacher,9,1,-0.7408511518633547,-0.8831025050361968,-2.933216677995674,7,0.28,0.0170908079355792,-0.08264829604788854,14.849926954397114
low_tv_spectral_teacher,10,1,0.44434087351324697,1.4744381571764185,0.05079977731557463,11,0.44,0.0103471162551317,-0.08071458060167387,11.693938133178548
low_tv_spectral_teacher,11,1,-0.7195568996696002,0.5444370350527852,-1.281960488471628,14,0.56,0.0150560210953675,-0.08234796754143754,12.150996278250414
low_tv_spectral_teacher,12,1,-3.5002075986447916,-3.307866569442459,-1.0774593441263502,8,0.32,0.022946823763459,-0.08219225128424341,12.63495278207709
low_tv_spectral_teacher,13,0,1.9873246598877123,-1.2128373523235585,-0.10315908243818438,11,0.44,0.0135395354300934,-0.07963075500919226,14.55857499906651
low_tv_spectral_teacher,14,0,3.3343639181917655,3.7195654647006298,-0.8342835382532401,13,0.52,0.0305737310342763,-0.07985204535976724,15.098953807150366
low_tv_spectral_teacher,15,1,-2.91477354231565,2.846494186831448,1.8456153652883855,10,0.4,0.0161039415094852,-0.0831084370210792,11.548437521190396
low_tv_spectral_teacher,16,0,5.6327622390415355,1.6622787890810327,2.088719488358799,10,0.4,0.0160380982885332,-0.0787287044909702,13.998038262787924
low_tv_spectral_teacher,17,0,3.484445396489704,-2.8382817588087663,-0.3879843436243169,11,0.44,0.0121915413916385,-0.07935120279158375,14.517040748590112
low_tv_spectral_teacher,18,1,-6.195701320553414,0.46729713220316293,1.0923433213809721,12,0.48,0.0124301701410504,-0.08373691275607235,12.598092965465623
low_tv_spectral_teacher,19,1,-3.8462565442671823,-1.1038179768185186,-0.9513532450632459,10,0.4,0.0211850071370767,-0.08189719785970054,13.514985064444865
low_tv_spectral_teacher,20,0,-1.20991783068334,-5.486008254622253,-5.899809816587775,12,0.48,0.0207184236816091,-0.07987267490472791,11.64732663128266
low_tv_spectral_teacher,21,1,-1.562753173212519,-1.0170967622231801,-2.6465888856740527,15,0.6,0.0132387462984361,-0.08232426411274293,12.13822148045803
low_tv_spectral_teacher,22,0,2.766451099954867,-1.095673631591679,-1.725355562628973,6,0.24,0.0126344442248811,-0.07986675771807476,14.12236463004898
low_tv_spectral_teacher,23,0,2.775007936739367,-0.23894292810809306,-1.9129874216550942,10,0.4,0.0091230383716508,-0.0794879793994085,14.783757324099724
low_tv_spectral_teacher,24,1,-1.415421738019299,3.596230721752219,-1.2961359526238057,12,0.48,0.0173616790089203,-0.08283883648323545,13.558768542467371
low_tv_spectral_teacher,25,1,-1.4505404628655316,-3.25388570307888,-1.3978723658484014,12,0.48,0.0135056887475539,-0.08219760701294768,11.653969008828328
low_tv_spectral_teacher,26,1,-0.7626575590974726,2.854882528644283,-0.020847397700895526,12,0.48,0.0173408322886326,-0.08167048686691408,12.350847004528571
low_tv_spectral_teacher,27,0,3.902495411311256,-2.374504013079355,-4.889985273606612,9,0.36,0.0204109386196991,-0.07971416729142633,14.225401192765649
low_tv_spectral_teacher,28,0,4.1686328977294504,-2.0940738401820376,-2.3104725406521602,10,0.4,0.0159642874288502,-0.07943987003764913,14.927641059569712
low_tv_spectral_teacher,29,1,-1.0169939285654275,-1.0902378122071679,0.8264657052140288,11,0.44,0.0158863408417975,-0.08156822084473213,13.87883752518061
