rule,radius,ref_count,phi_energy,phi_energy_sd,phi_energy_sem,phi_energy_q25,phi_energy_q50,phi_energy_q75,d_phi_energy_dd_mean,d_phi_energy_dd_sd,d2_phi_energy_dd2_mean,d2_phi_energy_dd2_sd,d_phi_energy_mean_curve_dd,d2_phi_energy_mean_curve_dd2
low_tv_spectral_teacher,0.1,90,-0.005567337475627655,0.002484111687490227,0.00026184836315711724,-0.007812680815823822,-0.006261042441853222,-0.003004385779045141,-0.1195904183374596,0.014541966025135664,-0.025535902678569724,0.10949007903594639,-0.1195904183374596,-0.025535902678569672
low_tv_spectral_teacher,0.2,90,-0.017526379309373615,0.0036771096947509187,0.00038760139472331323,-0.020633879118024417,-0.018357525143422784,-0.01398131249232564,-0.12214400860531657,0.010081934608147056,0.030929082284000448,0.0938122142097078,-0.12214400860531657,0.030929082284000486
low_tv_spectral_teacher,0.3,90,-0.02999613919669097,0.0039294484078024544,0.0004142002305592636,-0.033413937129650136,-0.031012078445610537,-0.02606297851939693,-0.11340460188065953,0.009734058826775643,0.14163210971188292,0.0949117131810377,-0.11340460188065951,0.1416321097118829
low_tv_spectral_teacher,0.4,90,-0.040207299685505515,0.0036885611002239168,0.00038880847884680626,-0.04316381501137305,-0.04066473469189533,-0.03703935559706573,-0.09381758666293999,0.011832637232676687,0.1827829738136509,0.10464381982874685,-0.09381758666293999,0.18278297381365088
low_tv_spectral_teacher,0.5,90,-0.048759656529278966,0.0033451831516814103,0.0003526132649911259,-0.05119046954928928,-0.049555590953640274,-0.045879578433988474,-0.07684800711792934,0.014742583721797566,0.16071336779714906,0.11402485506573927,-0.07684800711792936,0.160713367797149
low_tv_spectral_teacher,0.6,90,-0.05557690110909138,0.0035415828944402815,0.0003733156156240991,-0.057864078684169235,-0.05551700064077028,-0.052903687954421894,-0.061674913103510184,0.016956597559916745,0.08268012800523394,0.12664560978793463,-0.0616749131035102,0.08268012800523378
low_tv_spectral_teacher,0.7,90,-0.061094639149981,0.003439570029128587,0.000362562515456601,-0.06399731072677695,-0.061224171440421124,-0.058617282943737324,-0.060311981516882565,0.01618981268656909,0.03256563414778859,0.16466617115929313,-0.06031198151688261,0.032565634147788625
low_tv_spectral_teacher,0.8,90,-0.0676392974124679,0.0031734173920678487,0.0003345075641775318,-0.07034949274681637,-0.06771160869094386,-0.065326213199827,-0.05516178627395245,0.019687109489566937,0.057946954575001174,0.16047633527911917,-0.05516178627395246,0.0579469545750011
low_tv_spectral_teacher,0.9,90,-0.0721269964047715,0.003691962831814092,0.0003891670528405898,-0.07471376661407203,-0.0721954746237573,-0.06918754986025256,-0.04872259060188233,0.02032270444768683,0.02889414135245302,0.17182167010834176,-0.04872259060188239,0.028894141352453245
low_tv_spectral_teacher,1.0,90,-0.07738381553284436,0.00365025266436395,0.0003847704151496074,-0.07951469141113207,-0.07797410860498609,-0.07496274926257881,-0.04938295800346185,0.021683786287721902,0.035230332758612475,0.18316110452644346,-0.04938295800346182,0.03523033275861279
low_tv_spectral_teacher,1.1,90,-0.08200358800546387,0.0034432811175259966,0.0003629536985210693,-0.08439947185424139,-0.0823711709553536,-0.07974336713007421,-0.04167652405015982,0.023556212886312572,0.05404785687040807,0.19836419071729444,-0.04167652405015981,0.054047856870408
low_tv_spectral_teacher,1.2,90,-0.0857191203428763,0.003989941688284058,0.00042057678220783917,-0.08831529995375255,-0.08619983789278124,-0.08373512500900385,-0.03857338662938022,0.023905878109635962,0.018170108514328678,0.21782850101296763,-0.0385733866293802,0.01817010851432857
low_tv_spectral_teacher,1.3,90,-0.08971826533133992,0.0038273329310461674,0.00040343631419580166,-0.09199578586747562,-0.08978600871248779,-0.08685191419319707,-0.0380425023472941,0.027894518578635355,0.021752749740038553,0.21923573987306466,-0.038042502347294116,0.02175274974003827
