rule,ref_id,global_cluster,pc1,pc2,pc3,split_fail_count,split_fail_rate,max_split,mean_split,mean_phi_energy,theta_ref_norm
low_tv_spectral_teacher,0,1,-4.168595171244911,-0.6271153290341576,4.3024104258580405,13,0.52,0.0172973859665889,0.005363138417980636,-0.08043831500108445,11.803181643612332
low_tv_spectral_teacher,1,1,-4.1625568490319225,-4.3821842771325095,2.7415749398500675,8,0.32,0.0218076639371072,0.004424056976546731,-0.07999262960182595,14.096209203436189
low_tv_spectral_teacher,2,1,-4.6004727543956205,-0.4610181345701117,0.39974390651695274,10,0.4,0.0161791499229894,0.0045155919585058895,-0.07996899000608117,13.963937356757036
low_tv_spectral_teacher,3,1,-4.949664670482453,-0.8244403269645931,-3.4921240296098124,11,0.44,0.0133985834734186,0.0045683402542131026,-0.07801587185859918,14.961790096482176
low_tv_spectral_teacher,4,1,-3.845329001403113,-1.5480605236665064,1.2604582546143845,10,0.4,0.0188823752735494,0.0046875371994083755,-0.08188325337745106,13.852759064327104
low_tv_spectral_teacher,5,1,-5.050563010735494,5.171422851874151,4.646114644608768,11,0.44,0.0199366069825744,0.00446816331093216,-0.07709267977764826,13.575516710361123
low_tv_spectral_teacher,6,1,-3.8044437369814257,-2.49893085006918,1.4555667501902079,8,0.32,0.0162153829196557,0.004158531309120853,-0.08331878735591193,11.675638599483072
low_tv_spectral_teacher,7,1,-3.6764948641950976,-5.0603481246011155,0.23288053002577186,16,0.64,0.0222480136802669,0.006728783507451582,-0.08280935290362193,12.171396255700602
low_tv_spectral_teacher,8,1,-3.721774692185666,-4.06013300518302,-1.0397360158743398,9,0.36,0.010617216215292,0.0035759014603792966,-0.08273752800090133,12.876839072402571
low_tv_spectral_teacher,9,1,-4.077029434378709,1.2775279182041728,-1.5627956502030438,7,0.28,0.0170908079355792,0.0039389861864529965,-0.08264829604788854,14.849926954397114
low_tv_spectral_teacher,10,1,-4.140609915002472,0.5581569352766382,3.741477426104798,11,0.44,0.0103471162551317,0.0039821991713103,-0.08071458060167387,11.693938133178548
low_tv_spectral_teacher,11,1,-3.9168100796010594,0.14387911778104545,-2.335331439893133,14,0.56,0.0150560210953675,0.005084473704388324,-0.08234796754143754,12.150996278250414
low_tv_spectral_teacher,12,1,-4.051732701776127,-1.3734550201572808,-1.2663122312640378,8,0.32,0.022946823763459,0.004194278340497672,-0.08219225128424341,12.63495278207709
low_tv_spectral_teacher,13,1,-4.665045565548873,-0.40012173420716834,-1.5806500099230372,11,0.44,0.0135395354300934,0.0042424336902644804,-0.07963075500919226,14.55857499906651
low_tv_spectral_teacher,14,1,-4.352564590371412,2.266568477405602,-0.6129218306742149,13,0.52,0.0305737310342763,0.00574425465971929,-0.07985204535976724,15.098953807150366
low_tv_spectral_teacher,15,1,-3.697612783690916,-0.1271726977907536,-0.7273996005323555,10,0.4,0.0161039415094852,0.0047606965392018065,-0.0831084370210792,11.548437521190396
low_tv_spectral_teacher,16,1,-4.583537674339215,-1.2750662149917118,1.1605570052451106,10,0.4,0.0160380982885332,0.00452480000945378,-0.0787287044909702,13.998038262787924
low_tv_spectral_teacher,17,1,-4.671377046570792,-0.6382458654368888,-1.845579736581007,11,0.44,0.0121915413916385,0.004106852028695021,-0.07935120279158375,14.517040748590112
low_tv_spectral_teacher,18,1,-3.6042928155280065,-1.4674525571798867,2.1573858190198907,12,0.48,0.0124301701410504,0.004573717313834716,-0.08373691275607235,12.598092965465623
low_tv_spectral_teacher,19,1,-4.08509881741532,-0.8946391744018201,0.25872561933337546,10,0.4,0.0211850071370767,0.004983359103488551,-0.08189719785970054,13.514985064444865
low_tv_spectral_teacher,20,1,-4.451851019322128,1.5394352379715994,-1.7909748807097283,12,0.48,0.0207184236816091,0.005699182704595577,-0.07987267490472791,11.64732663128266
low_tv_spectral_teacher,21,1,-3.998714808231843,0.9305418545534053,2.4544235870697517,15,0.6,0.0132387462984361,0.005432577894633765,-0.08232426411274293,12.13822148045803
low_tv_spectral_teacher,22,1,-4.589253425924198,3.8070776096934016,-1.8417936473045136,6,0.24,0.0126344442248811,0.003058259422792499,-0.07986675771807476,14.12236463004898
low_tv_spectral_teacher,23,1,-4.651654062076894,1.1837989108238869,-1.8951811640566343,10,0.4,0.0091230383716508,0.0036836796699223247,-0.0794879793994085,14.783757324099724
low_tv_spectral_teacher,24,1,-3.8753865570760673,0.9933081973545715,0.1575372500349405,12,0.48,0.0173616790089203,0.005260859045169826,-0.08283883648323545,13.558768542467371
low_tv_spectral_teacher,25,1,-4.098051282160212,0.7837307553215522,-0.47604783115574106,12,0.48,0.0135056887475539,0.004429771430988366,-0.08219760701294768,11.653969008828328
low_tv_spectral_teacher,26,1,-4.014018399083576,1.8081749818043504,-1.34454687677413,12,0.48,0.0173408322886326,0.005902970958026193,-0.08167048686691408,12.350847004528571
low_tv_spectral_teacher,27,1,-4.743969219489182,3.2580857831437924,-0.5479885701095291,9,0.36,0.0204109386196991,0.004718660130814253,-0.07971416729142633,14.225401192765649
low_tv_spectral_teacher,28,1,-4.919034345894258,0.7262710382933428,-1.1207975088931998,10,0.4,0.0159642874288502,0.004820021881586296,-0.07943987003764913,14.927641059569712
low_tv_spectral_teacher,29,1,-4.0740196689094965,-2.3694486863667863,-2.001426161650628,11,0.44,0.0158863408417975,0.0051629142936096715,-0.08156822084473213,13.87883752518061
low_tv_spectral_teacher,30,1,-4.549424831747968,0.5844397077954845,-3.767258462741164,10,0.4,0.016024441085298,0.004743866345921617,-0.07862597943225347,13.400979741301915
low_tv_spectral_teacher,31,1,-3.810650103372036,2.0226946252858133,-1.4607979725216738,11,0.44,0.015750348484995,0.004358447921351744,-0.08317689967876926,11.82846808865189
low_tv_spectral_teacher,32,1,-3.670020326611466,4.324082941174717,0.19052682417613745,10,0.4,0.0154471022844261,0.004441395326406304,-0.08414309432739989,12.301550321201828
low_tv_spectral_teacher,33,1,-3.978426302420888,-0.7073008250408767,-3.1474247382669507,11,0.44,0.0095729241070306,0.0041803542069564084,-0.08178729702893545,13.190495308447238
low_tv_spectral_teacher,34,1,-3.8785091780709267,-2.287134689988129,-2.292844621733494,13,0.52,0.0163953730644663,0.004722103034320722,-0.08229898704534527,13.553738225417456
low_tv_spectral_teacher,35,1,-4.317130350164663,-1.9829888240193525,2.2335644568832413,9,0.36,0.0154083951202227,0.003498345840253268,-0.07990879880912803,13.329115521155831
low_tv_spectral_teacher,36,1,-3.9048742905321343,0.0877669124453012,-3.766027323809106,14,0.56,0.0156820237494559,0.005503583617504668,-0.08083280964138437,11.572065857252484
low_tv_spectral_teacher,37,1,-3.632884916496931,-2.125751306260242,-0.27407933893524256,8,0.32,0.0131992258183201,0.003530904321520178,-0.08356791774093209,12.606321956155412
low_tv_spectral_teacher,38,1,-4.427676926906628,6.212987573822406,-1.510965436921877,14,0.56,0.0148565138642988,0.005275415025643664,-0.0804247756986097,14.635979426645674
low_tv_spectral_teacher,39,1,-3.991000089922331,0.31378314059788254,-2.958594127722899,12,0.48,0.0203092953841958,0.004760672014343162,-0.08251421432411092,13.741791683044031
low_tv_spectral_teacher,40,1,-4.974756069937973,5.116918314311743,1.110599616362051,11,0.44,0.0207193767938151,0.0051663598616808895,-0.07738529099679484,13.759481252921091
low_tv_spectral_teacher,41,1,-4.457052644971622,-4.185935031644376,1.720344674333346,9,0.36,0.0123715563928851,0.0039697870225545,-0.07894360842203661,13.599110827842816
low_tv_spectral_teacher,42,1,-3.9273163983845882,-3.3336441198227846,0.636640782200592,9,0.36,0.0115308643138719,0.004210513022596228,-0.08181158618943002,14.24007228876699
low_tv_spectral_teacher,43,1,-3.8391026294085333,-0.3767100416626193,-1.5447158843823567,12,0.48,0.0144837543096294,0.005154751462096851,-0.08179150926510934,13.125834140063796
low_tv_spectral_teacher,44,1,-3.8190462141657027,-1.1015112472649318,-0.46770042533056033,12,0.48,0.0116240048860794,0.0045244638195820605,-0.08383933589102142,13.676858857128003
low_tv_spectral_teacher,45,1,-3.766147110512795,-2.8512276707436763,2.2707453337172847,16,0.64,0.0174833140577109,0.006280543350214951,-0.08220114599374755,11.46596067198782
low_tv_spectral_teacher,46,1,-4.745466682500686,-1.1492771489862423,-1.3611059979857494,10,0.4,0.0270017035833214,0.004776272536484998,-0.07842699731378987,14.225234556596932
low_tv_spectral_teacher,47,1,-3.954532748057538,-2.265113724551803,-2.1145700447958276,11,0.44,0.0134185432020094,0.0046260391361071075,-0.0817464633186822,12.53863086995026
