rule,ref_id,radius,phi_energy,split_logZ_per_P_diff,ess_fraction,unit_sampling_fit_pass,d_phi_energy_dd,d2_phi_energy_dd2
low_tv_spectral_teacher,0,0.1,-0.008242461372161365,0.0003136387308699,0.7591733177336895,True,-0.11325688654955358,0.035451759566048485
low_tv_spectral_teacher,0,0.2,-0.019568150027116725,0.0014669054493687,0.8125070412523667,True,-0.10971171059294874,0.0017815099279608893
low_tv_spectral_teacher,0,0.3,-0.03018480349075111,0.002513359841918,0.8269627683647304,True,-0.11290058456396142,0.06458849939044181
low_tv_spectral_teacher,0,0.4,-0.04214826693990901,0.0001745178477242,0.7895549655936145,True,-0.09679401071486035,0.21776177477524328
low_tv_spectral_teacher,0,0.5,-0.04954360563372318,0.0011560796756381,0.5940431801909595,True,-0.06934822960891276,0.17288105981453966
low_tv_spectral_teacher,0,0.6,-0.056017912861691554,0.0008178588773087,0.9181681516867708,True,-0.062217798751952436,0.06422964872752807
low_tv_spectral_teacher,0,0.7,-0.06198716538411367,0.002174269643884,0.8037271243826691,True,-0.05650229986340716,0.1017663458197681
low_tv_spectral_teacher,0,0.8,-0.06731837283437299,0.0001685678822155,0.8679030550459658,True,-0.0418645295879988,0.1495717350296671
low_tv_spectral_teacher,0,0.9,-0.07036007130171344,0.005617065662554,0.6738478159039055,False,-0.02658795285747373,-0.10171028116320899
low_tv_spectral_teacher,0,1.0,-0.07263596340586773,0.0088211377520355,0.8663944333402682,False,-0.06220658582064059,-0.1713473871593445
low_tv_spectral_teacher,0,1.1,-0.08280138846584156,0.0007028821517118,0.9946017875484828,True,-0.060857430289342596,0.1494785054432013
low_tv_spectral_teacher,0,1.2,-0.08480744946373625,0.0100557280924745,0.6918123556905196,False,-0.03231088473200039,0.11987485725201297
low_tv_spectral_teacher,0,1.3,-0.08926356541224166,0.0055238924268294,1.0,False,-0.03688245883894009,-0.19160755708569716
low_tv_spectral_teacher,0,1.4,-0.09218394123152426,0.0076331446151423,0.9747479977240808,False,-0.07063239614913974,0.2207774886057389
low_tv_spectral_teacher,0,1.5,-0.10339004464206963,0.002888602427175,0.7784155851628185,True,0.007273038882207927,0.3465674098213297
low_tv_spectral_teacher,0,1.6,-0.09072933345508268,0.0108651344309813,0.7970234533623516,False,-0.0013189141848737318,-0.5219749761346346
low_tv_spectral_teacher,0,1.7,-0.10365382747904431,0.0052906801779429,0.6810905481381531,False,-0.09712195634471876,-0.022506075800026584
low_tv_spectral_teacher,0,1.8,-0.11015372472402643,0.0022020918231885,0.6435571844214301,True,-0.005820129344878633,0.7207755999473205
low_tv_spectral_teacher,0,1.9,-0.10481785334802003,0.0072218435420572,0.7958015661104341,False,0.04703316364474541,-0.11493851760710408
low_tv_spectral_teacher,0,2.0,-0.10074709199507738,0.0134957580082517,0.7567338444261826,False,-0.028807832866299732,-0.44495341122138443
low_tv_spectral_teacher,0,2.1,-0.11057941992127998,0.003824847726883,0.8670359268586831,True,-0.04195751859953156,-0.020978868180598353
low_tv_spectral_teacher,0,2.2,-0.1091385957149837,0.0129958815234414,0.972498106111484,False,-0.0330036065024194,0.0268535375343735
low_tv_spectral_teacher,0,2.3,-0.11718014122176384,0.0058802059390654,0.8577369131180493,False,-0.036586811092656824,0.1683023938691057
low_tv_spectral_teacher,0,2.4,-0.116455957933515,0.0172973859665889,0.7528780927813967,False,0.000656872271401876,0.15329361376486011
