noise_eta,eta,radius,ref_count,smc_completed_count,mean_split_logZ_per_P_diff,q95_split_logZ_per_P_diff,max_split_logZ_per_P_diff,mean_split_dlogZ_dr_per_P_diff,q95_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff,q05_ess_fraction,q05_smc_min_cess_fraction,threshold_max_split_logZ_per_P_diff,claim
noise_eta_0p05,0.05,0.01,30,30,6.693820974971315e-07,2.2121352793785015e-06,2.4433404466360433e-06,8.069935349429232e-05,0.00021861629347997137,0.0002248890087118401,0.9949406794693808,0.9947625352015772,0.004,pass
noise_eta_0p05,0.05,0.05,30,30,1.9824439606257723e-05,5.145496967359337e-05,5.316066362286966e-05,0.001634426153005184,0.0036993579323632967,0.004789271914544233,0.5333414821107717,0.9500000000006773,0.004,pass
noise_eta_0p05,0.05,0.1,30,30,0.00019091690855280044,0.0005437443594399465,0.000664214551358723,0.007709317154751369,0.020078262450663315,0.02737998266076743,0.581934522761505,0.9500000000007826,0.004,pass
noise_eta_0p05,0.05,0.25,30,30,0.0018328054063453194,0.0038535992090326025,0.0046235939965183605,0.018846856584298643,0.05144602720538794,0.056483599299519904,0.6397801693264737,0.9500000000002925,0.004,inspect
noise_eta_0p05,0.05,0.5,30,30,0.0026970664812578917,0.005826504162346233,0.006791719150152501,0.018199214014665586,0.03534851751173538,0.04705654317479962,0.6402404103228293,0.9500000000001813,0.004,inspect
noise_eta_0p05,0.05,0.75,30,30,0.002945613461883275,0.0064194613887995685,0.006930442231140483,0.012630812510128708,0.02787645993189236,0.02955874444911161,0.6153076339383071,0.9500000000002939,0.004,inspect
noise_eta_0p05,0.05,1.0,30,30,0.003803097993475664,0.00700455188117704,0.010220657588262473,0.010849003645729495,0.023286178327367003,0.03446554973356456,0.6273321685014631,0.9500000000004027,0.004,inspect
noise_eta_0p15,0.15,0.01,30,30,3.1052911494589497e-06,9.28530108010389e-06,1.769560331175625e-05,0.00040888111174948693,0.001044874681231125,0.0011598462244966647,0.927464311912623,0.9500000000078415,0.004,pass
noise_eta_0p15,0.15,0.05,30,30,5.784818428010387e-05,0.00013746880873814304,0.00021058612390665964,0.005537147576132538,0.012306902083127685,0.027943684877070156,0.569912208120169,0.9500000000004181,0.004,pass
noise_eta_0p15,0.15,0.1,30,30,0.000773931239175755,0.001815921575438388,0.002852249069330831,0.025637523222716126,0.06308751563801879,0.0918437279366711,0.6160683661820032,0.9500000000002087,0.004,pass
noise_eta_0p15,0.15,0.25,30,30,0.003412214894754803,0.00839067069347077,0.010834008907378657,0.03478747156729413,0.07540090477218495,0.12338521985164053,0.5919383017417195,0.9500000000002176,0.004,inspect
noise_eta_0p15,0.15,0.5,30,30,0.0031677151396021556,0.006076572903585494,0.007881122579221297,0.020645664848441256,0.04394364324869163,0.05752341803015391,0.5776164488743044,0.9500000000003274,0.004,inspect
noise_eta_0p15,0.15,0.75,30,30,0.002892571502738129,0.006255668374454119,0.006997275502177751,0.013738864156933027,0.04031272691414864,0.050379779151851226,0.5667522996624519,0.9500000000001851,0.004,inspect
noise_eta_0p15,0.15,1.0,30,30,0.0033423039860913193,0.007515462621488235,0.01039392206669744,0.013083072082704995,0.02916959446364777,0.03226282095565626,0.6176154696879431,0.9500000000002962,0.004,inspect
noise_eta_0p25,0.25,0.01,30,30,2.070432805279794e-06,5.491006827605515e-06,6.301437839517738e-06,0.00037226955962181086,0.0012012892237776719,0.0014075823707521752,0.9346833563018407,0.9500000000115467,0.004,pass
noise_eta_0p25,0.25,0.05,30,30,0.00011560456077030592,0.0003396478836032505,0.00045534958250297356,0.010972420539318037,0.0238845244136027,0.04435533172026179,0.615622350279234,0.9500000000005158,0.004,pass
noise_eta_0p25,0.25,0.1,30,30,0.0012900477291452007,0.003249796562644752,0.00394555132986653,0.043581932584516016,0.08001767368611963,0.10190738277390099,0.6291229667579493,0.9500000000004698,0.004,pass
noise_eta_0p25,0.25,0.25,30,30,0.005825547390306556,0.014804079054181761,0.016174756851283136,0.057656550481551334,0.13550857491054594,0.15179821887979786,0.5974992662943999,0.9500000000002637,0.004,inspect
noise_eta_0p25,0.25,0.5,30,30,0.004790899128384149,0.00972381502595038,0.01106984593257917,0.02046852331470026,0.04413521460025025,0.047292015912237806,0.6547830225316852,0.9500000000003526,0.004,inspect
noise_eta_0p25,0.25,0.75,30,30,0.0033095341327781555,0.00648794054639145,0.007770564508657968,0.019691606440241823,0.04657980731470575,0.05458220989945635,0.6305509196923268,0.9500000000002867,0.004,inspect
noise_eta_0p25,0.25,1.0,30,30,0.003755890521664554,0.008412311823801324,0.009431194453863296,0.013056446758630462,0.03418271935289759,0.04109076217700473,0.6268147997378011,0.950000000000619,0.004,inspect
