beta,dataset_count,K,S_ref_mean,S_ref_sd,S_ref_sem,Q_ref_mean,Q_ref_sd,Q_ref_sem,H_err_mean,H_err_sd,H_err_sem,H_CE_mean,H_CE_sd,H_CE_sem,B_CE_mean_mean,B_CE_mean_sd,B_CE_mean_sem,B_CE_median_mean,B_CE_median_sd,B_CE_median_sem,B_CE_q90_mean,B_CE_q90_sd,B_CE_q90_sem,B_err_mean_mean,B_err_mean_sd,B_err_mean_sem,B_err_median_mean,B_err_median_sd,B_err_median_sem,B_err_q90_mean,B_err_q90_sd,B_err_q90_sem,phi_E_dstar,phi_E_radius
0.05,30,30,5.113475882265843,0.3931406131304023,0.07177732736097768,-0.0004324073385579618,0.0026230924271582992,0.0004789089642585258,0.4905598958333333,0.023904754039335445,0.00436439100631892,6.865879061507682,2.306950117597904,0.4211895394825225,29.231476481515827,3.1191263156356164,0.5694719475938685,27.730037514182428,2.894218510581285,0.5284095881981248,41.31244832212571,4.549141439415146,0.830555794549732,0.5213585069444444,0.0023524980735093477,0.0004295054204495054,0.5212890625,0.002632912022957808,0.00048070176896685036,0.5462630208333333,0.007844548578806962,0.0014322120700192217,-0.012495957298256805,2.5
0.07,30,30,4.886210338988719,0.3454100022046427,0.06306294993179731,-0.0007990408215849968,0.0025296406274410406,0.0004618470780103266,0.5014322916666667,0.034253915448518274,0.006253880724676049,6.226661460462492,2.202654624265093,0.40214787470101915,27.60821157043311,2.51252602866986,0.4587223940737847,26.25496980245225,2.4694614014755865,0.4508599048255,39.10010820073852,3.6453557721681253,0.6655478621827151,0.5225146671455938,0.0033494823356470887,0.0006115290103996669,0.5224609375,0.0039647425591172285,0.0007238596447764219,0.5527473958333334,0.007769604309983258,0.0014185291811557306,-0.011825141579577047,2.5
0.09,30,30,4.761107255876173,0.391771767052829,0.07152741140283123,0.0005567096861291409,0.0030065977866950405,0.0005489271430393265,0.5149739583333334,0.03204526431578069,0.005850638042322812,6.926018353815501,2.101267854303681,0.3836372677208683,26.69677206284017,3.189612535876992,0.5823409118670282,25.214878464583308,3.023740211383389,0.5520569072700405,38.34124014988853,4.735393314815224,0.8645605790611536,0.5231049449233717,0.0036956599557116596,0.0006747321075372731,0.5231119791666666,0.0042322025365564234,0.0007726909324008451,0.5583984375,0.013527271771997511,0.0024697306303419725,-0.011374876682121175,2.5
0.11,30,30,4.63011806220658,0.3116661786057393,0.056902198811265806,0.00048719836502646695,0.0030467384236373307,0.0005562557871479657,0.4928385416666667,0.045748328263259,0.008352463785979366,6.505122940533329,2.930830189002031,0.5350939355778473,25.778885330549006,2.5108840420086405,0.4584226096959605,24.384177817148156,2.411670315826241,0.4403087444145468,36.866953597773495,3.8957196036712993,0.711257834881952,0.5227701448754789,0.004574164183178948,0.0008351243016197675,0.5225911458333333,0.005516726261514735,0.0010072118056709215,0.5634114583333333,0.010932848713376738,0.0019960559527025905,-0.010988659886369725,2.5
0.13,30,30,4.288273145260418,0.4421337918211117,0.08072221707190533,-0.0001378763297234425,0.0018623087715545906,0.00034000950774006153,0.5087890625,0.05002375071511021,0.009133045559227016,5.224334740452468,1.9653280127653912,0.3588181618294686,23.22257554833591,3.4221150727327445,0.6247898732380521,21.809153605733687,3.2008882302194572,0.5843995625813286,33.638149942182935,5.137263699845536,0.937931737419283,0.5218049568965518,0.0045299217477400245,0.0008270467749901461,0.5210286458333333,0.005069396648883423,0.000925540965844849,0.5684895833333333,0.01851997613346722,0.0033812695642524344,-0.010010579746010771,2.5
0.15,30,30,4.13764331177802,0.3195361790127005,0.0583390577280883,-0.0003313334494525704,0.0022535397114528647,0.0004114381780654724,0.5032552083333334,0.07394056114377107,0.013499637751011134,5.395510187469578,2.4064752886336476,0.4393602665544681,21.88539417974581,2.4728667560043953,0.451481634656077,20.44922239475418,2.301906308381808,0.42026867012138647,32.613330314302196,3.9405787751960513,0.7194479616003188,0.5201165888409962,0.008424653767865609,0.001538124302610295,0.519140625,0.00996430438787712,0.001819224761029335,0.5941927083333334,0.02505859523731529,0.004575052623623035,-0.009238832596393687,2.5
0.17,30,30,3.8492922628951676,0.4495502491562123,0.08207627073164174,-0.0003999446557768947,0.0018073252371384565,0.00032997093370970207,0.5075520833333333,0.0821189707836311,0.014992804232434147,4.3467965354095215,2.9069920398470814,0.5307417049040677,18.931905485434285,4.118245816321964,0.7518853769836055,17.380051336515074,3.6352885885718096,0.6637098543339657,29.17724418557249,6.679700848331899,1.2195409440059253,0.515060015565134,0.01402831912102919,0.002561208942156244,0.5130859375,0.015967669609472563,0.00291528427863261,0.6108984375000001,0.0217822826300945,0.0039768825168185725,-0.008032160893118359,2.5
0.19,30,30,3.4655201308525148,0.388333729862777,0.07089971456198683,0.00016372965133884746,0.0024388988238672085,0.0004452799671016297,0.5130859375,0.1428672025925112,0.026083863195859647,4.453052100981585,2.0520022526338177,0.37464264060631886,15.298688641226304,2.9739969409348,0.5429750701671163,13.880738229855584,2.8081015769117674,0.512686859146801,24.24092410642266,4.698138376837491,0.8577587890915335,0.4945002693965518,0.023549377741906716,0.004299508468150794,0.4925130208333333,0.026961436619301248,0.004922462339712373,0.6137890625000001,0.024874277678469236,0.004541400995381612,-0.006763185400145729,2.5
0.21,30,30,3.275458457178703,0.40611044282212716,0.07414528345736367,0.00012725079426848576,0.0021770206703950914,0.00039746777644347026,0.4832682291666667,0.11255279510436444,0.020549234929639143,4.05123300984269,2.2474233023649255,0.41032147965600774,12.023038377839843,2.76971583623928,0.5056786137958461,10.468666466907598,2.4313794218707208,0.4439071184041545,20.329863499538043,4.5207048159195615,0.8253640011671278,0.46262841235632185,0.027826564840300223,0.005080412420304191,0.4549479166666667,0.031232877403176044,0.005702317163170965,0.6365104166666669,0.034857255465337356,0.0063640350370285015,-0.00566141580112324,2.5
0.23,30,30,2.9243953374872196,0.25166106664004845,0.04594681434818846,0.00043759926722035006,0.002187434333522083,0.0003993690425104413,0.4860026041666667,0.1744736169759341,0.03185437856907847,2.5217635054451724,1.4911896829256868,0.2722527422857916,8.769232059520334,2.6033341315344103,0.4753016095215059,7.409141174517572,2.363710099203227,0.4315524469121272,15.619454777434779,4.331830405223485,0.7908804094092158,0.4352080340038314,0.03846694391870765,0.007023070967520783,0.4266276041666667,0.0425617582794261,0.0077706783655746466,0.6255468750000001,0.039708505251117396,0.0072497480169497796,-0.0046860372205227655,2.5
