beta,dataset_id,K,S_ref,Q_ref,H_err,H_CE,B_CE_mean,B_CE_median,B_CE_q90,B_err_mean,B_err_median,B_err_q90
0.05,dataset_000_seed_001234,30,4.900542429095402,0.006454107542937415,0.478515625,4.361727399053052,27.75106039686589,26.08714255411178,38.786698123160754,0.5226158405172414,0.5234375,0.5546875
0.05,dataset_001_seed_101234,30,5.3686297433339885,-0.0021931724392521353,0.509765625,8.252346868510358,30.663503303960095,28.973520622588694,42.74646513056941,0.5197467672413794,0.51953125,0.53515625
0.05,dataset_002_seed_201234,30,5.124121381449643,-0.0006486911130118132,0.48828125,7.329266406944953,29.436504026484172,28.604800656670704,40.63215831727721,0.524286099137931,0.5234375,0.55
0.05,dataset_003_seed_301234,30,4.6270884527108755,-0.0009009880970211279,0.48046875,4.778599504963495,26.59500258822401,25.612264276016504,37.786130735231566,0.516644216954023,0.515625,0.53515625
0.05,dataset_004_seed_401234,30,5.4958223795668815,-0.0029090042106844458,0.533203125,7.114039391512051,31.99543073938132,30.118658682797104,46.39918885189109,0.5232579022988506,0.5234375,0.556640625
0.05,dataset_005_seed_501234,30,4.46005360640416,0.0010208634535049152,0.47265625,3.749462797306478,23.19501959234155,21.865620180033147,32.896678813733175,0.522265625,0.5234375,0.546875
0.05,dataset_006_seed_601234,30,5.325028180683919,-0.0025078163505717296,0.5078125,7.12427693081554,31.83045688778237,30.54254287807271,43.65119409118779,0.520245150862069,0.51953125,0.5390625
0.05,dataset_007_seed_701234,30,4.960682311676207,0.002959678696606049,0.482421875,7.674601080478169,29.38464262409446,28.255681783892214,41.92690412783996,0.5232444324712644,0.5234375,0.544921875
0.05,dataset_008_seed_801234,30,5.594137860038434,-0.003745587123737252,0.51953125,5.084196327719837,32.3974029148886,30.44962088763714,45.965366365294905,0.5197602370689656,0.51953125,0.54296875
0.05,dataset_009_seed_901234,30,4.463352960061187,-0.000693524342531891,0.5,9.294194428017363,23.917695618666517,23.273021856322885,32.360547626763584,0.521502334770115,0.521484375,0.541015625
0.05,dataset_010_seed_1001234,30,5.224929165692429,-0.00020516155838805567,0.509765625,11.162202208652161,30.211288584790985,27.768488256260753,46.062086142506466,0.5209815014367816,0.521484375,0.548828125
0.05,dataset_011_seed_1101234,30,4.779987725129551,-0.0006610280018581058,0.525390625,6.395268062362447,27.057033736001827,25.60066567012109,38.47157498174347,0.5220905172413793,0.5234375,0.552734375
0.05,dataset_012_seed_1201234,30,4.964787196164067,-0.00040263832452968397,0.482421875,4.215855701128021,28.503268450799386,27.18565500411205,39.33998569771648,0.5182381465517242,0.517578125,0.537109375
0.05,dataset_013_seed_1301234,30,5.221632877155955,0.0001222173508670864,0.5234375,6.032495592720807,29.196130281728532,27.617136648623273,42.72616328923032,0.5196794181034483,0.51953125,0.54296875
0.05,dataset_014_seed_1401234,30,5.329689425696782,-0.002028835532688894,0.5078125,8.682998414617032,30.034974140306698,28.030085783917457,44.527283237595114,0.5213811063218391,0.521484375,0.54609375
0.05,dataset_015_seed_1501234,30,5.235399611011263,0.00031389127660172173,0.453125,6.473499001469463,29.438205954692616,27.581234812969342,41.00100600668229,0.5228358477011494,0.521484375,0.552734375
0.05,dataset_016_seed_1601234,30,4.770045364435984,-0.002506449333012207,0.458984375,4.548723434447311,26.44588836476785,24.668208377202973,38.60827033729293,0.5229031968390805,0.5234375,0.55390625
0.05,dataset_017_seed_1701234,30,4.947339896375861,-0.0008775762106146078,0.509765625,8.929377133026719,28.574602598069642,27.61347079090774,39.67014984721318,0.5257588002873563,0.525390625,0.555859375
0.05,dataset_018_seed_1801234,30,5.3873659311028375,0.0047094348939358335,0.48046875,12.244206089060754,31.87451035995304,29.539956104010344,45.81306817010045,0.5208872126436782,0.521484375,0.5421875
0.05,dataset_019_seed_1901234,30,5.6216355549814505,-0.0012645350024180985,0.45703125,5.961068427539431,32.596026784424595,30.07364435098134,46.785578716592866,0.519378591954023,0.521484375,0.546875
0.05,dataset_020_seed_2001234,30,5.703761248417178,-0.0026036698839745696,0.5,5.178649356472306,35.10474809048879,33.211411353666335,50.85250000855888,0.5179418103448276,0.517578125,0.53125
0.05,dataset_021_seed_2101234,30,4.837122602725842,-0.002388253749190953,0.455078125,5.31933452677913,27.59852310836358,26.240111098624766,39.81369029949419,0.5273302801724138,0.52734375,0.565625
0.05,dataset_022_seed_2201234,30,5.04582828457267,-0.0006974450763358771,0.515625,12.379809812526219,28.45411539871283,27.757190871518105,39.61567235980183,0.5217941810344827,0.521484375,0.54296875
0.05,dataset_023_seed_2301234,30,4.66557048398566,-0.003810966061105356,0.4765625,4.847758244373836,25.234257735670063,23.890789231285453,36.29989579096437,0.5182426364942528,0.517578125,0.548828125
0.05,dataset_024_seed_2401234,30,5.368330436005182,0.0021583905769654364,0.494140625,6.321513372007757,31.48395976937087,30.50858816737309,42.0161644347012,0.5227774784482758,0.521484375,0.544921875
0.05,dataset_025_seed_2501234,30,5.640253781924513,0.006163549964559267,0.5,8.098086649435572,34.89983645999997,33.221045286394656,47.85109687591903,0.519751257183908,0.51953125,0.541015625
0.05,dataset_026_seed_2601234,30,4.782448169695956,-0.0013679735043098454,0.474609375,5.451124643790536,26.22071246785037,25.076165013713762,35.6760511790868,0.5234330100574712,0.5234375,0.54296875
0.05,dataset_027_seed_2701234,30,4.774348744717993,-0.0020873495061659317,0.4375,5.286236495245248,25.91999586356306,24.48572479491122,37.58481329083443,0.5221354166666666,0.5234375,0.560546875
0.05,dataset_028_seed_2801234,30,6.02063282264036,-0.002509324652326307,0.482421875,5.0048043065471575,34.6098087815889,32.83014910318889,47.07994556864725,0.5191316451149425,0.517578125,0.541015625
0.05,dataset_029_seed_2901234,30,4.763707840523072,0.00013563616101230862,0.5,8.680649237707257,26.319688821642327,25.21853032754734,36.42712124614045,0.5205145474137931,0.51953125,0.54296875
0.07,dataset_000_seed_003234,30,4.519712642158618,0.004422472198415787,0.517578125,2.7616851658094674,24.893474476963238,24.03629660140723,35.220601368602374,0.5217986709770115,0.521484375,0.548828125
0.07,dataset_001_seed_103234,30,4.717685956561303,-1.088679872430214e-05,0.515625,7.15197359630838,26.431350231885204,24.947955194162205,37.851464136363944,0.5213406968390805,0.521484375,0.540234375
0.07,dataset_002_seed_203234,30,4.682460243077525,-0.001639526371896326,0.513671875,5.782222521724179,26.543803441218348,25.558070506434888,36.67145258961246,0.5202541307471265,0.51953125,0.541015625
0.07,dataset_003_seed_303234,30,4.964024580461886,-0.004082102002760996,0.53125,8.637532255495898,28.900370405399208,27.89776547974907,39.74870143854059,0.5235721982758621,0.5234375,0.552734375
0.07,dataset_004_seed_403234,30,4.7991257754879015,-9.134816687060754e-05,0.505859375,5.116461651166901,26.853018518776537,25.568738273344934,39.313792928773914,0.524524066091954,0.525390625,0.551953125
0.07,dataset_005_seed_503234,30,4.756463250937851,-0.001100103650388436,0.48828125,5.097223801072687,28.75009037501168,27.50655210088007,39.458354727085684,0.5288478807471264,0.529296875,0.55859375
0.07,dataset_006_seed_603234,30,5.087657650404722,-0.0011724427103477477,0.486328125,8.53107628505677,29.517817984185257,28.11243370687589,40.726333684334534,0.5208153735632184,0.521484375,0.544921875
0.07,dataset_007_seed_703234,30,4.926240890752191,-0.004148979160858846,0.546875,4.613160339649767,28.629714159970973,26.651453390950337,41.85927898227237,0.5249012212643678,0.5234375,0.556640625
0.07,dataset_008_seed_803234,30,5.1100085255198815,-0.001652805992680493,0.57421875,7.08757193677593,28.424341249897882,27.291616595815867,38.91022640541196,0.5134922772988506,0.51171875,0.544140625
0.07,dataset_009_seed_903234,30,4.808965813557309,-0.002059138742668458,0.486328125,9.366173851536587,26.13821917721231,24.93361485004425,36.53966314005665,0.5179103807471265,0.517578125,0.55078125
0.07,dataset_010_seed_1003234,30,5.652289273244588,-0.0017619096549905244,0.48828125,5.218408290995285,32.90492796525841,31.83953429828398,44.75339879845269,0.5240436422413793,0.5234375,0.551953125
0.07,dataset_011_seed_1103234,30,4.403738702293164,-0.00305759172650801,0.482421875,3.762083596549928,23.595772137391197,22.646764423698187,32.627974530681975,0.5209635416666667,0.521484375,0.55078125
0.07,dataset_012_seed_1203234,30,4.3927989201500655,-4.5538698540998364e-05,0.45703125,3.705288692144677,23.892022257954974,22.171987597830594,34.45432548988611,0.527954382183908,0.529296875,0.576171875
0.07,dataset_013_seed_1303234,30,4.714973092658305,0.0011320635254286695,0.513671875,5.963678247062489,25.711351472804665,24.450848827138543,35.23541199965403,0.5233521910919541,0.5234375,0.55
0.07,dataset_014_seed_1403234,30,5.135534562449192,-0.00045462916171669024,0.4765625,6.640542640117928,28.401440223052713,27.070683560799807,40.72657970129512,0.5201329022988506,0.51953125,0.55078125
0.07,dataset_015_seed_1503234,30,5.280453020826678,-0.002895805743932804,0.56640625,8.320669537875801,30.569057160283535,28.781292328145355,44.55481580342166,0.518512033045977,0.517578125,0.560546875
0.07,dataset_016_seed_1603234,30,5.653514100615092,0.0010040296454728538,0.44140625,5.169027438852936,33.169141373605115,31.71377612184733,47.1979140275158,0.5190238864942529,0.517578125,0.55078125
0.07,dataset_017_seed_1703234,30,4.780789151070479,0.00038193189111653675,0.46875,4.864162674173713,27.293044588870057,25.77850198606029,38.14479836383835,0.5225305316091954,0.525390625,0.552734375
0.07,dataset_018_seed_1803234,30,4.861077214253424,-0.001502735263792037,0.5234375,5.046223579905927,26.97786985458003,26.208347111474723,38.552693324582656,0.5235452586206897,0.5234375,0.567578125
0.07,dataset_019_seed_1903234,30,4.671492531076804,-0.0028795444062621866,0.505859375,6.516549305757508,26.45768589622009,25.038177294656634,36.55568104078994,0.5236619971264368,0.5234375,0.55078125
0.07,dataset_020_seed_2003234,30,4.8582508195801255,0.0012308156343124035,0.45703125,6.467797734308988,26.694753300419464,25.263860747683793,37.91322869500145,0.5258800287356322,0.525390625,0.556640625
0.07,dataset_021_seed_2103234,30,4.316096497532856,0.0017499701715670375,0.49609375,7.2740595320938155,23.29771131641103,22.269109253771603,33.05370521973819,0.5194055316091954,0.517578125,0.546875
0.07,dataset_022_seed_2203234,30,5.3043959474968965,-0.003716810457209097,0.423828125,3.4956404984695837,30.129561088135702,29.09908165340312,41.95334937218578,0.5268229166666667,0.52734375,0.55859375
0.07,dataset_023_seed_2303234,30,5.526939821003285,0.0008773660770121518,0.490234375,13.485171405831352,32.02722665552564,30.193976332666352,46.77284273123369,0.5213182471264368,0.521484375,0.55078125
0.07,dataset_024_seed_2403234,30,4.620087699832052,-0.0034641771464409272,0.470703125,5.880961525370367,25.735378266527885,23.49549267324619,40.802930588321765,0.5247485632183908,0.525390625,0.5625
0.07,dataset_025_seed_2503234,30,4.707786150221622,-0.001679560136836122,0.513671875,5.6112171821296215,26.225995301868466,24.61422992264852,38.7167081036605,0.5221039870689655,0.521484375,0.54609375
0.07,dataset_026_seed_2603234,30,4.595731226920247,0.005314328972821554,0.521484375,9.705755918170325,26.29434017618722,25.01246509095654,36.1110262378119,0.524542025862069,0.525390625,0.548828125
0.07,dataset_027_seed_2703234,30,4.699897014828229,0.004099946926629023,0.537109375,4.416821187827736,25.988700807603056,25.02261926839128,36.71071117399261,0.5282507183908046,0.529296875,0.5625
0.07,dataset_028_seed_2803234,30,5.051410389875662,-0.004621983853975185,0.513671875,5.237088896217756,28.800316238245422,27.004158879630268,40.97668426530436,0.5203933189655172,0.51953125,0.544921875
0.07,dataset_029_seed_2903234,30,4.986708704813621,-0.002146529842925127,0.529296875,5.873614525422454,28.99785101152796,27.46969000156969,40.88859715373256,0.5207974137931034,0.521484375,0.552734375
0.09,dataset_000_seed_005234,30,4.50403066453229,-0.0005622414280953257,0.5078125,8.919985144166276,24.020266117100956,22.6673566987738,33.869586235191676,0.5211835488505747,0.521484375,0.55078125
0.09,dataset_001_seed_105234,30,4.833941658343311,0.004422970132059974,0.5,8.146046143840067,28.00620817446214,26.797729628859088,39.63103836011143,0.5198096264367816,0.521484375,0.5546875
0.09,dataset_002_seed_205234,30,5.4693203468500275,0.0034334228533958555,0.46484375,6.856282575870864,32.129368779390255,29.210840196581557,48.303723143739624,0.5211117097701149,0.51953125,0.548828125
0.09,dataset_003_seed_305234,30,4.777635293165092,0.0020503638848305018,0.525390625,8.119910282315686,26.17185519976948,24.840422170469537,37.03363545336761,0.5235362787356321,0.521484375,0.5625
0.09,dataset_004_seed_405234,30,4.179061872477408,-0.0007739808318330062,0.52734375,5.547912050387822,21.709047023403382,20.85275318706408,30.619288662262267,0.5211521192528735,0.521484375,0.5625
0.09,dataset_005_seed_505234,30,4.636908526560869,0.00043972425640670284,0.48828125,4.491203590412624,25.89086137965921,24.30988050973974,37.95432740096003,0.5304103807471264,0.52734375,0.602734375
0.09,dataset_006_seed_605234,30,4.852297283649257,0.0027484043870240845,0.5,8.367765890434384,28.179223557926136,26.844272614456713,40.493785647209734,0.5197063577586207,0.51953125,0.5390625
0.09,dataset_007_seed_705234,30,4.657442190272482,-1.8844203133196896e-05,0.47265625,5.4398003672249615,24.934423595795877,24.011298475787044,34.85585216637701,0.5267825071839081,0.525390625,0.556640625
0.09,dataset_008_seed_805234,30,4.849799896419925,0.0006090657201624384,0.5,5.108279241598211,26.68454009334439,25.173188437707722,39.16516330372542,0.525323275862069,0.5234375,0.5546875
0.09,dataset_009_seed_905234,30,4.377354348388349,0.0002478278207158445,0.60546875,5.967761526117101,24.295889339900587,23.298690733034164,35.02785887327045,0.522332974137931,0.5234375,0.57421875
0.09,dataset_010_seed_1005234,30,4.084236424387474,0.003500642836077426,0.521484375,5.958993186475709,22.956889011472164,20.961615597596392,35.12433200972155,0.5298221982758621,0.533203125,0.568359375
0.09,dataset_011_seed_1105234,30,4.96784037781485,0.003246172307077555,0.546875,12.52902377571445,29.054777910101933,27.326591484248638,42.26743079568259,0.5293866738505747,0.529296875,0.57421875
0.09,dataset_012_seed_1205234,30,5.070162819158097,0.004116667027576973,0.5,4.951281970599666,27.577141731232405,26.046732645481825,39.8653840220999,0.524115481321839,0.5234375,0.552734375
0.09,dataset_013_seed_1305234,30,4.757665675321458,-0.001720019355691754,0.5,5.977077571558766,25.783604697446105,23.928399501834065,36.761868838872765,0.522741558908046,0.521484375,0.552734375
0.09,dataset_014_seed_1405234,30,4.440993749690462,0.0003470033522311121,0.576171875,7.489388580201194,25.47162499340551,24.83760337345302,35.71904466385022,0.5224901221264368,0.5234375,0.5625
0.09,dataset_015_seed_1505234,30,5.0639620457014916,-0.001313924234309033,0.4609375,10.528417087509297,29.47985367573926,28.224151098169386,41.5552461498417,0.5236530172413794,0.525390625,0.560546875
0.09,dataset_016_seed_1605234,30,4.201644896908798,0.00028753453436270875,0.49609375,9.191616665222682,21.685987673727155,20.234067170415074,32.050227753864604,0.5152119252873564,0.513671875,0.56640625
0.09,dataset_017_seed_1705234,30,4.737794127300562,-0.0007510487283359964,0.517578125,6.576183255179785,26.83618786157719,25.44129302003421,38.073785601509734,0.5226607399425287,0.5234375,0.551953125
0.09,dataset_018_seed_1805234,30,5.401819430216146,-0.005191592152106229,0.48046875,8.460795721155591,32.043692484030224,30.851275833090767,44.81876391987316,0.5240705818965518,0.525390625,0.55078125
