cell_id,dataset_tag,width,selected_ref_count,exact_count,relaxed_count,fake_count,sampling_eligible_count,dedup_threshold
cell_beta_0p09_p_0p00,dataset_001_seed_105234,48,10,31,61,8,10,69.61071721399045
cell_beta_0p09_p_0p00,dataset_002_seed_205234,48,10,32,67,1,10,65.1005772778066
cell_beta_0p09_p_0p00,dataset_003_seed_305234,48,10,29,64,7,10,62.01499212109206
cell_beta_0p09_p_0p00,dataset_004_seed_405234,48,10,36,62,2,10,56.567959784475896
cell_beta_0p09_p_0p00,dataset_005_seed_505234,48,10,22,66,12,10,73.09349852238574
cell_beta_0p09_p_0p00,dataset_006_seed_605234,48,10,40,56,4,10,63.58872673213719
cell_beta_0p09_p_0p00,dataset_007_seed_705234,48,10,21,79,0,10,68.80766348764307
cell_beta_0p09_p_0p00,dataset_008_seed_805234,48,10,30,65,5,10,51.442456275532656
cell_beta_0p09_p_0p00,dataset_009_seed_905234,48,10,36,64,0,10,54.43043873216116
cell_beta_0p10_p_0p00,dataset_000_seed_006234,48,10,21,69,10,10,56.54763857669919
cell_beta_0p10_p_0p00,dataset_001_seed_106234,48,10,22,72,6,10,65.70915299388247
cell_beta_0p10_p_0p00,dataset_002_seed_206234,48,10,29,68,3,10,59.64946689237221
cell_beta_0p10_p_0p00,dataset_003_seed_306234,48,10,21,79,0,10,54.17783091520574
cell_beta_0p10_p_0p00,dataset_004_seed_406234,48,10,30,65,5,10,64.08864120001815
cell_beta_0p10_p_0p00,dataset_005_seed_506234,48,10,35,56,9,10,59.98648125035235
cell_beta_0p10_p_0p00,dataset_006_seed_606234,48,10,28,70,2,10,58.12194068042023
cell_beta_0p10_p_0p00,dataset_007_seed_706234,48,10,31,65,4,10,55.73535289047139
cell_beta_0p10_p_0p00,dataset_008_seed_806234,48,10,29,70,1,10,64.43919070348248
cell_beta_0p10_p_0p00,dataset_009_seed_906234,48,10,28,68,4,10,67.26476728479392
cell_beta_0p11_p_0p00,dataset_000_seed_007234,48,10,23,67,10,10,61.47136200563318
cell_beta_0p11_p_0p00,dataset_001_seed_107234,48,10,28,56,16,10,62.67409820791447
cell_beta_0p11_p_0p00,dataset_002_seed_207234,48,10,21,72,7,10,53.01508106023955
cell_beta_0p11_p_0p00,dataset_003_seed_307234,48,10,25,72,3,10,59.6757166388476
cell_beta_0p11_p_0p00,dataset_004_seed_407234,48,10,32,67,1,10,61.94355256005188
cell_beta_0p11_p_0p00,dataset_005_seed_507234,48,10,43,57,0,10,51.59666573661605
cell_beta_0p11_p_0p00,dataset_006_seed_607234,48,10,28,71,1,10,60.73825942043895
cell_beta_0p11_p_0p00,dataset_007_seed_707234,48,10,28,68,4,10,56.69231288192838
cell_beta_0p11_p_0p00,dataset_008_seed_807234,48,10,29,68,3,10,56.685019151892284
cell_beta_0p11_p_0p00,dataset_009_seed_907234,48,10,24,57,19,10,63.858115647787585
cell_beta_0p12_p_0p00,dataset_000_seed_008234,48,10,39,60,1,10,57.98057908984186
cell_beta_0p12_p_0p00,dataset_001_seed_108234,48,10,36,59,5,10,51.979261771410016
cell_beta_0p12_p_0p00,dataset_002_seed_208234,48,10,33,64,3,10,77.97093248490243
cell_beta_0p12_p_0p00,dataset_003_seed_308234,48,10,26,70,4,10,59.46138423540334
cell_beta_0p12_p_0p00,dataset_004_seed_408234,48,10,41,57,2,10,73.56950047070099
cell_beta_0p12_p_0p00,dataset_005_seed_508234,48,10,30,61,9,10,66.51391785786532
cell_beta_0p12_p_0p00,dataset_006_seed_608234,48,10,30,66,4,10,52.7199196626674
cell_beta_0p12_p_0p00,dataset_007_seed_708234,48,10,30,63,7,10,55.9949399227238
cell_beta_0p12_p_0p00,dataset_008_seed_808234,48,10,36,64,0,10,52.177208582993565
cell_beta_0p12_p_0p00,dataset_009_seed_908234,48,10,45,55,0,10,48.652331047249255
cell_beta_0p13_p_0p00,dataset_000_seed_009234,48,10,37,62,1,10,51.60947608029275
cell_beta_0p13_p_0p00,dataset_001_seed_109234,48,10,36,62,2,10,50.21325913492607
cell_beta_0p13_p_0p00,dataset_002_seed_209234,48,10,41,59,0,10,60.03240321931154
cell_beta_0p13_p_0p00,dataset_003_seed_309234,48,10,28,68,4,10,57.37929447070393
cell_beta_0p13_p_0p00,dataset_004_seed_409234,48,10,28,72,0,10,48.11970478313032
cell_beta_0p13_p_0p00,dataset_005_seed_509234,48,10,33,62,5,10,46.98857530299517
cell_beta_0p13_p_0p00,dataset_006_seed_609234,48,10,29,71,0,10,54.70399218238351
cell_beta_0p13_p_0p00,dataset_007_seed_709234,48,10,34,63,3,10,67.7382579172998
