cell_id,dataset_tag,width,selected_ref_count,exact_count,relaxed_count,fake_count,sampling_eligible_count,dedup_threshold
cell_beta_0p33_p_0p00,dataset_006_seed_629234,48,10,58,42,0,10,17.156644126896992
cell_beta_0p33_p_0p00,dataset_007_seed_729234,48,10,74,26,0,10,21.177844640801883
cell_beta_0p33_p_0p00,dataset_008_seed_829234,48,10,96,4,0,10,22.0079690442405
cell_beta_0p33_p_0p00,dataset_009_seed_929234,48,10,72,28,0,10,23.43473790069544
cell_beta_0p34_p_0p00,dataset_000_seed_030234,48,10,69,31,0,10,21.429500615496245
cell_beta_0p34_p_0p00,dataset_001_seed_130234,48,10,69,31,0,10,26.98356380261224
cell_beta_0p34_p_0p00,dataset_002_seed_230234,48,10,47,53,0,10,24.35027510782256
cell_beta_0p34_p_0p00,dataset_003_seed_330234,48,10,46,54,0,10,16.70142982649477
cell_beta_0p34_p_0p00,dataset_004_seed_430234,48,10,78,22,0,10,22.024933075929724
cell_beta_0p34_p_0p00,dataset_005_seed_530234,48,10,57,43,0,10,21.503526188742775
cell_beta_0p34_p_0p00,dataset_006_seed_630234,48,10,78,22,0,10,18.064623017133833
cell_beta_0p34_p_0p00,dataset_007_seed_730234,48,10,60,40,0,10,23.74501600994814
cell_beta_0p34_p_0p00,dataset_008_seed_830234,48,10,62,38,0,10,20.671344540795378
cell_beta_0p34_p_0p00,dataset_009_seed_930234,48,10,87,13,0,10,19.948210986596546
cell_beta_0p35_p_0p00,dataset_000_seed_031234,48,10,68,32,0,10,25.643918069762726
cell_beta_0p35_p_0p00,dataset_001_seed_131234,48,10,65,35,0,10,20.146887124397058
cell_beta_0p35_p_0p00,dataset_002_seed_231234,48,10,71,29,0,10,29.996806689697852
cell_beta_0p35_p_0p00,dataset_003_seed_331234,48,10,93,7,0,10,19.122980918911676
cell_beta_0p35_p_0p00,dataset_004_seed_431234,48,10,49,51,0,10,22.655026047913214
cell_beta_0p35_p_0p00,dataset_005_seed_531234,48,10,34,66,0,10,21.85978947959382
cell_beta_0p35_p_0p00,dataset_006_seed_631234,48,10,50,50,0,10,30.402176257767895
cell_beta_0p35_p_0p00,dataset_007_seed_731234,48,10,95,5,0,10,15.109896713242577
cell_beta_0p35_p_0p00,dataset_008_seed_831234,48,10,88,12,0,10,27.435038223605194
cell_beta_0p35_p_0p00,dataset_009_seed_931234,48,10,48,52,0,10,18.205941422527324
cell_beta_0p36_p_0p00,dataset_000_seed_032234,48,10,79,21,0,10,22.857820891446572
cell_beta_0p36_p_0p00,dataset_001_seed_132234,48,10,49,51,0,10,16.678127162844405
cell_beta_0p36_p_0p00,dataset_002_seed_232234,48,10,50,50,0,10,22.067303661216382
cell_beta_0p36_p_0p00,dataset_003_seed_332234,48,10,87,13,0,10,20.574070413012
cell_beta_0p36_p_0p00,dataset_004_seed_432234,48,10,95,5,0,10,15.778844156623778
cell_beta_0p36_p_0p00,dataset_005_seed_532234,48,10,57,43,0,10,32.730845165674516
cell_beta_0p36_p_0p00,dataset_006_seed_632234,48,10,50,50,0,10,14.182013372215232
cell_beta_0p36_p_0p00,dataset_007_seed_732234,48,10,81,19,0,10,23.01602327698601
cell_beta_0p36_p_0p00,dataset_008_seed_832234,48,10,35,65,0,10,22.4565705181815
cell_beta_0p36_p_0p00,dataset_009_seed_932234,48,10,91,9,0,10,12.823738716149972
cell_beta_0p37_p_0p00,dataset_000_seed_033234,48,10,34,66,0,10,16.43267315567631
cell_beta_0p37_p_0p00,dataset_001_seed_133234,48,10,43,57,0,10,25.385516504995035
cell_beta_0p37_p_0p00,dataset_002_seed_233234,48,10,72,28,0,10,16.713956497944626
cell_beta_0p37_p_0p00,dataset_003_seed_333234,48,10,67,33,0,10,16.035253886964608
cell_beta_0p37_p_0p00,dataset_004_seed_433234,48,10,28,72,0,10,20.169895737777118
cell_beta_0p37_p_0p00,dataset_005_seed_533234,48,10,39,61,0,10,16.273321659054332
cell_beta_0p37_p_0p00,dataset_006_seed_633234,48,10,71,29,0,10,26.43890336885929
cell_beta_0p37_p_0p00,dataset_007_seed_733234,48,10,57,43,0,10,30.003607218193316
cell_beta_0p37_p_0p00,dataset_008_seed_833234,48,10,89,11,0,10,18.781017236536524
cell_beta_0p37_p_0p00,dataset_009_seed_933234,48,10,81,19,0,10,28.19039718666694
cell_beta_0p38_p_0p00,dataset_000_seed_034234,48,10,97,3,0,10,15.512490475720886
cell_beta_0p38_p_0p00,dataset_001_seed_134234,48,10,81,19,0,10,19.264562607533424
cell_beta_0p38_p_0p00,dataset_002_seed_234234,48,10,56,44,0,10,20.35142881986195
cell_beta_0p38_p_0p00,dataset_003_seed_334234,48,10,79,21,0,10,17.095442680045796
cell_beta_0p38_p_0p00,dataset_004_seed_434234,48,10,50,50,0,10,11.247778730732254
cell_beta_0p38_p_0p00,dataset_005_seed_534234,48,10,87,13,0,10,13.419322410690333
cell_beta_0p38_p_0p00,dataset_006_seed_634234,48,10,56,44,0,10,18.803411226315188
cell_beta_0p38_p_0p00,dataset_007_seed_734234,48,10,51,49,0,10,19.968896005361113
cell_beta_0p38_p_0p00,dataset_008_seed_834234,48,10,62,38,0,10,16.678392684494636
cell_beta_0p38_p_0p00,dataset_009_seed_934234,48,10,54,46,0,10,29.891883427481236
cell_beta_0p39_p_0p00,dataset_000_seed_035234,48,10,95,5,0,10,17.249145665380752
cell_beta_0p39_p_0p00,dataset_001_seed_135234,48,10,86,14,0,10,15.781548760051153
cell_beta_0p39_p_0p00,dataset_002_seed_235234,48,10,54,46,0,10,12.847411809822594
cell_beta_0p39_p_0p00,dataset_003_seed_335234,48,10,66,34,0,10,20.569223607784455
cell_beta_0p39_p_0p00,dataset_004_seed_435234,48,10,82,18,0,10,18.11524596497378
cell_beta_0p39_p_0p00,dataset_005_seed_535234,48,10,68,32,0,10,26.736623030679638
cell_beta_0p39_p_0p00,dataset_006_seed_635234,48,10,71,29,0,10,22.07193110436431
cell_beta_0p39_p_0p00,dataset_007_seed_735234,48,10,38,62,0,10,28.38557154433017
cell_beta_0p39_p_0p00,dataset_008_seed_835234,48,10,53,47,0,10,16.459483263931485
cell_beta_0p39_p_0p00,dataset_009_seed_935234,48,10,63,37,0,10,22.695102208175268
cell_beta_0p40_p_0p00,dataset_000_seed_036234,48,10,88,12,0,10,17.64654110721169
cell_beta_0p40_p_0p00,dataset_001_seed_136234,48,10,73,27,0,10,18.437782591968418
cell_beta_0p40_p_0p00,dataset_002_seed_236234,48,10,86,14,0,10,29.841782097660445
cell_beta_0p40_p_0p00,dataset_003_seed_336234,48,10,71,29,0,10,15.798740299651548
cell_beta_0p40_p_0p00,dataset_004_seed_436234,48,10,79,21,0,10,28.412748696881568
cell_beta_0p40_p_0p00,dataset_005_seed_536234,48,10,53,47,0,10,25.483207277535772
cell_beta_0p40_p_0p00,dataset_006_seed_636234,48,10,48,52,0,10,13.709618910677158
cell_beta_0p40_p_0p00,dataset_007_seed_736234,48,10,47,53,0,10,19.499299724908994
cell_beta_0p40_p_0p00,dataset_008_seed_836234,48,10,76,24,0,10,21.030933046502117
cell_beta_0p40_p_0p00,dataset_009_seed_936234,48,10,57,43,0,10,20.178691365730234
