eta,rule,radius,n_units,delta_phi_energy_mean,phi_energy_raw_mean
0.15,eta_0p15,0.01,30,0.0137209257219238,-0.0008136144474819
0.15,eta_0p15,0.02,30,0.0135412771760477,-0.000993262993358
0.15,eta_0p15,0.03,30,0.0131459848816758,-0.0013885552877299
0.15,eta_0p15,0.04,30,0.0124255547816912,-0.0021089853877144
0.15,eta_0p15,0.05,30,0.0113125039710398,-0.0032220361983659
0.15,eta_0p15,0.06,30,0.009830328624574,-0.0047042115448317
0.15,eta_0p15,0.07,30,0.0079579323653674,-0.0065766078040383
0.15,eta_0p15,0.08,30,0.0057722113606689,-0.0087623288087368
0.15,eta_0p15,0.09,30,0.0031943566180863,-0.0113401835513194
0.15,eta_0p15,0.1,30,0.0,-0.0145345401694057
0.15,eta_0p15,0.11,30,-0.00302785803569,-0.0175623982050958
0.15,eta_0p15,0.12,30,-0.0063009799668218,-0.0208355201362276
0.15,eta_0p15,0.13,30,-0.0103826578798431,-0.0249171980492489
0.15,eta_0p15,0.14,30,-0.0141283462168522,-0.028662886386258
0.15,eta_0p15,0.15,30,-0.0176574282083553,-0.0321919683777611
0.15,eta_0p15,0.16,30,-0.0221441223037362,-0.036678662473142
0.15,eta_0p15,0.17,30,-0.0259059499484291,-0.0404404901178349
0.15,eta_0p15,0.18,30,-0.0300374760359822,-0.044572016205388
0.15,eta_0p15,0.19,30,-0.0352223070995833,-0.049756847268989
0.15,eta_0p15,0.2,30,-0.0390948800753684,-0.0536294202447742
0.15,eta_0p15,0.21,30,-0.0440936343640748,-0.0586281745334806
0.15,eta_0p15,0.22,30,-0.0481310238719866,-0.0626655640413924
0.15,eta_0p15,0.23,30,-0.0520613656073335,-0.0665959057767393
0.15,eta_0p15,0.24,30,-0.0565894461403465,-0.0711239863097523
0.15,eta_0p15,0.25,30,-0.0602779779767555,-0.0748125181461613
0.15,eta_0p15,0.26,30,-0.0639965673553505,-0.0785311075247563
0.15,eta_0p15,0.27,30,-0.0667982371479485,-0.0813327773173543
0.15,eta_0p15,0.28,30,-0.0699256576995713,-0.0844601978689771
0.15,eta_0p15,0.29,30,-0.0730317628025207,-0.0875663029719265
0.15,eta_0p15,0.3,30,-0.0761375482294043,-0.0906720883988101
0.15,eta_0p15,0.31,30,-0.0780103758863662,-0.0925449160557719
0.15,eta_0p15,0.32,30,-0.0809792182204416,-0.0955137583898473
0.15,eta_0p15,0.33,30,-0.0836092531407996,-0.0981437933102053
0.15,eta_0p15,0.34,30,-0.0854982821982845,-0.1000328223676902
0.15,eta_0p15,0.35,30,-0.087702106925418,-0.1022366470948238
0.15,eta_0p15,0.36,30,-0.0882350323694229,-0.1027695725388287
0.15,eta_0p15,0.37,30,-0.0912270592415404,-0.1057615994109461
0.15,eta_0p15,0.38,30,-0.0917469799331678,-0.1062815201025736
0.15,eta_0p15,0.39,30,-0.0931461512292694,-0.1076806913986752
0.15,eta_0p15,0.4,30,-0.0946508346160887,-0.1091853747854945
0.15,eta_0p15,0.41,30,-0.0960085053332483,-0.1105430455026541
0.15,eta_0p15,0.42,30,-0.0959742119738674,-0.1105087521432732
0.15,eta_0p15,0.43,30,-0.0968853733405321,-0.1114199135099378
0.15,eta_0p15,0.44,30,-0.0977138439934533,-0.112248384162859
0.15,eta_0p15,0.45,30,-0.0986899247213376,-0.1132244648907434
0.15,eta_0p15,0.46,30,-0.0995357689843862,-0.114070309153792
0.15,eta_0p15,0.47,30,-0.0999938447229657,-0.1145283848923715
0.15,eta_0p15,0.48,30,-0.1005269064285711,-0.1150614465979768
0.15,eta_0p15,0.49,30,-0.1014783222840719,-0.1160128624534777
0.15,eta_0p15,0.5,30,-0.1028865138585345,-0.1174210540279403
0.15,eta_0p15,0.51,30,-0.1026545385196938,-0.1171890786890996
0.15,eta_0p15,0.52,30,-0.1040490939893906,-0.1185836341587964
0.15,eta_0p15,0.53,30,-0.1033996822091617,-0.1179342223785675
0.15,eta_0p15,0.54,30,-0.1044632709957545,-0.1189978111651603
0.15,eta_0p15,0.55,30,-0.1049240344770952,-0.119458574646501
0.15,eta_0p15,0.56,30,-0.1048584265464146,-0.1193929667158203
0.15,eta_0p15,0.57,30,-0.1054677683786208,-0.1200023085480266
0.15,eta_0p15,0.58,30,-0.1050525004030586,-0.1195870405724643
0.15,eta_0p15,0.59,30,-0.1068089752930393,-0.121343515462445
0.15,eta_0p15,0.6,30,-0.1067736443651115,-0.1213081845345173
0.15,eta_0p15,0.61,30,-0.1073846547923547,-0.1219191949617605
0.15,eta_0p15,0.62,30,-0.1080112964640573,-0.1225458366334631
0.15,eta_0p15,0.63,30,-0.1081168670045532,-0.122651407173959
0.15,eta_0p15,0.64,30,-0.1077063106989527,-0.1222408508683585
0.15,eta_0p15,0.65,30,-0.1083164845571704,-0.1228510247265761
0.15,eta_0p15,0.66,30,-0.1089642568742922,-0.123498797043698
0.15,eta_0p15,0.67,30,-0.1088719356980814,-0.1234064758674871
0.15,eta_0p15,0.68,30,-0.1096763962946787,-0.1242109364640844
0.15,eta_0p15,0.69,30,-0.1106168703003863,-0.1251514104697921
0.15,eta_0p15,0.7,30,-0.109734882857446,-0.1242694230268517
0.15,eta_0p15,0.71,30,-0.1107736821152392,-0.1253082222846449
0.15,eta_0p15,0.72,30,-0.1102011984883667,-0.1247357386577725
0.15,eta_0p15,0.73,30,-0.1108307908355782,-0.1253653310049839
0.15,eta_0p15,0.74,30,-0.1117345758912313,-0.1262691160606371
0.15,eta_0p15,0.75,30,-0.1116545233602204,-0.1261890635296261
0.15,eta_0p15,0.76,30,-0.1119885690797043,-0.1265231092491101
0.15,eta_0p15,0.77,30,-0.1118921651370383,-0.1264267053064441
0.15,eta_0p15,0.78,30,-0.113492251594126,-0.1280267917635318
0.15,eta_0p15,0.79,30,-0.1128040043074787,-0.1273385444768845
0.15,eta_0p15,0.8,30,-0.1133096046747289,-0.1278441448441347
0.15,eta_0p15,0.81,30,-0.1139234947337967,-0.1284580349032024
0.15,eta_0p15,0.82,30,-0.1135308815309771,-0.1280654217003829
0.15,eta_0p15,0.83,30,-0.1145738046889385,-0.1291083448583442
0.15,eta_0p15,0.84,30,-0.1144163685068602,-0.128950908676266
