metric,python,julia,diff,abs_diff,unit_index,beta,dataset_id,ref_id,radius,n_samples
ce_ref,0.0021289364216490426,0.0021289364216490222,-2.0383000842727483e-17,2.0383000842727483e-17,0,0.05,0,0,0.01,16
err_ref,0.0,0.0,0.0,0.0,0,0.05,0,0,0.01,16
theta_ref_norm,141.42725380764557,141.42725380764557,0.0,0.0,0,0.05,0,0,0.01,16
theta_ref_norm_sq,20001.668119572198,20001.668119572198,0.0,0.0,0,0.05,0,0,0.01,16
kappa,0.028034267635685468,0.028034267635685468,0.0,0.0,0,0.05,0,0,0.01,16
log_prefactor,-4.9845595253070875e-05,-4.9845595253070875e-05,0.0,0.0,0,0.05,0,0,0.01,16
reference_prior_log_weight,-3.9296008093462076,-3.9296008093462076,0.0,0.0,0,0.05,0,0,0.01,16
logZ_inf,-0.005462361036463312,-0.007988971764899053,-0.002526610728435741,0.002526610728435741,0,0.05,0,0,0.01,16
logZ_inf_full,-3.935063170382671,-3.9375897811111065,-0.002526610728435408,0.002526610728435408,0,0.05,0,0,0.01,16
ess_frac,0.999990075311536,0.999976315043472,-1.3760268064100245e-05,1.3760268064100245e-05,0,0.05,0,0,0.01,16
weighted_ce,0.005277590467845967,0.0075259987977417215,0.0022484083298957543,0.0022484083298957543,0,0.05,0,0,0.01,16
weighted_error,0.0019502681416319262,0.002310964580418733,0.0003606964387868068,0.0003606964387868068,0,0.05,0,0,0.01,16
weighted_h,0.07257512123141188,0.09506863673527367,0.02249351550386179,0.02249351550386179,0,0.05,0,0,0.01,16
dlogZ_inf_dr,-1.1488613579828288,-1.8048502636395163,-0.6559889056566874,0.6559889056566874,0,0.05,0,0,0.01,16
