metric,n,mean_diff_julia_minus_python,ci95_low,ci95_high,equivalence_tolerance_abs,passed
logZ_inf,1,-0.002526610728435741,-0.002526610728435741,-0.002526610728435741,0.15,True
logZ_inf_full,1,-0.002526610728435408,-0.002526610728435408,-0.002526610728435408,0.15,True
ess_frac,1,-1.3760268064100245e-05,-1.3760268064100245e-05,-1.3760268064100245e-05,0.15,True
weighted_ce,1,0.0022484083298957543,0.0022484083298957543,0.0022484083298957543,0.08,True
weighted_error,1,0.0003606964387868068,0.0003606964387868068,0.0003606964387868068,0.03,True
weighted_h,1,0.02249351550386179,0.02249351550386179,0.02249351550386179,0.15,True
dlogZ_inf_dr,1,-0.6559889056566874,-0.6559889056566874,-0.6559889056566874,0.6,False
ce_ref,1,2.0383000842727483e-17,0.0,2.0383000842727483e-17,1e-07,True
err_ref,1,0.0,0.0,0.0,1e-07,True
theta_ref_norm,1,0.0,0.0,0.0,1e-07,True
theta_ref_norm_sq,1,0.0,0.0,0.0,1e-07,True
kappa,1,0.0,0.0,0.0,1e-07,True
log_prefactor,1,0.0,0.0,0.0,1e-07,True
reference_prior_log_weight,1,0.0,0.0,0.0,1e-07,True
