r,phi,Q,p,t,cd,s,qref,phi_rel,phi_radius,phi_radius_rel,phi_energy,phi_energy_rel,alpha,eta,A,G_S,G_E,alpha_G_E,quadrature_tier,gradient_max_abs,dF_dsqrtQ,dF_ds,dF_deta,confirmation_quadrature_tier,confirmation_gradient_max_abs,confirmation_dF_dsqrtQ,confirmation_dF_ds,confirmation_dF_deta,root_success,root_status,root_nfev,root_cost,inner_hessian_min_eigenvalue,inner_hessian_max_eigenvalue,reduced_outer_curvature,physical_curvature_signature,boundary_Q,boundary_s,boundary_gradient_max_abs,Q_lower_exact,Q_upper_exact,geometry_margin_lower,geometry_margin_upper,conditional_normalization,quadrature_method,solver_mode,boundary_q_scan_count,boundary_s_seed_count,full_eta_initial
0.15,-1.0200376349314761,0.97927769421103,0.9775064862510698,0.06311015249613995,0.988686404663913,0.01487089591036207,0.06328302527249907,0.0,-1.8971199848858813,0.0,0.8770823499544051,0.0,0.1,3.129392939860397e-05,7.039324599982536e-07,-0.4781918922988355,-0.4173688263040957,-0.041736882630409575,reference_48_48_32_72,5.6772364587232e-07,-5.6772364587232e-07,2.8210767055725224e-08,1.4190905980310468e-10,confirmation_32_32_24_48,1.831867990631508e-10,-1.831867990631508e-10,-1.1102230246251564e-11,2.0272722829014956e-11,True,3,12,1.7045823079173016e-20,0.06745669793722195,0.5008815990450146,-46.33522305106016,True,0.979277670026252,0.014877787945733268,8.326672684688673e-11,0.7224999999999999,1.3224999999999998,0.25677769421103,0.34322230578896984,0.9999999999999999,conditional_CDF_GH_GL,corrected_full_A,129,65,0.001
0.2,-0.7330071930156923,0.964344485101262,0.9600226488847498,0.0629669720644502,0.9797983941116842,0.01976463578218453,0.06328302527249907,0.28703044191578386,-1.6094379124341003,0.287682072451781,0.876430719418408,-0.0006516305359971497,0.1,5.332883487279e-05,2.132059256512756e-06,-0.19054729608707732,-0.42134305120144405,-0.042134305120144405,reference_48_48_32_72,5.807271330482422e-07,-5.807271330482422e-07,3.863576125695545e-08,2.7361375218801623e-10,confirmation_32_32_24_48,4.4408920985006255e-11,4.4408920985006255e-11,1.3877787807814455e-11,2.0818437666479496e-11,True,3,10,1.2990763021821722e-21,0.06737971024685509,0.5015454633258981,-26.863384476076934,True,0.9643444429401915,0.019780544058506565,1.6653345369377348e-11,0.6400000000000001,1.44,0.3243444851012619,0.4756555148987379,0.9999999999999999,conditional_CDF_GH_GL,corrected_full_A,129,65,0.001
0.25,-0.5108811440809312,0.9465117635342467,0.9375642296431436,0.06277199193142417,0.9682569133808128,0.024611067849801063,0.06328302527249907,0.5091564908505449,-1.3862943611198906,0.5108256237659907,0.8754132170389594,-0.0016691329154457923,0.1,7.904754715552052e-05,4.9357846631457695e-06,0.032493131678285936,-0.42632454015437266,-0.04263245401543727,reference_48_48_32_72,5.966227512033129e-07,-5.966227512033129e-07,4.977684930906889e-08,4.4686476741162546e-10,confirmation_32_32_24_48,3.885780586188048e-11,-3.885780586188048e-11,0.0,5.551115123125782e-12,True,1,9,7.703719777548943e-22,0.06728311636730075,0.5023840992311479,-17.831362883634796,True,0.9465116993651448,0.02464056612576071,3.3306690738754696e-11,0.5625,1.5625,0.3840117635342467,0.6159882364657533,0.9999999999999999,conditional_CDF_GH_GL,corrected_full_A,129,65,0.001
0.3,-0.33005830473301134,0.9265920377488088,0.9101616439909542,0.06251754163049689,0.953978132039195,0.02940532315924538,0.06328302527249907,0.6899793301984648,-1.2039728043259361,0.6931471805599453,0.8739144995929248,-0.0031678503614804843,0.1,0.00010697219265013463,9.611234061152618e-06,0.21458238440909416,-0.43223720761646506,-0.04322372076164651,reference_48_48_32_72,6.139658226267386e-07,-6.139658226267386e-07,6.13023520834588e-08,1.108835245844375e-09,confirmation_32_32_24_48,4.357625371653739e-10,4.024558464266192e-11,-4.357625371653739e-10,3.719247132494274e-10,True,1,8,1.6491834410285115e-19,0.06716832878273592,0.5033830828883566,-12.907649327565684,True,0.9265919484305446,0.029452944697419936,1.3183898417423734e-10,0.48999999999999994,1.6900000000000002,0.4365920377488089,0.7634079622511913,0.9999999999999999,conditional_CDF_GH_GL,corrected_full_A,129,65,0.001
0.35,-0.17801149798601348,0.9054057859169382,0.8778741674758995,0.06219475198936058,0.9368644636070115,0.03414528603140399,0.06328302527249907,0.8420261369454627,-1.0498221244986778,0.8472978603872037,0.8718106265126644,-0.005271723441740983,0.1,0.00013567919793271429,1.6572183504300805e-05,0.36827785057403495,-0.4390042882816783,-0.04390042882816783,reference_48_48_32_72,6.318036371855129e-07,-6.318036371855129e-07,7.448347494332097e-08,1.2330414467243145e-09,confirmation_32_32_24_48,5.1347814888913484e-11,8.326672684688674e-12,3.608224830031759e-11,5.1347814888913484e-11,True,1,8,2.0039301071349185e-21,0.06703680489686872,0.5045303690335236,-9.92399137894927,True,0.9054056692528019,0.0342150609529585,4.121702978920893e-10,0.42250000000000004,1.8225000000000002,0.48290578591693817,0.917094214083062,0.9999999999999999,conditional_CDF_GH_GL,corrected_full_A,129,65,0.001
0.4,-0.04731606053737022,0.8837376656308987,0.8408076986086873,0.06179381881439289,0.9168103199058347,0.03883094851481345,0.06328302527249907,0.9727215743941059,-0.916290731874155,0.9808292530117263,0.8689746713367847,-0.008107678617620406,0.1,0.00016390757108966395,2.6097100969656214e-05,0.5010055205137777,-0.4465523887467378,-0.044655238874673785,reference_48_48_32_72,6.48468258257484e-07,-6.48468258257484e-07,8.772010895441439e-08,1.8542459234716089e-09,confirmation_32_32_24_48,1.4398204850607497e-11,-1.0408340855860841e-11,7.112366251504908e-12,1.4398204850607497e-11,True,1,8,1.8311380799369264e-22,0.06688994577833864,0.5058186845745781,-7.975622209204637,True,0.8837375205420738,0.03892607845704924,3.41740524767431e-11,0.36,1.9599999999999997,0.5237376656308987,1.0762623343691011,0.9999999999999999,conditional_CDF_GH_GL,corrected_full_A,129,65,0.001
0.45,0.06677337042093592,0.8623094972095362,0.7991362765179146,0.061304325118231855,0.8937100977384905,0.04346381108526746,0.06328302527249907,1.086811005352412,-0.7985076962177716,1.0986122886681098,0.8652810666387075,-0.011801283315697741,0.1,0.00019061441177225472,3.829482004251885e-05,0.6174800266985249,-0.45481394036246153,-0.04548139403624615,reference_48_48_32_72,6.621349302182721e-07,-6.621349302182721e-07,9.89010956464753e-08,5.165659566763735e-09,confirmation_32_32_24_48,2.3724078257458814e-09,-7.771561172376096e-11,-2.2648549702353193e-09,2.3724078257458814e-09,True,1,7,5.381963322082764e-18,0.0667290136272687,0.5072374139347832,-6.63101556667731,True,0.8623093238046083,0.04358651871869651,2.4286128663675296e-11,0.30250000000000005,2.1025,0.5598094972095362,1.2401905027904638,0.9999999999999999,conditional_CDF_GH_GL,corrected_full_A,129,65,0.001
0.5,0.16746150120263345,0.8417671503781884,0.7531254742134326,0.06071564405347249,0.8674681843617729,0.0480464282762114,0.06328302527249907,1.1874991361341096,-0.6931471805599453,1.2039728043259361,0.8606086817625788,-0.016473668191826496,0.1,0.0002149702519769979,5.308209008532137e-05,0.720843833435684,-0.46372833804530633,-0.04637283380453064,reference_48_48_32_72,6.70326988361225e-07,-6.70326988361225e-07,1.1296519275560966e-07,4.957145804951324e-09,confirmation_32_32_24_48,1.2628786905111156e-09,3.5388358909926865e-11,-1.2628786905111156e-09,8.076872504148013e-10,True,1,7,1.124236808688015e-18,0.06655523184053724,0.5087801846030044,-5.663407061544083,True,0.8417669502970255,0.048197737582507456,7.632783294297951e-12,0.25,2.25,0.5917671503781884,1.4082328496218115,0.9999999999999999,conditional_CDF_GH_GL,corrected_full_A,129,65,0.001
0.55,0.2570057988390681,0.822677380267677,0.7031550964350171,0.06001737579872451,0.838010561699973,0.052581665620723875,0.06328302527249907,1.2770434337705443,-0.5978370007556204,1.2992829841302609,0.8548427995946886,-0.022239550359716587,0.1,0.00023642674182616566,7.019867022045202e-05,0.8132642822480967,-0.4732421342821395,-0.047324213428213954,reference_48_48_32_72,6.708044553418512e-07,-6.708044553418512e-07,1.2563700080292506e-07,6.458722445756847e-09,confirmation_32_32_24_48,4.538036613155327e-10,-3.280205046978971e-11,-4.538036613155327e-10,4.302114220422481e-10,True,1,7,1.9604780259700932e-19,0.06636964655396708,0.5104408256712574,-4.944511586705359,True,0.8226771567521887,0.052761588870680665,8.831321280328e-12,0.20249999999999996,2.4025000000000003,0.6201773802676771,1.5798226197323233,0.9999999999999999,conditional_CDF_GH_GL,corrected_full_A,129,65,0.001
0.6,0.33705059984337726,0.8055309202372629,0.6497379966588442,0.05919991184567015,0.8052973730419825,0.05707255140469177,0.06328302527249907,1.3570882347748534,-0.5108256237659907,1.3862943611198906,0.847876223609368,-0.029206126345037164,0.1,0.0002546520108204053,8.921764291697829e-05,0.896273772107961,-0.483308667901021,-0.0483308667901021,reference_48_48_32_72,6.603966380782074e-07,-6.603966380782074e-07,1.3581913371751853e-07,8.251732630526476e-09,confirmation_32_32_24_48,3.1918911957973245e-10,-4.163337175011772e-11,1.1241008124329709e-10,-3.1918911957973245e-10,True,1,7,5.812552903324645e-20,0.06617325772203432,0.5122149489724934,-4.397409436357832,True,0.8055306786868547,0.057280147710919056,6.9388939039072276e-12,0.16000000000000003,2.5600000000000005,0.6455309202372629,1.7544690797627376,0.9999999999999999,conditional_CDF_GH_GL,corrected_full_A,129,65,0.001
