rule,radius,delta_phi_energy_mean,bootstrap_sd,ci95_low,ci95_high
low_tv_spectral_teacher,0.01,0.0,0.0,0.0,0.0
low_tv_spectral_teacher,0.011,-6.537784828122788e-06,6.086544938374715e-07,-7.730747636044232e-06,-5.344822020201345e-06
low_tv_spectral_teacher,0.012,-1.3302806667582187e-05,1.172637413480536e-06,-1.5601175998004038e-05,-1.1004437337160337e-05
low_tv_spectral_teacher,0.013,-2.117572294907376e-05,1.8478702971776665e-06,-2.4797548731541986e-05,-1.7553897166605536e-05
low_tv_spectral_teacher,0.014,-2.9385447941817676e-05,2.617312015238073e-06,-3.45153794916843e-05,-2.4255516391951054e-05
low_tv_spectral_teacher,0.016,-4.81559964851772e-05,4.331960000061943e-06,-5.664663808529861e-05,-3.966535488505579e-05
low_tv_spectral_teacher,0.018,-6.935777598768187e-05,5.701552294865208e-06,-8.053281848561768e-05,-5.8182733489746066e-05
low_tv_spectral_teacher,0.02,-9.415256508745334e-05,7.837361897584323e-06,-0.00010951379440671861,-7.879133576818807e-05
low_tv_spectral_teacher,0.025,-0.0001684141085543345,1.3271999380796931e-05,-0.00019442722734069648,-0.00014240098976797252
low_tv_spectral_teacher,0.03,-0.00026431170427475596,2.269875745971181e-05,-0.0003088012688957911,-0.00021982213965372082
low_tv_spectral_teacher,0.04,-0.0005264907257362377,3.977197942573366e-05,-0.0006044438054106757,-0.00044853764606179975
low_tv_spectral_teacher,0.05,-0.0008973311714724907,6.068033547815499e-05,-0.0010162646290096744,-0.0007783977139353069
low_tv_spectral_teacher,0.065,-0.0016690293834797688,0.00010095644283103725,-0.0018669040114286017,-0.001471154755530936
low_tv_spectral_teacher,0.08,-0.0026950720896897666,0.00013649956672394639,-0.002962611240468702,-0.0024275329389108315
random_label,0.01,0.0,0.0,0.0,0.0
random_label,0.011,-2.8324250053949323e-05,1.1489854207198653e-06,-3.057626147856026e-05,-2.6072238629338387e-05
random_label,0.012,-6.0310637080444263e-05,2.580437904745943e-06,-6.536829537374631e-05,-5.5252978787142216e-05
random_label,0.013,-9.475987030025528e-05,3.976459875401521e-06,-0.00010255373165604225,-8.69660089444683e-05
random_label,0.014,-0.00013341149021135943,5.433666315111433e-06,-0.00014406147618897783,-0.00012276150423374104
random_label,0.016,-0.00022151309041291097,8.142032660754634e-06,-0.00023747147442799006,-0.00020555470639783188
random_label,0.018,-0.0003256364956715341,1.2303618056185213e-05,-0.00034975158706165713,-0.0003015214042814111
random_label,0.02,-0.00044766932940529356,1.5892415103290957e-05,-0.00047881846300774385,-0.00041652019580284326
random_label,0.025,-0.0008464632922047847,2.9033250292979347e-05,-0.0009033684627790242,-0.0007895581216305451
random_label,0.03,-0.0013951743218633766,4.119947538839098e-05,-0.0014759252936246228,-0.0013144233501021303
random_label,0.04,-0.002997516277113998,7.886467723795038e-05,-0.003152091044500381,-0.002842941509727615
random_label,0.05,-0.005247138338550981,0.00013028814549864817,-0.005502503103728331,-0.00499177357337363
random_label,0.065,-0.009722715736097511,0.0002043080489027363,-0.010123159511946873,-0.009322271960248148
random_label,0.08,-0.01520437398425564,0.0002954858050562792,-0.015783526162165946,-0.014625221806345333
real_even_odd,0.01,0.0,0.0,0.0,0.0
real_even_odd,0.011,-1.5662467702189197e-06,1.4479176694348685e-07,-1.850038633428154e-06,-1.2824549070096854e-06
real_even_odd,0.012,-3.242306117074175e-06,3.0624021185944287e-07,-3.842536932318683e-06,-2.642075301829667e-06
real_even_odd,0.013,-5.167708211264355e-06,4.982765680405068e-07,-6.144330284623748e-06,-4.191086137904961e-06
real_even_odd,0.014,-7.277120790406902e-06,7.048947642316022e-07,-8.658714528300843e-06,-5.895527052512962e-06
real_even_odd,0.016,-1.1973698116770195e-05,1.1170636066468543e-06,-1.416314278579803e-05,-9.78425344774236e-06
real_even_odd,0.018,-1.7595714760840945e-05,1.6393419773638341e-06,-2.080882503647406e-05,-1.4382604485207829e-05
real_even_odd,0.02,-2.395183307367418e-05,2.2519165472483657e-06,-2.836558950628098e-05,-1.9538076641067382e-05
real_even_odd,0.025,-4.4653271710066014e-05,4.133927013881245e-06,-5.2755768657273254e-05,-3.6550774762858775e-05
real_even_odd,0.03,-7.352894424754581e-05,6.191741840630259e-06,-8.566475825518112e-05,-6.13931302399105e-05
real_even_odd,0.04,-0.0001662803200185588,1.2832943572321424e-05,-0.0001914328894203088,-0.00014112775061680881
real_even_odd,0.05,-0.0003271664523838142,2.086415975673923e-05,-0.0003680602055070231,-0.0002862726992606053
real_even_odd,0.065,-0.0007461043253730731,3.782651560177089e-05,-0.0008202442959525441,-0.0006719643547936022
