branch,r,phi,phi_rel,Q,s,eta,A,p,t,cd,G_S,G_E,p_min,qref,alpha,beta,lambda_ref,lambda_shell
boundary_mixed_eta0,0.15,-0.9967103247638036,0.0,1.0225,0.0,0.0,0.0,0.9779951100244498,0.06258288421145754,0.9889363528682975,-0.4893067561486175,-0.07278873082596041,0.9779951100244498,0.06328302527249907,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.2,-0.7177954222680603,0.27891490249574336,1.04,0.0,0.0,0.0,0.9615384615384615,0.062054111681472714,0.9805806756909201,-0.2101097358060673,-0.07296043038633666,0.9615384615384615,0.06328302527249907,0.1,1.0,1.0,1.0
full_max_envelope,0.15,-0.6312443611633863,0.0,1.0225,-0.5,0.5,0.008251833740831327,0.9917481662591687,0.04452456122020052,0.9889363528682975,-0.1238686092697483,-0.07251056361047985,0.9834963325183373,0.06328302527249907,0.1,1.0,1.0,1.0
full_max_envelope,0.2,-0.35232473682610804,0.2789196243372783,1.04,-0.5,0.5,0.014423076923076983,0.985576923076923,0.0381797844688701,0.9805806756909201,0.1553284110727957,-0.07263504475544413,0.971153846153846,0.06328302527249907,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.15,-0.9967103247638036,0.0,1.0225,0.0,0.0,0.0,0.9779951100244498,0.06258288421145754,0.9889363528682975,-0.4893067561486175,-0.07278873082596041,0.9779951100244498,0.06328302527249907,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.2,-0.7177954222680603,0.27891490249574336,1.04,0.0,0.0,0.0,0.9615384615384615,0.062054111681472714,0.9805806756909201,-0.2101097358060673,-0.07296043038633666,0.9615384615384615,0.06328302527249907,0.1,1.0,1.0,1.0
