beta,radius,finite_reference_coverage_pass,ess_pass,ess_fraction_pass,split_pass,bootstrap_pass,smc_completed_pass,smc_cess_pass,smc_steps_pass,claim,finite_ref_count,finite_ref_min,aggregate_ref_level_ess,aggregate_ref_level_ess_min,q05_ess_fraction,q05_ess_fraction_min,max_split_logZ_per_P_diff,max_split_logZ_per_P_diff_allowed,bootstrap_sd_phi,bootstrap_sd_phi_max,min_smc_cess_fraction,min_smc_cess_fraction_allowed,max_smc_step_count,max_smc_step_count_allowed
0.06,0.1,True,True,True,True,True,True,True,True,pass,100,100,98426.34368197258,25600.0,0.9164287443696089,0.2,1.1320752429586346e-05,0.004,1.3810757712873915e-05,0.012,0.903044842220601,0.6,1.0,120.0
0.06,0.2,True,True,True,True,True,True,True,True,pass,100,100,90523.35127086987,25600.0,0.7736072126871657,0.2,2.3800589264795324e-05,0.004,3.210937073896585e-05,0.012,0.7500000000019619,0.6,2.0,120.0
0.06,0.3,True,True,True,True,True,True,True,True,pass,100,100,92978.24722836405,25600.0,0.7691218678777093,0.2,3.726369457520994e-05,0.004,4.9176387713220014e-05,0.012,0.7500000000007069,0.6,2.0,120.0
0.06,0.4,True,True,True,True,True,True,True,True,pass,100,100,97411.74865549873,25600.0,0.7868651773620713,0.2,7.30360825483176e-05,0.004,6.634015038470524e-05,0.012,0.7500000000013757,0.6,3.0,120.0
0.06,0.5,True,True,True,True,True,True,True,True,pass,100,100,100520.5075063944,25600.0,0.7921821692883559,0.2,9.459771712016744e-05,0.004,7.571494297318348e-05,0.012,0.7500000000010932,0.6,3.0,120.0
0.06,0.6,True,True,True,True,True,True,True,True,pass,100,100,101063.21238105407,25600.0,0.9284985276744065,0.2,9.609720732800689e-05,0.004,8.772984477185715e-05,0.012,0.75000000000017,0.6,3.0,120.0
0.06,0.7,True,True,True,True,True,True,True,True,pass,100,100,99760.02831034276,25600.0,0.8786984387200696,0.2,0.00010426181428106801,0.004,9.397054056998462e-05,0.012,0.750000000000154,0.6,4.0,120.0
0.06,0.8,True,True,True,True,True,True,True,True,pass,100,100,97839.92003193827,25600.0,0.7932816445074168,0.2,0.00016410283125969878,0.004,0.00010656968331585456,0.012,0.750000000000106,0.6,4.0,120.0
0.06,0.9,True,True,True,True,True,True,True,True,pass,100,100,97931.30662449883,25600.0,0.8450614978527995,0.2,0.00018296107155525165,0.004,0.00011570324609987376,0.012,0.7500000000007002,0.6,4.0,120.0
0.06,1.0,True,True,True,True,True,True,True,True,pass,100,100,97291.99313832281,25600.0,0.7994657446876142,0.2,0.0001875770363514951,0.004,0.00011424993063749283,0.012,0.7500000000000354,0.6,4.0,120.0
0.06,1.1,True,True,True,True,True,True,True,True,pass,100,100,97454.27649098012,25600.0,0.8214572189150021,0.2,0.0002023006710701077,0.004,0.00011647744328139976,0.012,0.7500000000000581,0.6,5.0,120.0
0.06,1.2,True,True,True,True,True,True,True,True,pass,100,100,97089.29346764575,25600.0,0.8061601025692202,0.2,0.00020375949913076173,0.004,0.00012501846295736763,0.012,0.7500000000005497,0.6,5.0,120.0
0.06,1.3,True,True,True,True,True,True,True,True,pass,100,100,96846.23270746646,25600.0,0.8038913954896663,0.2,0.0003159055717438575,0.004,0.00012451705632965778,0.012,0.7500000000001966,0.6,5.0,120.0
0.06,1.4,True,True,True,True,True,True,True,True,pass,100,100,96863.18208372891,25600.0,0.7972530810638192,0.2,0.0002469906077979676,0.004,0.00013071798547214684,0.012,0.7500000000016968,0.6,5.0,120.0
