rule,ref_id,radius,phi_energy_raw,source_run,nmstv_mean,tv_mean
very_low_tv_spectral_teacher,0,0.1,-0.005083837723007,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.15,-0.0090271153773854,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.2,-0.0134499955000171,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.25,-0.0175944384391042,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.3,-0.022265326624599,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.35,-0.0265469351298054,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.4,-0.0295831563767154,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.45,-0.0324829691001899,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.5,-0.0349749801132349,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.55,-0.0365867255754092,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.6,-0.0367466393100054,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.65,-0.0419091052774946,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.7,-0.0474758274787906,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.75,-0.0455248520376642,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.8,-0.0502076581756841,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.85,-0.050149959698983,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.9,-0.0560283638396485,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,0.95,-0.0549612928045879,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.0,-0.0605517733781129,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.05,-0.0637289257181535,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.1,-0.0659614459155625,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.15,-0.0657928294448544,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.2,-0.0667360343045783,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.25,-0.0711873578783022,advanced_90ref,0.3245703473792008,0.1622455532858676
