N,r,split_logZ_per_N_diff,dataset_id,ref_id,split0_logZ,split1_logZ,signed_split_logZ_per_N_diff,ess_fraction,smc_min_cess_fraction,smc_completed,sampler_method,n_particles,sample_payload_path,payload_split,far_split_start_r,source_path
40,0.15,0.00019259683000931725,1,2,-1.3129663374871183,-1.320670210687491,0.00019259683000931725,0.9925329499609972,0.992388657607432,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_002/ref_003/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,2.0067501636900075e-05,1,3,-2.2551614901832053,-2.2543587901177293,-2.0067501636900075e-05,0.9899748239667242,0.9896937094879504,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_002/ref_004/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,1.421178350839991e-05,1,4,-1.826669177379859,-1.826100706039523,-1.421178350839991e-05,0.9917337171740388,0.9916801813620996,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_002/ref_005/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.0002673798049163234,1,5,-1.906365150798379,-1.917060342995032,0.0002673798049163234,0.989784488250657,0.989430915711164,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_002/ref_006/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,6.930917530905134e-05,1,6,-1.4344659633535934,-1.4316935963412314,-6.930917530905134e-05,0.9942581254109146,0.9938696476343046,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_002/ref_007/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.00017124844343383017,1,7,-1.8698078961183189,-1.876657833855672,0.00017124844343383017,0.9904867662244172,0.9903643208702309,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_002/ref_008/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,5.637403131968366e-05,1,8,-1.7113236386904134,-1.7135785999432007,5.637403131968366e-05,0.9925594396982904,0.9925388319307396,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_002/ref_009/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.00012064661487115047,1,9,-1.7550647215939503,-1.7598905861887963,0.00012064661487115047,0.9913931002728346,0.991372825826779,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_002/ref_010/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.0002121472405128777,2,0,-1.8866970000216656,-1.8951828896421807,0.0002121472405128777,0.9798771490507676,0.979574088273349,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_003/ref_001/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.00011031652884405663,2,1,-1.4759138770732594,-1.4803265382270216,0.00011031652884405663,0.9884709053971912,0.9882722241990292,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_003/ref_002/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
