N,r,split_logZ_per_N_diff,dataset_id,ref_id,split0_logZ,split1_logZ,signed_split_logZ_per_N_diff,ess_fraction,smc_min_cess_fraction,smc_completed,sampler_method,n_particles,sample_payload_path,payload_split,far_split_start_r,source_path
80,0.15,7.6534214684576e-05,0,0,-3.618462001469616,-3.624584738644382,7.6534214684576e-05,0.9738276716914328,0.973106941727079,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_80/dataset_001/ref_001/r_001/samples.npy,near_split,1.85,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
80,0.15,6.732084972247421e-05,0,1,-2.2377661430942246,-2.2431518110720226,6.732084972247421e-05,0.9862463595973252,0.9860082352577144,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_80/dataset_001/ref_002/r_001/samples.npy,near_split,1.85,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
80,0.15,1.7031987172499984e-05,0,2,-3.0323552659042927,-3.0309927069304927,-1.7031987172499984e-05,0.981808824528104,0.9816455789401962,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_80/dataset_001/ref_003/r_001/samples.npy,near_split,1.85,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
80,0.15,0.00011439883148807728,0,3,-3.742110522881522,-3.751262429400568,0.00011439883148807728,0.9747253947355732,0.9746740385191408,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_80/dataset_001/ref_004/r_001/samples.npy,near_split,1.85,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
80,0.15,7.01276236917514e-05,0,4,-3.310962839932818,-3.305352630037478,-7.01276236917514e-05,0.9792610726435445,0.9788181363556032,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_80/dataset_001/ref_005/r_001/samples.npy,near_split,1.85,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
80,0.15,3.1628410279016526e-05,0,5,-3.718422335218538,-3.715892062396217,-3.1628410279016526e-05,0.9753678545170288,0.974806568159006,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_80/dataset_001/ref_006/r_001/samples.npy,near_split,1.85,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
80,0.15,0.00017448967452078358,0,6,-3.2133125377831244,-3.227271711744787,0.00017448967452078358,0.979374759469159,0.9790203414710724,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_80/dataset_001/ref_007/r_001/samples.npy,near_split,1.85,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
80,0.15,9.135472334000915e-05,0,7,-3.250136256250585,-3.2428278783833844,-9.135472334000915e-05,0.9813609294010563,0.9811892763645638,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_80/dataset_001/ref_008/r_001/samples.npy,near_split,1.85,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
80,0.15,4.2958912105212076e-05,0,8,-3.040792721983727,-3.044229434952144,4.2958912105212076e-05,0.9803085667839004,0.9792872075520164,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_80/dataset_001/ref_009/r_001/samples.npy,near_split,1.85,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
80,0.15,5.1868564381096774e-05,0,9,-3.660351759928233,-3.6562022747777454,-5.1868564381096774e-05,0.9740237521124055,0.9738171146644686,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_80/dataset_001/ref_010/r_001/samples.npy,near_split,1.85,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
