eta,knn_nmstv_mean,knn_nmstv_sem,cut_fraction_mean,n_units,phi_energy_raw_mean,phi_energy_raw_sem,delta_phi_energy_mean,delta_phi_energy_sem,weighted_ce_mean,weighted_error_mean,split_logZ_per_P_diff_max,d_phi_energy_raw_dd,d_delta_phi_energy_dd,dphi_uplift_from_eta0,dphi_uplift_positive
0.2,0.7398606486880888,0.0076042280284867,0.369279128248114,1,-0.1298551131672142,0.0,,0.0,0.5323263460313588,0.2495730524985005,0.0033071864455723,-0.0352401872633341,,0.0,0.0
0.25,0.8111369149742439,0.0077384964085522,0.4049036043587594,1,-0.1495979744346333,0.0,,0.0,0.6292603235333334,0.3390489134867462,6.941480783182162e-05,0.0066483410214169,,0.041888528284750995,0.041888528284750995
0.3,0.8842567567966284,0.0075906495851628,0.4413243922883487,1,-0.1558186688475759,0.0,,0.0,0.6419176403201595,0.3430634397020585,0.0023664900511002,-0.0152684076730877,,0.019971779590246395,0.019971779590246395
0.35,0.9336710414847296,0.0072500271784772,0.466219614417435,1,-0.1601940315617727,0.0,,0.0,0.6661992619361955,0.3809715095330999,0.0015126820804714,-0.0111211470926774,,0.0241190401706567,0.0241190401706567
0.4,0.9686066224160286,0.0064412113179321,0.4839061190276614,1,-0.1561548559613639,0.0,,0.0,0.6562051166217266,0.3720896922172794,0.0006925580661036,-0.0107017461394893,,0.024538441123844797,0.024538441123844797
0.5,1.0001069477431794,0.0071004434660427,0.4995808885163453,1,-0.1611998144467674,0.0,,0.0,0.6761288179667821,0.403914216216425,0.0002166961248175,-0.0007198790513077,,0.034520308212026396,0.034520308212026396
