rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2
low_tv_spectral_teacher,0.1,0.1,-0.005567337475627655,0.0,0.0,90,90,complete,True,-0.1195904183374596,-0.02553590267856995,-0.11959041833745962,-0.025535902678569672,6.809064860725789,-14.403794704616422
low_tv_spectral_teacher,0.2,0.1,-0.017526379309373615,-0.011959041833745963,0.6809064860725789,90,90,complete,True,-0.1221440086053166,0.030929082284000486,-0.12214400860531659,0.03092908228400082,5.3686853902641465,-17.29070911537412
low_tv_spectral_teacher,0.3,0.1,-0.029996139196690974,-0.024428801721063313,1.0737370780528293,90,90,complete,False,-0.11340460188065951,0.14163210971188311,-0.11340460188065946,0.14163210971188295,3.3509230376509653,-14.54706349836627
low_tv_spectral_teacher,0.4,0.1,-0.040207299685505515,-0.034639962209877855,1.3510910936027718,90,90,complete,False,-0.09381758666293996,0.18278297381365088,-0.09381758666293998,0.18278297381365055,2.4592726905908933,-7.006346427155277
low_tv_spectral_teacher,0.5,0.1,-0.048759656529278966,-0.04319231905365131,1.565591616171008,90,90,complete,False,-0.07684800711792936,0.1607133677971489,-0.07684800711792936,0.16071336779714895,1.94965375221991,-4.196350146791961
low_tv_spectral_teacher,0.6,0.1,-0.05557690110909138,-0.050009563633463726,1.7410218440467538,90,90,complete,False,-0.0616749131035102,0.08268012800523378,-0.0616749131035102,0.08268012800523405,1.6200026612325011,-2.86069926771503
low_tv_spectral_teacher,0.7,0.1,-0.061094639149981,-0.055527301674353345,1.889592148417508,90,90,complete,False,-0.06031198151688261,0.032565634147788625,-0.06031198151688255,0.0325656341477889,1.377513898676904,-2.0955145011341774
low_tv_spectral_teacher,0.8,0.1,-0.0676392974124679,-0.06207195993684023,2.0165246237821344,90,90,complete,False,-0.05516178627395246,0.0579469545750011,-0.05516178627395241,0.05794695457500082,1.2008997610056653,-1.5548604610936767
low_tv_spectral_teacher,0.9,0.1,-0.0721269964047715,-0.06655965892914384,2.1297721006186414,90,90,complete,False,-0.04872259060188239,0.028894141352453245,-0.04872259060188239,0.02889414135245269,1.0665418064581687,-1.2366847161661898
low_tv_spectral_teacher,1.0,0.1,-0.07738381553284436,-0.0718164780572167,2.229832985073768,90,90,complete,False,-0.04938295800346182,0.035230332758613064,-0.049382958003461874,0.03523033275861279,0.9535628177724274,-0.9849048411526775
low_tv_spectral_teacher,1.1,0.1,-0.08200358800546387,-0.07643625052983621,2.3204846641731267,90,90,complete,False,-0.04167652405015976,0.054047856870408,-0.04167652405015981,0.05404785687040828,0.869560838227633,-0.7860259196991315
low_tv_spectral_teacher,1.2,0.1,-0.08571912034287629,-0.08015178286724865,2.403745152719294,90,90,complete,False,-0.0385733866293802,0.01817010851432746,-0.0385733866293802,0.01817010851432857,0.796357633832601,-0.6858156425835391
low_tv_spectral_teacher,1.3,0.1,-0.08971826533133992,-0.08415092785571227,2.4797561909396473,90,90,complete,False,-0.03804250234729428,0.021752749740038546,-0.038042502347294116,0.02175274974003799,0.7323977097109253,-0.5768349474900698
low_tv_spectral_teacher,1.4,0.1,-0.09332762081233513,-0.08776028333670746,2.5502246946614786,90,90,complete,False,-0.03422283668137249,0.039188689641177,-0.034222836681372604,0.03918868964117589,0.680990644334587,-0.4760840299720934
low_tv_spectral_teacher,1.5,0.1,-0.09656283266761444,-0.0909954951919868,2.615954319806565,90,90,complete,False,-0.030204764419058894,0.033771812552478825,-0.03020476441905895,0.033771812552479935,0.6371809037165068,-0.41448848498101887
low_tv_spectral_teacher,1.6,0.1,-0.0993685736961469,-0.09380123622051925,2.67766087540478,90,90,complete,False,-0.027468474170876722,0.006951130741332717,-0.02746847417087661,0.006951130741333272,0.5980929473383831,-0.3865978142162425
low_tv_spectral_teacher,1.7,0.1,-0.10205652750178977,-0.09648919002616212,2.735572909274241,90,90,complete,False,-0.028814538270792334,0.021494642857498525,-0.028814538270792278,0.021494642857498247,0.5598613408732582,-0.32680146945158395
low_tv_spectral_teacher,1.8,0.1,-0.1051314813503054,-0.09956414387467773,2.789633143579432,90,90,complete,False,-0.023169545599377006,0.030110303690432327,-0.02316954559937695,0.03011030369043205,0.5327326534480665,-0.2803265024498458
low_tv_spectral_teacher,1.9,0.1,-0.10669043662166515,-0.1011230991460375,2.842119439963854,90,90,complete,False,-0.022792477532705857,-0.04632020654475087,-0.022792477532705857,-0.046320206544750595,0.5037960403832891,-0.32476143288541026
low_tv_spectral_teacher,2.0,0.1,-0.10968997685684659,-0.10412263938121892,2.8903923516560903,90,90,complete,False,-0.032433586908327205,-0.01123840989611656,-0.032433586908327094,-0.011238409896118226,0.46778036687098457,-0.26239471017661664
low_tv_spectral_teacher,2.1,0.1,-0.11317715400333062,-0.10760981652770293,2.935675513338051,90,90,complete,False,-0.025040159511929172,0.04816526995040478,-0.025040159511929505,0.048165269950404224,0.45131709834796574,-0.17953417807976946
low_tv_spectral_teacher,2.2,0.1,-0.11469800875923243,-0.1091306712836048,2.9806557713256834,90,90,complete,False,-0.02280053291824624,0.008029196463081256,-0.02280053291824624,0.008029196463084032,0.4318735312550306,-0.19935657074691004
low_tv_spectral_teacher,2.3,0.1,-0.11773726058697989,-0.1121699231113522,3.0220502195890577,90,90,complete,False,-0.02343432021931291,0.05120442955568941,-0.023434320219312688,0.05120442955568774,0.4114457841985839,-0.1384726975879773
low_tv_spectral_teacher,2.4,0.1,-0.11938487280309498,-0.11381753532746731,3.0629449281653995,90,90,complete,False,-0.012559647007108321,0.07395574183123488,-0.012559647007108654,0.07395574183123238,0.4041789917374352,-0.06017443243565057
low_tv_spectral_teacher,2.5,0.1,-0.12024918998840158,-0.11468185251277394,3.102886017936545,90,90,complete,False,-0.008643171853065922,0.03916475154042396,-0.008643171853066199,0.039164751540424515,0.39941089771145377,-0.047680940259814356
random_label,0.1,0.1,-0.02689011161013107,0.0,0.0,90,90,complete,False,-0.6675967119927224,0.8703847592191682,-0.6675967119927221,0.8703847592191671,6.261058567070526,-13.507874042718688
random_label,0.2,0.1,-0.09364978280940331,-0.06675967119927222,0.6261058567070527,90,90,complete,False,-0.5805582360708056,1.73527840533271,-0.5805582360708054,1.7352784053327077,4.910271162798657,-15.586359792325412
random_label,0.3,0.1,-0.14300175882429217,-0.11611164721416108,0.9820542325597313,90,90,complete,False,-0.3205410309261805,2.5139884093497695,-0.32054103092618064,2.513988409349767,3.1437866086054442,-12.174707198728374
random_label,0.4,0.1,-0.1577579889946394,-0.1308678773845083,1.2548631784281414,90,90,complete,False,-0.0777605542008517,1.576742917013201,-0.07776055420085193,1.5767429170132023,2.4753297230529823,-5.612386483955726
random_label,0.5,0.1,-0.15855386966446253,-0.13166375805433148,1.477120177170328,90,90,complete,False,-0.0051924475235402,0.3725852124304908,-0.005192447523540089,0.3725852124304908,2.0213093118142993,-3.9844783021586334
random_label,0.6,0.1,-0.15879647849934742,-0.13190636688921634,1.659125040791001,90,90,complete,False,-0.0032435117147535664,0.008138552609703312,-0.0032435117147537884,0.008138552609702202,1.678434062621256,-2.9352408431105657
random_label,0.7,0.1,-0.15920257200741325,-0.13231246039728223,1.812806989694579,90,90,complete,False,-0.0035647370015995383,-0.004437799550676691,-0.0035647370015996493,-0.004437799550675581,1.4342611431921863,-2.132517934832622
random_label,0.8,0.1,-0.1595094258996673,-0.13261931428953624,1.9459772694294384,90,90,complete,False,-0.0041310716248889046,-0.014135764349415547,-0.0041310716248889046,-0.014135764349414992,1.2519304756547314,-1.626943180018091
random_label,0.9,0.1,-0.16002878633239107,-0.13313867472226001,2.0631930848255253,90,90,complete,False,-0.006391889871482648,-0.02587459718021213,-0.006391889871482648,-0.025874597180210464,1.1088725071885683,-1.2914534546988685
random_label,1.0,0.1,-0.16078780387396382,-0.13389769226383277,2.167751770867152,90,90,complete,False,-0.009305991060931329,-0.015995525972055127,-0.009305991060930996,-0.015995525972054572,0.9936397847149578,-1.0361306998833433
random_label,1.1,0.1,-0.16188998454457731,-0.1349998729344462,2.2619210417685167,90,90,complete,False,-0.00959099506589367,-0.0005706737637578563,-0.00959099506589356,-0.0005706737637606318,0.9016463672118995,-0.8406444503332979
random_label,1.2,0.1,-0.16270600288714251,-0.13581589127701146,2.3480810443095312,90,90,complete,False,-0.0094201258136829,-0.009138741558835616,-0.009420125813683122,-0.009138741558835616,0.8255108946482981,-0.7131244926566991
random_label,1.3,0.1,-0.16377400970731393,-0.13688389809718288,2.4270232206981768,90,90,complete,False,-0.0114187433776608,-0.01856704368234264,-0.01141874337766069,-0.01856704368234153,0.7590214686805599,-0.617154740912448
random_label,1.4,0.1,-0.16498975156267465,-0.13809963995254357,2.4998853380456425,90,90,complete,False,-0.013133534550151427,0.009731647190149247,-0.013133534550151427,0.009731647190148136,0.7020799464658083,-0.5055410724231288
random_label,1.5,0.1,-0.16640071661734424,-0.13951060500721318,2.567439209991339,90,90,complete,False,-0.009472413939630941,0.016534052903409133,-0.009472413939631052,0.016534052903408578,0.6579132541959343,-0.4317262446300947
random_label,1.6,0.1,-0.16688423435060085,-0.13999412274046977,2.6314679888848294,90,90,complete,False,-0.009826723969469597,-0.01894324673761999,-0.009826723969469708,-0.018943246737619435,0.6157346975397893,-0.4124921916951769
random_label,1.7,0.1,-0.1683660614112381,-0.1414759498011071,2.690586149499296,90,90,complete,False,-0.013261063287154928,-0.0011678966992712606,-0.013261063287154928,-0.0011678966992695952,0.5754148158568988,-0.3494640090083494
random_label,1.8,0.1,-0.16953644700803186,-0.14264633539790078,2.7465509520562095,90,90,complete,False,-0.010060303309323837,0.018305123544994882,-0.010060303309323615,0.018305123544994327,0.5458418957381195,-0.29213168259531086
random_label,1.9,0.1,-0.17037812207310285,-0.1434880104629718,2.7997545286469196,90,90,complete,False,-0.009600038578155945,-0.01940476153848896,-0.009600038578156056,-0.01940476153848896,0.5169884793378365,-0.2978459878791466
random_label,2.0,0.1,-0.17145645472366308,-0.144566343113532,2.8499486479237772,90,90,complete,False,-0.013941255617021642,-0.017641809644464698,-0.01394125561702142,-0.017641809644465253,0.48627269816229024,-0.26879810992496367
random_label,2.1,0.1,-0.17316637319650718,-0.1462762615863761,2.897009068279378,90,90,complete,False,-0.013128400507048887,0.007242107697172373,-0.01312840050704911,0.007242107697170708,0.4632288573528438,-0.2204573403330108
random_label,2.2,0.1,-0.17408213482507287,-0.14719202321494182,2.942594419394346,90,90,complete,False,-0.012492834077587167,0.005548737320900131,-0.012492834077587278,0.005548737320900686,0.442181230095688,-0.20183702988907415
random_label,2.3,0.1,-0.17566494001202465,-0.14877482840189357,2.985445314298516,90,90,complete,False,-0.012018653042868865,0.00886995633999186,-0.012018653042868976,0.00886995633999297,0.42286145137502906,-0.18080717080365183
random_label,2.4,0.1,-0.1764858654336466,-0.14959575382351556,3.027166709669351,90,90,complete,False,-0.010718842809588791,-0.006048891800445252,-0.01071884280958868,-0.0060488918004433095,0.40601979593495763,-0.14017906606732455
random_label,2.5,0.1,-0.1778087085739424,-0.15091859696381132,3.0666492734855075,90,90,complete,False,-0.013228431402957918,-0.025095885933691244,-0.01322843140295764,-0.02509588593368958,0.39482563816156413,-0.11194157773393489
real_even_odd,0.1,0.1,-0.0030494066116485007,0.0,0.0,90,90,complete,True,-0.1062733428369705,-0.08505156973000402,-0.10627334283697047,-0.08505156973000444,6.822381936226278,-14.463310371667868
real_even_odd,0.2,0.1,-0.013676740895345551,-0.010627334283697047,0.6822381936226278,90,90,complete,True,-0.1147784998099709,-0.04848678051826549,-0.11477849980997092,-0.048486780518265826,5.376050899059491,-17.37012497817639
real_even_odd,0.3,0.1,-0.026005106573642682,-0.022955699961994182,1.0752101798118983,90,90,complete,False,-0.11597069894062359,0.09510146368246158,-0.11597069894062365,0.09510146368246175,3.348356940591001,-14.59359414439568
real_even_odd,0.4,0.1,-0.03687088068347027,-0.033821474071821775,1.351909581740828,90,90,complete,False,-0.09575820707347857,0.18886293744332516,-0.09575820707347854,0.1888629374433255,2.457332070180356,-7.000266463525607
real_even_odd,0.5,0.1,-0.045156747988338394,-0.042107341376689894,1.5666765938479694,90,90,complete,False,-0.07819811145195857,0.13959204624399973,-0.07819811145195854,0.13959204624399957,1.9483036478858793,-4.217471468345112
real_even_odd,0.6,0.1,-0.05251050297386198,-0.04946109636221348,1.7415703113180039,90,90,complete,False,-0.06783979782467864,0.08909434234457353,-0.06783979782467864,0.08909434234457386,1.6138377765113336,-2.854285053375679
real_even_odd,0.7,0.1,-0.058724707553274115,-0.055675300941625615,1.8894441491502358,90,90,complete,False,-0.06037924298304387,0.0743977896181513,-0.060379242983043785,0.07439778961815102,1.3774466372107437,-2.0536823456638214
real_even_odd,0.8,0.1,-0.06458635157047075,-0.06153694495882224,2.0170596387601525,90,90,complete,False,-0.05296023990104837,0.05730112776854979,-0.05296023990104842,0.05730112776854884,1.203101307378569,-1.555506287900137
real_even_odd,0.9,0.1,-0.0693167555334838,-0.0662673489218353,2.13006441062595,90,90,complete,False,-0.04891901742933391,0.02425841370916257,-0.04891901742933402,0.024258413709163124,1.0663453796307163,-1.2413204438094816
real_even_odd,1.0,0.1,-0.07437015505633754,-0.07132074844468904,2.2303287146862956,90,90,complete,False,-0.04810855715921586,0.014209802151982615,-0.0481085571592158,0.014209802151982615,0.9548372186166727,-1.00592537175931
real_even_odd,1.1,0.1,-0.07893846696532697,-0.07588906035367847,2.3210318543492843,90,90,complete,False,-0.04607705699893738,0.04312236957481122,-0.04607705699893749,0.04312236957481122,0.8651603052788541,-0.7969514069947081
real_even_odd,1.2,0.1,-0.08358556645612501,-0.08053615984447651,2.403360775742066,90,90,complete,False,-0.03948408324425362,0.06666732170476286,-0.039484083244253565,0.06666732170476286,0.7954469372177311,-0.637318429393102
real_even_odd,1.3,0.1,-0.08683528361417771,-0.0837858770025292,2.4801212417928307,90,90,complete,False,-0.03274359265798482,0.017867456543823185,-0.03274359265798493,0.017867456543823185,0.7376966194002339,-0.5807202406863072
real_even_odd,1.4,0.1,-0.09013428498772197,-0.08708487837607348,2.5509000996221123,90,90,complete,False,-0.035910591935488956,-0.01468510304931947,-0.0359105919354889,-0.014685103049318915,0.6793028890804695,-0.5299578226625732
real_even_odd,1.5,0.1,-0.09401740200127552,-0.090967995389627,2.615981819608925,90,90,complete,False,-0.035680613267848715,0.01926403699377352,-0.035680613267848715,0.019264036993772132,0.6317050548677194,-0.42899626053973305
real_even_odd,1.6,0.1,-0.09727040764129172,-0.09422100102964323,2.677241110595656,90,90,complete,False,-0.032057784536734246,0.027228629088508982,-0.03205778453673447,0.027228629088509537,0.5935036369725228,-0.36632031586907265
real_even_odd,1.7,0.1,-0.10042895890862236,-0.09737955229697387,2.734682547003429,90,90,complete,False,-0.030234887450146908,0.030081197918515046,-0.030234887450146797,0.030081197918517266,0.5584409916939048,-0.3182149143905475
real_even_odd,1.8,0.1,-0.10331738513132112,-0.10026797851967262,2.7889293089344376,90,90,complete,False,-0.026041544953031237,0.03504121606298145,-0.026041544953031015,0.0350412160629809,0.5298606540944135,-0.2753955900773071
real_even_odd,1.9,0.1,-0.10563726789922859,-0.10258786128758005,2.8406546778223114,90,90,complete,False,-0.02322664423755061,-0.01501708052563544,-0.02322664423755061,-0.01501708052563766,0.5033618736784433,-0.29345830686629926
real_even_odd,2.0,0.1,-0.10796271397883127,-0.10491330736718274,2.8896016836701266,90,90,complete,False,-0.029044961058158347,-0.0048045891998710205,-0.02904496105815857,-0.004804589199871576,0.47116899272115376,-0.25596088948036666
real_even_odd,2.1,0.1,-0.11144626011086027,-0.10839685349921177,2.934888476366542,90,90,complete,False,-0.024187562077524816,0.025250177221662867,-0.024187562077524927,0.025250177221663977,0.45216969578237,-0.20244927080851083
real_even_odd,2.2,0.1,-0.11280022639433623,-0.10975081978268773,2.9800356228266005,90,90,complete,False,-0.02399492561382577,0.027519021275093272,-0.02399492561382577,0.027519021275094382,0.4306791385594515,-0.17986674593489171
real_even_odd,2.3,0.1,-0.11624524523362544,-0.11319583862197694,3.021024304078433,90,90,complete,False,-0.018683757822506197,0.025119674279868304,-0.018683757822506086,0.025119674279868304,0.41619634659539173,-0.16455745286379808
real_even_odd,2.4,0.1,-0.11653697795883743,-0.11348757134718891,3.063274892145678,90,90,complete,False,-0.018970990757852135,-0.08170448220539103,-0.018970990757852135,-0.08170448220539228,0.39776764798669184,-0.2158346564722906
real_even_odd,2.5,0.1,-0.12003944338519587,-0.11699003677354737,3.1005778336757714,90,90,complete,False,-0.03502465426358442,-0.1605366350573227,-0.03502465426358456,-0.1605366350573241,0.3730294153009336,-0.24738232685758232
teacher_nn,0.1,0.1,-0.008776399469645046,0.0,0.0,90,90,complete,True,-0.17233611991608055,0.03622541220197201,-0.17233611991608055,0.03622541220197201,6.756319159147168,-14.342033389735889
teacher_nn,0.2,0.1,-0.0260100114612531,-0.017233611991608055,0.6756319159147168,90,90,complete,False,-0.16871357869588335,0.09947090806644321,-0.16871357869588335,0.09947090806644332,5.322115820173579,-17.22216728959168
