source,case_id,case_label,eta,nmstv,ref_id,method,radius,dphi_dr,curvature
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.46,-0.14633613375399657,-6.622690611955045
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.47,-0.15719813295393603,19.065564632963753
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.48,0.23497515890527998,1.2646974543410554
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.49,-0.1319041838671149,-34.97937489748318
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.5,-0.46461233904438437,-2.7875802258264777
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.51,-0.1876557883836445,25.717979839715664
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.52,0.049747257749929386,21.43487179943793
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.53,0.24104164760511448,-2.645287702113206
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.54,-0.003158496292334778,-23.628249698239422
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.55,-0.23152334635967442,-6.1679192046166955
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.56,-0.1265168803846688,10.818627792391807
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.57,-0.015150790511839318,4.972155173870021
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.58,-0.027073776907270197,-2.5539388121377664
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.59,-0.06622956675459468,-2.9410791877144877
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.6,-0.08589536066156,-7.747588132092014
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.61,-0.2211813293964351,-0.07472143861275704
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.62,-0.08738978943381515,22.38988925487724
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.63,0.2266164557011101,3.93510252611626
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.64,-0.008687738911489884,-15.277159537450732
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.65,-0.07892673504790482,-6.939860671291969
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.66,-0.1474849523373294,-5.466277024495754
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.67,-0.18825227553781998,6.519428211528927
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.68,-0.017096388106750737,7.9824811786064505
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.69,-0.028602651965689674,-0.5020901838149833
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.7,-0.027138191783050214,-2.2457528900725148
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.71,-0.07351770976714,-1.2482516243302644
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.72,-0.052103224269655524,2.340774868423721
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.73,-0.026702212398665548,-5.013868727222178
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.74,-0.15238059881409916,-10.118276153263697
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.75,-0.22906773546393966,6.26625743084896
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.76,-0.027055450197119857,7.794254193337984
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.77,-0.07318265159717985,-12.433847945393028
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.78,-0.27573240910498065,9.670030712806978
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.79,0.1202179626589599,42.82365868588998
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.8,0.5807407646128198,-15.569843587322016
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.81,-0.1911789090874807,-45.38838063739853
