case_id,case_label,radius,split_mean,split_max,split_fail_frac,ess_fraction_mean,phi_sd,phi_sem,curvature_mean,curvature_sem,dphi_dr_mean,curvature_abs_mean
eta_0.02,eta=0.02,0.01,7.382971510630506e-07,2.1556211871109423e-06,0.0,0.9992499643370524,0.00024894034251730186,4.545008035659621e-05,-0.22791957420115036,0.014018247082506497,-0.00406505794273,0.22791957420115036
eta_0.02,eta=0.02,0.02,1.0570863436042027e-06,3.6547902581507216e-06,0.0,0.9950986306098131,0.0002639893372482327,4.819763831723194e-05,-0.4203806364066503,0.022438779790071042,-0.006344253684741504,0.4203806364066503
eta_0.02,eta=0.02,0.03,3.231773343782656e-06,1.3687045639886382e-05,0.0,0.9747407006800687,0.0002908442857175301,5.310065866965628e-05,-0.7879110786905161,0.03600492979593719,-0.012472670670863002,0.7879110786905161
eta_0.02,eta=0.02,0.04,7.547075754426749e-06,2.2572901891393765e-05,0.0,0.9001444535845533,0.0003318979748869048,6.05960025452803e-05,-1.0994456982997503,0.03982297679253679,-0.022102475258551822,1.0994456982997503
eta_0.02,eta=0.02,0.05,1.0888738638298498e-05,3.52715522049566e-05,0.0,0.7316441085630714,0.00038808256447091835,7.085385824505831e-05,-1.327435520577158,0.03599066027119535,-0.034461584636858014,1.327435520577158
eta_0.02,eta=0.02,0.06,2.2601092048778182e-05,7.051862832275443e-05,0.0,0.7930380182869337,0.0004591637921197794,8.383145551120534e-05,-1.4269450875774408,0.03195675124102832,-0.04865118567009498,1.4269450875774408
eta_0.02,eta=0.02,0.07,3.774045252895033e-05,0.0001024650425413,0.0,0.8532834015757086,0.000544794315499731,9.946537859992967e-05,-1.4583921841296201,0.04197893359216434,-0.06300048638840684,1.4583921841296201
eta_0.02,eta=0.02,0.08,5.5301524897227745e-05,0.0002163154326576,0.0,0.7590818024820473,0.0006337570460621249,0.00011570767670202216,-1.3402747426357575,0.05566990893467836,-0.07781902935268738,1.3402747426357575
eta_0.02,eta=0.02,0.09,8.756518225995002e-05,0.0002717946315274,0.0,0.8529033179093578,0.0007327968025569172,0.00013378977960936097,-1.0806487626989643,0.10679368891133513,-0.08980598124112198,1.0806487626989643
eta_0.02,eta=0.02,0.1,0.0001486058063087954,0.0004320588446272,0.0,0.7529115050284962,0.000821510441068255,0.00014998659993303387,-0.9529227345061215,0.0999291580901601,-0.09943200460666667,0.9529227345061215
eta_0.02,eta=0.02,0.11,0.00025425888261025603,0.0008580735875827,0.0,0.8321318636072127,0.0009612037421470638,0.00017549099064410867,-1.035983501008057,0.17833147046667483,-0.10886443593124441,1.035983501008057
eta_0.02,eta=0.02,0.12,0.0003191566988122679,0.0011106447083123,0.0,0.7917169505664643,0.000996814340761375,0.00018199256669321545,-1.1164934036320147,0.18407770616929453,-0.1201516746268278,1.1164934036320147
eta_0.02,eta=0.02,0.13,0.0003493010890135755,0.0011166543373032,0.0,0.8694481010811329,0.0011637478996226547,0.00021247032529086196,-0.8178865696227967,0.29394701652653366,-0.1311943040038847,0.8178865696227967
eta_0.02,eta=0.02,0.14,0.0005329231001256106,0.0013230180616433,0.0,0.7905540616400745,0.0011734663704004449,0.00021424466718067875,-0.9232944441407519,0.3375645029975666,-0.13650940601928374,0.9232944441407519
eta_0.02,eta=0.02,0.15,0.0005448079456924138,0.0012614699765996,0.0,0.774672761226189,0.0012818208249032348,0.0002340273934931272,-0.5881532236712431,0.413478030843359,-0.1496601928866997,0.5881532236712431
eta_0.02,eta=0.02,0.16,0.0005904773774066845,0.0023346542320225,0.0,0.841781619530291,0.0014404788776730536,0.00026299425830375215,0.5861521097290651,0.5910397695024143,-0.14827247049270856,0.5861521097290651
eta_0.02,eta=0.02,0.17,0.0008547520618034091,0.002910188700888,0.0,0.8027992913605003,0.0014765086978689452,0.00026957237339180043,-0.2594154405891363,0.6971135157043507,-0.1379371506921184,0.2594154405891363
eta_0.02,eta=0.02,0.18,0.0006401409879098865,0.0020587130895719,0.0,0.8502212165545496,0.0017353041575867167,0.0003168217437475815,-1.1211531768786822,0.8851147922247757,-0.1534607793044912,1.1211531768786822
eta_0.02,eta=0.02,0.19,0.000994122006733506,0.0032086914872048,0.0,0.807699487919829,0.0020693503601938415,0.0003778099572198691,-0.3481581870717604,1.042482699870893,-0.16036021422969202,0.3481581870717604
eta_0.02,eta=0.02,0.2,0.0014862277310763736,0.0050972021476083,0.03333333333333333,0.8329801024793908,0.0021141157989022492,0.0003859829707456057,-0.3153179658339718,1.1264954819846649,-0.16042394304592641,0.3153179658339718
eta_0.02,eta=0.02,0.21,0.0012202097247881784,0.0038839189436578,0.0,0.8091544176037678,0.0019948093081789756,0.0003642006853369665,-0.26888976344906595,1.2236789919692272,-0.16666657354637143,0.26888976344906595
eta_0.02,eta=0.02,0.22,0.0012999219105553801,0.003563777790879,0.0,0.8271923254276735,0.0019530662004759059,0.0003565794714338534,0.9049751083848784,1.0791381503313013,-0.16580173831490772,0.9049751083848784
eta_0.02,eta=0.02,0.23,0.0010573247019268876,0.0026980309604375,0.0,0.7911477571700728,0.0020936963458614206,0.00038225490573147935,0.4860855838509487,1.2612807716530334,-0.14856707137867387,0.4860855838509487
eta_0.02,eta=0.02,0.24,0.0016185083284356624,0.0044909281294639,0.1,0.8149717480978198,0.0023400087360239633,0.00042722518982649197,-0.2378597180420715,1.4122099892818574,-0.15608002663788867,0.2378597180420715
eta_0.02,eta=0.02,0.25,0.0013842121826293861,0.004755773120018,0.1,0.7954172555796005,0.001921194514342192,0.0003507605242868003,1.5806336287463896,1.2987448516640727,-0.15332426573951524,1.5806336287463896
eta_0.02,eta=0.02,0.26,0.0014247984558207198,0.0043359981701891,0.06666666666666667,0.823236457124539,0.0025202044219119037,0.0004601242704684723,-0.12956772834815483,1.5385940562818887,-0.12446735406296086,0.12956772834815483
eta_0.02,eta=0.02,0.27,0.001745604189510945,0.0048687228969,0.1,0.769661751813295,0.0027095743869997935,0.0004946983376660065,-2.307984262774792,1.4550063635046442,-0.15591562030647835,2.307984262774792
eta_0.02,eta=0.02,0.28,0.0017760180969919165,0.0045822173803996,0.13333333333333333,0.8302985129779522,0.002491525025657874,0.00045488815304715175,1.252176242613959,1.3025804192149222,-0.17062703931845674,1.252176242613959
eta_0.02,eta=0.02,0.29,0.0018831699084194949,0.0057900784198136,0.06666666666666667,0.8304043317269613,0.0023256544550083907,0.00042460446865682643,0.15258571011097422,1.3655515227575024,-0.1308720954541995,0.15258571011097422
eta_0.02,eta=0.02,0.3,0.0018115464308584408,0.0046214685675203,0.1,0.8115917261195419,0.002579534259121365,0.00047095636719271576,0.45080760962561783,1.6794845630494197,-0.1675753251162377,0.45080760962561783
eta_0.02,eta=0.02,0.31,0.00123313215329036,0.0037020706383392,0.0,0.8021174075370052,0.0021582519044168755,0.0003940410842758687,3.401800550989321,1.6058648727370228,-0.12185594326168712,3.401800550989321
eta_0.02,eta=0.02,0.32,0.0017312936981586297,0.0053575803755483,0.1,0.8405246608352357,0.0024481102342459545,0.00044696173285192173,-1.1013806675469762,1.6142797807823233,-0.09953931409645124,1.1013806675469762
eta_0.02,eta=0.02,0.33,0.00170873538740383,0.0045099069505528,0.06666666666666667,0.7660947061190817,0.002989926789474243,0.0005458834492946809,-0.6114752342189115,1.778076360880124,-0.1438835566126267,0.6114752342189115
eta_0.02,eta=0.02,0.34,0.0022299196281956963,0.006803221537892,0.13333333333333333,0.8084075161723823,0.0027653610650250396,0.0005048835449869082,-0.35479930911001284,1.679013365561853,-0.11176881878082948,0.35479930911001284
eta_0.02,eta=0.02,0.35,0.002097446240522203,0.0072402127984095,0.1,0.7451694024913861,0.002057343730720217,0.0003756178566190991,-0.42621234213413123,1.9473771620663933,-0.1509795427948265,0.42621234213413123
eta_0.02,eta=0.02,0.36,0.0017447398138766702,0.0070584284465747,0.13333333333333333,0.7801963401242866,0.0029335133222327964,0.0005355838064429414,1.1563186862676504,1.7276066189599486,-0.1202930656235117,1.1563186862676504
eta_0.02,eta=0.02,0.37,0.002063689118107465,0.0062319481866283,0.16666666666666666,0.8462548919501717,0.0023691954489588876,0.00043255393017778724,0.2652926821711878,1.7873205208650138,-0.12785316906947347,0.2652926821711878
eta_0.02,eta=0.02,0.38,0.0019457382525967265,0.006944364034472,0.1,0.7919760950333413,0.0023046618075053004,0.00042077175313042734,2.002252480616641,1.601120746647758,-0.11498721198008793,2.002252480616641
eta_0.02,eta=0.02,0.39,0.002909761531664973,0.0075129174636122,0.3,0.7908213162574781,0.0025259132598144255,0.0004611665569005894,0.15412973470993913,1.5579585115130772,-0.08780811945714063,0.15412973470993913
eta_0.02,eta=0.02,0.4,0.0017449034664589096,0.0054016962019748,0.03333333333333333,0.8348201952276829,0.002269028541910932,0.00041426603867589126,0.07391440581032706,1.312529387495794,-0.11190461728588916,0.07391440581032706
eta_0.02,eta=0.02,0.41,0.0024498944980866533,0.0077623314972954,0.2,0.7926473629017913,0.002882371779224792,0.000526246680865906,-1.1060159576923079,1.7102341008163362,-0.08632983134093436,1.1060159576923079
eta_0.02,eta=0.02,0.42,0.0021572114898356235,0.0085343783266796,0.03333333333333333,0.8198913055633958,0.002650687450937618,0.0004839471032581341,-0.6515894321750596,1.9931634788423727,-0.1340249364397357,0.6515894321750596
eta_0.02,eta=0.02,0.43,0.0021538539377851276,0.0053018867953795,0.1,0.7882342217968625,0.002894464860998418,0.000528454565424963,3.5821738351519428,1.8061790070792736,-0.09936161998443556,3.5821738351519428
eta_0.02,eta=0.02,0.44,0.00258927191655107,0.0068031920696673,0.2,0.8405202355963254,0.002286233761345406,0.00041740726760625384,0.4529934799887782,1.8958262619603337,-0.062381459736696794,0.4529934799887782
eta_0.02,eta=0.02,0.45,0.002549357996714976,0.0088502777730819,0.2,0.8147969494471502,0.0023038392418001214,0.0004206215738665085,-1.8180372563472285,2.394152194582523,-0.09030175038465997,1.8180372563472285
eta_0.02,eta=0.02,0.46,0.0024450386218383344,0.0078931860193801,0.2,0.8145973080159677,0.002882775061950409,0.0005263203098811971,-0.25390382452405474,2.2103754136156546,-0.0987422048636414,0.25390382452405474
eta_0.02,eta=0.02,0.47,0.0026760088589271635,0.0071849333026704,0.3,0.8042200437688417,0.0026786584731577695,0.0004890538898669523,2.3010336552083896,2.7410536515166677,-0.09537982687514111,2.3010336552083896
eta_0.02,eta=0.02,0.48,0.002177558375512029,0.0072782513999726,0.1,0.8241874000727684,0.002118840587416932,0.00038684559516191685,0.6861813272787413,2.01992540726992,-0.05272153175947348,0.6861813272787413
eta_0.02,eta=0.02,0.49,0.0029213169191388,0.0083392997276635,0.26666666666666666,0.784015394665112,0.002374509222278456,0.0004335240880153197,-4.559814093534982,2.745956170895717,-0.08165620032956628,4.559814093534982
eta_0.02,eta=0.02,0.5,0.0034372774705572744,0.0102767443199286,0.3333333333333333,0.8406928428030357,0.002994485766164836,0.0005467158007522068,-0.03203952440526573,2.189191564548146,-0.1439178136301732,0.03203952440526573
eta_0.02,eta=0.02,0.51,0.0025873626439153227,0.0068805593657253,0.2,0.7859688118653686,0.003142995441169473,0.0005738298337548074,6.5541701113691015,2.7587337939253294,-0.0822969908176716,6.5541701113691015
eta_0.02,eta=0.02,0.52,0.00279866442149245,0.0079582644027926,0.23333333333333334,0.7879113154433753,0.002580803365454466,0.00047118807324821976,1.9760448716997476,2.7149481903419956,-0.012834411402791046,1.9760448716997476
eta_0.02,eta=0.02,0.53,0.0035473961474953336,0.0085410954928461,0.3,0.8422337595245082,0.0031771185520490567,0.0005800598329418066,-4.203844294545038,2.630980935838313,-0.04277609338367661,4.203844294545038
eta_0.02,eta=0.02,0.54,0.0031509598207541596,0.010251466837734,0.3333333333333333,0.8333874841264016,0.003564320872584137,0.000650752981366943,-4.102063400900731,3.157177982343945,-0.09691129729369188,4.102063400900731
eta_0.02,eta=0.02,0.55,0.00286914007854211,0.0080480454110597,0.3333333333333333,0.81578633175938,0.0027410244200561725,0.000500440301845761,0.844040191592885,2.4303047608458948,-0.12481736140169128,0.844040191592885
eta_0.02,eta=0.02,0.56,0.0026186935947296102,0.0109760993017776,0.13333333333333333,0.8022845646282374,0.0026709912723477847,0.0004876540569214355,1.8096165790655772,2.68221797233778,-0.08003049346183416,1.8096165790655772
eta_0.02,eta=0.02,0.57,0.002543262699267753,0.0071192825929354,0.2,0.7941184433521323,0.002960253121717971,0.0005404658035633395,1.33250258443498,2.5409565207391105,-0.0886250298203793,1.33250258443498
eta_0.02,eta=0.02,0.58,0.0025943529990550868,0.0072089863821902,0.26666666666666666,0.822979969582772,0.002884123890794572,0.000526566571209251,0.48449590685561866,2.482171060796401,-0.0533804417731342,0.48449590685561866
eta_0.02,eta=0.02,0.59,0.0027359582495087315,0.0096110481761697,0.3,0.7998709817501187,0.002801427371123666,0.000511468321458943,-0.9228558924183067,2.701414687469602,-0.07893511168326692,0.9228558924183067
eta_0.02,eta=0.02,0.6,0.0022748444768732803,0.0072101056383706,0.16666666666666666,0.8267621118510087,0.0026541706129432877,0.0004845830387254506,2.430965227432863,2.2709756618162835,-0.07183755962150036,2.430965227432863
eta_0.02,eta=0.02,0.61,0.0034790027944837433,0.0101816317583345,0.36666666666666664,0.790338697752705,0.002808594433622717,0.0005127768420595361,-1.0054705504712325,2.8132594257665415,-0.030315807134609626,1.0054705504712325
eta_0.02,eta=0.02,0.62,0.0030578512315943764,0.014851552974386,0.2,0.8066811268595919,0.0027818719489181454,0.000507898006171109,-1.9938169497821092,2.5339342131048954,-0.09194697063092502,1.9938169497821092
eta_0.02,eta=0.02,0.63,0.002833177793800721,0.0067694423238059,0.26666666666666666,0.7730643374670888,0.003066285424109761,0.0005598245648447373,1.2644287919356594,2.688970472597652,-0.07019214613025185,1.2644287919356594
eta_0.02,eta=0.02,0.64,0.002858241188693285,0.0107559461106636,0.3,0.7845512937177013,0.003279076218514817,0.0005986746708864349,1.6192363621057888,2.752490155417543,-0.06665839479221182,1.6192363621057888
eta_0.02,eta=0.02,0.65,0.003397578142720683,0.010377571983918,0.36666666666666664,0.7826397765812312,0.0026113370967574437,0.00047676274438136757,0.21859132266145823,2.824854673735168,-0.03780741888813604,0.21859132266145823
eta_0.02,eta=0.02,0.66,0.003344955811208777,0.0103983298013391,0.3333333333333333,0.780285572447006,0.0032140240254232926,0.0005867978196959647,-1.0494111508267496,2.9197208765418057,-0.06228656833898265,1.0494111508267496
eta_0.02,eta=0.02,0.67,0.003567657073884122,0.0109313550486708,0.36666666666666664,0.817251638273387,0.00390323715261226,0.0007126303452593228,-0.08764443865447594,3.6187470635427674,-0.05879564190467105,0.08764443865447594
eta_0.02,eta=0.02,0.68,0.0033468620828314487,0.0097487568399942,0.3,0.84833744662703,0.002910259128587212,0.0005313381909708481,-1.2266714278554791,3.0567526406785284,-0.06403945711207217,1.2266714278554791
eta_0.02,eta=0.02,0.69,0.0033511850959941597,0.0076506231972412,0.36666666666666664,0.7755891998538218,0.0028030190734844303,0.0005117589252215516,1.0447259912561928,2.5231596768303537,-0.08332907046178036,1.0447259912561928
eta_0.02,eta=0.02,0.7,0.0028790230984062355,0.0074700244136983,0.26666666666666666,0.8628338704876869,0.0026089901053406293,0.00047633424433428075,1.0057765899883517,3.0780943215368444,-0.04314493728694776,1.0057765899883517
eta_0.02,eta=0.02,0.71,0.0035433193366374667,0.0094498416543969,0.3333333333333333,0.8051822138185235,0.002510319261993037,0.0004583194954444356,-1.663554134176908,2.816096766418856,-0.0632135386620133,1.663554134176908
eta_0.02,eta=0.02,0.72,0.003282265061144066,0.0089572459183523,0.3333333333333333,0.8165160399369036,0.003301851695963751,0.0006028328851386787,0.5415503590331507,2.5275326933205293,-0.07641601997048594,0.5415503590331507
eta_0.02,eta=0.02,0.73,0.0023641520294405602,0.0055960283191379,0.16666666666666666,0.8066068253727159,0.0029444266927817282,0.0005375763061856287,1.1139140707765907,2.9308401858036426,-0.05238253148135028,1.1139140707765907
eta_0.02,eta=0.02,0.74,0.004016824100157084,0.0105976907150676,0.4666666666666667,0.8056724566828132,0.003245142822364142,0.0005924793087116072,-0.6255963504320793,2.4990408090432554,-0.05413773855495411,0.6255963504320793
eta_0.02,eta=0.02,0.75,0.003377085930992747,0.0114663284639285,0.3,0.817088267809558,0.002816792825087517,0.0005142736567063792,0.8580834154571976,2.6605282451608776,-0.06489445848999188,0.8580834154571976
eta_0.02,eta=0.02,0.76,0.0033392197391910283,0.0132047854878562,0.36666666666666664,0.791951673113447,0.0035302812968188964,0.0006445382335354337,0.07635862696069072,3.1257204995766474,-0.03697607024581015,0.07635862696069072
eta_0.02,eta=0.02,0.77,0.0035002656256550905,0.0103737630868338,0.3333333333333333,0.8025066745694951,0.0026291448561362226,0.0004800139815514945,-1.6622856818861094,2.946169572304566,-0.06336728595077806,1.6622856818861094
eta_0.02,eta=0.02,0.78,0.00396179188772831,0.0114435871454682,0.43333333333333335,0.7788381485542752,0.0028950008111973285,0.0005285524160961775,0.09908940366858966,3.3901407265883847,-0.07022178388353237,0.09908940366858966
eta_0.02,eta=0.02,0.79,0.0038253694429099144,0.0105304265736895,0.3333333333333333,0.7980739623235803,0.0034609019687000843,0.000631871359190358,1.849692185112748,3.330844636708611,-0.061385497877406256,1.849692185112748
eta_0.02,eta=0.02,0.8,0.0034437226835613666,0.0099591137444217,0.26666666666666666,0.8395903518061751,0.002591275834773261,0.00047310007580778145,1.0611146241910252,3.0909910306544894,-0.03322794018127738,1.0611146241910252
eta_0.02,eta=0.02,0.81,0.0038183326258114467,0.0113039434234208,0.36666666666666664,0.8232765459893225,0.00362099965749453,0.0006611010643760785,-2.177187091540921,3.022180105497631,-0.040163205393585734,2.177187091540921
eta_0.02,eta=0.02,0.82,0.0029956960477383566,0.0142692703452025,0.26666666666666666,0.8467710476457356,0.003380223148110374,0.0006171414892070591,-0.7376140523485667,3.2931364785538477,-0.07677168201209526,0.7376140523485667
eta_0.02,eta=0.02,0.83,0.0033699581352292663,0.008962794815179,0.36666666666666664,0.7661701788463051,0.0025581707422334026,0.00046705594049032306,1.6482908797867213,2.6718848205199173,-0.054915486440556355,1.6482908797867213
eta_0.02,eta=0.02,0.84,0.0037046666357914296,0.01038105026581,0.4666666666666667,0.7533912087820163,0.003610253816487817,0.0006591391512031646,2.5000584341429875,3.394050755725242,-0.04380586441636082,2.5000584341429875
eta_0.02,eta=0.02,0.85,0.00331822618395064,0.0124768336800455,0.3,0.7996341583215709,0.0030994762105254906,0.000565884345651814,-1.4765179960173502,2.9090974238364287,-0.004914317757696566,1.4765179960173502
eta_0.02,eta=0.02,0.86,0.00482824139578147,0.0149201616601852,0.4,0.805611227099232,0.0032406786392854387,0.0005916642641205941,-5.044326898569426,3.2780569934585904,-0.07333622433670786,5.044326898569426
eta_0.02,eta=0.02,0.87,0.00403536581237052,0.0119598333099571,0.36666666666666664,0.7792892208342025,0.0033418342817672156,0.0006101326731893268,2.4346430958820577,3.4634570320738183,-0.1058008557290852,2.4346430958820577
eta_0.02,eta=0.02,0.88,0.002885674561946917,0.0068040410485993,0.3,0.7677678928309662,0.0027026080943519585,0.0004934264724575394,4.463219016293882,2.7109855873220448,-0.02464336241906667,4.463219016293882
eta_0.02,eta=0.02,0.89,0.00428277867775968,0.0147128224194626,0.4666666666666667,0.7869393292011506,0.003044449315980724,0.000555837855181272,0.05901070200918142,3.6206133387596076,-0.016536475403207455,0.05901070200918142
eta_0.02,eta=0.02,0.9,0.004018285171898394,0.0133695177528716,0.43333333333333335,0.770056941807391,0.0030802523492409026,0.0005623745648291748,-3.363669027949922,2.7758804456684,-0.023463148378883043,3.363669027949922
eta_0.02,eta=0.02,0.91,0.005076521519484557,0.0127433330637259,0.5,0.769797930603655,0.0032650386932002846,0.0005961117811309959,-2.4633515598903686,3.27030897057516,-0.08380985596220596,2.4633515598903686
eta_0.02,eta=0.02,0.92,0.003608090969410761,0.0118157526652742,0.3333333333333333,0.8238622343539315,0.0034900554958178856,0.0006371940406681109,4.030850359028934,3.214437412185608,-0.07273017957669045,4.030850359028934
eta_0.02,eta=0.02,0.93,0.004214557353001147,0.011172491500076,0.5,0.836353923990641,0.00329193076870231,0.0006010215799211923,0.4762210923019195,3.3716884888742613,-0.0031928487816272146,0.4762210923019195
eta_0.02,eta=0.02,0.94,0.004814738124262213,0.0126096707836125,0.5333333333333333,0.8238130104198881,0.0037501073615878455,0.0006846727983359488,-4.797903490786032,3.711031535609552,-0.06320575773065065,4.797903490786032
eta_0.02,eta=0.02,0.95,0.0039243857101444535,0.0110532052095461,0.4666666666666667,0.7870466475741729,0.003013264674969741,0.0005501443447381327,0.059087618243415345,3.2577467166387244,-0.09915091859734715,0.059087618243415345
eta_0.02,eta=0.02,0.96,0.0033389195877738965,0.0090726786556937,0.4,0.809641485453992,0.0024796757156955295,0.0004527247749280688,4.5116819280818525,3.1988552170485742,-0.06202400536578234,4.5116819280818525
eta_0.02,eta=0.02,0.97,0.0044412546167819636,0.0151441899246916,0.4666666666666667,0.7819188145749114,0.0037539309432113688,0.0006853708856378365,3.6746471681545168,3.7360577973356897,-0.008917280035710018,3.6746471681545168
eta_0.02,eta=0.02,0.98,0.004069212897414436,0.014593079800656,0.5333333333333333,0.7840127306221982,0.00338535678704013,0.0006180787591550308,-1.900636117165963,3.3261006732380975,0.011468937997308052,1.900636117165963
eta_0.02,eta=0.02,0.99,0.0033205875233490636,0.0093921646340266,0.36666666666666664,0.7957621685982516,0.0030348222755891634,0.0005540802061197816,-5.318338525636229,5.451153548832583,-0.046930002379029306,5.318338525636229
eta_0.02,eta=0.02,1.0,0.0038815500670923934,0.0098866374842343,0.36666666666666664,0.809807467626933,0.003915848744417284,0.0007149328963652096,-4.796783013638725,6.288858358163554,-0.0948978325154166,4.796783013638725
eta_0.05,eta=0.05,0.01,6.693820974971315e-07,2.4433404466360438e-06,0.0,0.998575627327318,0.0004902516898646143,8.950730313129201e-05,-0.3197212490436841,0.02820524980508239,-0.005468649914841665,0.3197212490436841
eta_0.05,eta=0.05,0.02,2.0913391358240423e-06,8.219726089212115e-06,0.0,0.9893912344942426,0.0005251105683652555,9.587163449266971e-05,-0.590036207158742,0.04125498968707457,-0.008665862405278505,0.590036207158742
eta_0.05,eta=0.05,0.03,4.473103261109616e-06,2.051456915241921e-05,0.0,0.9482462212372753,0.0005877271926976864,0.00010730381369990281,-1.1074961952286826,0.05593289529321669,-0.017269374058016502,1.1074961952286826
eta_0.05,eta=0.05,0.04,9.624587833631016e-06,2.690783868947471e-05,0.0,0.8259394787709751,0.0006747348386521125,0.0001231891638214569,-1.5395220361526585,0.05190554639239617,-0.030815786309852156,1.5395220361526585
eta_0.05,eta=0.05,0.05,1.9824439606257723e-05,5.316066362286966e-05,0.0,0.6938759729950139,0.0007846796012747869,0.0001432622393441201,-1.8389513959138992,0.047691715604307044,-0.04805981478106968,1.8389513959138992
eta_0.05,eta=0.05,0.06,3.079073221088602e-05,8.977760235399283e-05,0.0,0.8553620664813191,0.0009046176602929955,0.0001651598328200064,-1.9617537065676076,0.04338389070445906,-0.06759481422813014,1.9617537065676076
eta_0.05,eta=0.05,0.07,5.55931765049032e-05,0.000164356221745,0.0,0.7546239473050865,0.0010202089269623904,0.0001862638142218139,-1.97880039838548,0.05651285613737223,-0.08729488891242185,1.97880039838548
eta_0.05,eta=0.05,0.08,8.313872783964858e-05,0.0002265067842958,0.0,0.8198479332750618,0.0011374844855055026,0.00020767530384117397,-1.9209265675043985,0.1207208688227292,-0.10717082219583975,1.9209265675043985
eta_0.05,eta=0.05,0.09,0.00014757709376139223,0.0003809421944673,0.0,0.8181622248223974,0.0012525532067965224,0.00022868388194596283,-1.7837197336627963,0.15760141885982845,-0.12571342026250978,1.7837197336627963
eta_0.05,eta=0.05,0.1,0.0001909169085527633,0.0006642145513587,0.0,0.7868992443184548,0.0014233628208412529,0.0002598693081629796,-1.6251704877796156,0.21267001252741652,-0.14284521686909565,1.6251704877796156
eta_0.05,eta=0.05,0.11,0.00034764701644067475,0.001692318968466,0.0,0.8188830616999262,0.0015978529615767929,0.00029172670354401495,-1.1670636321037644,0.39618371080451337,-0.1582168300181021,1.1670636321037644
eta_0.05,eta=0.05,0.12,0.0005357402495451652,0.0019541893834995,0.0,0.791968351205061,0.0016300471197563603,0.0002976045257622944,-1.128731463119562,0.404893352645445,-0.16618648951117093,1.128731463119562
eta_0.05,eta=0.05,0.13,0.0005964434056701172,0.001471206776476,0.0,0.8348317186196278,0.0018416060079903868,0.00033622971753779135,-1.9756859074498405,0.583284350035365,-0.18079145928049337,1.9756859074498405
eta_0.05,eta=0.05,0.14,0.0008301137893312088,0.0023385065117072,0.0,0.8456658717942606,0.0019205623216284257,0.0003506451022167935,-1.4939707591070928,0.7740592133643592,-0.2057002076601678,1.4939707591070928
eta_0.05,eta=0.05,0.15,0.0008558590119728776,0.002534138375428,0.0,0.7960432245700791,0.0021910105118051336,0.0004000219603488702,-0.4750041488171447,0.9188761941609964,-0.21067087446263524,0.4750041488171447
eta_0.05,eta=0.05,0.16,0.0006950565139595616,0.0024727728361466,0.0,0.8220226998246293,0.0020164271153670327,0.00036814753888386525,-0.302865832685141,0.7779511398698011,-0.21520029063651067,0.302865832685141
eta_0.05,eta=0.05,0.17,0.0010604891572463472,0.0034978399790442,0.0,0.7796510011414901,0.0022185975028877632,0.0004050586327854201,-0.09371975054595276,1.0708726608178905,-0.2167281911163381,0.09371975054595276
