source,case_id,case_label,eta,nmstv,method,radius,ref_count,dphi_dr_mean,dphi_dr_sd,dphi_dr_sem,curvature_mean,curvature_sd,curvature_sem,A_kappa_mean,A_kappa_sd,A_kappa_sem,dphi_min_mean,dphi_min_radius_mean,curvature_max_mean,curvature_max_radius_mean,curvature_sign_changes_mean,curvature_sign_changes_sd
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.01,30,-0.014223364471646665,0.004189549153491975,0.0007649035257147426,-0.6123027190497993,0.070884013185005,0.012941590995973619,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.05,30,-0.03871547323363864,0.006578165201743209,0.001201003155996759,-0.8539209489963195,0.07975334726793049,0.014560902445062843,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.1,30,-0.09651266005511211,0.01023627889995307,0.0018688802861394876,-0.9888778631508922,0.1377313549882123,0.02514619000093185,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.15,30,-0.13760325954872785,0.016162775096812732,0.002950905504135692,-0.6029513150407244,0.1287246945859495,0.023501806310895896,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.2,30,-0.15680779155918453,0.011229530889426737,0.00205022245944669,-0.13465865736319832,0.27704375004312265,0.050581037104813695,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.25,30,-0.1510691252850477,0.018708018562088025,0.0034156012575603236,0.22012221284197386,0.25866024737391385,0.04722468407218635,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.3,30,-0.13479557027498715,0.019349590312123337,0.003532735697477792,0.24593059045896723,0.3226344806559123,0.0589047276280691,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.35,30,-0.126476066239151,0.017344435734158326,0.0031666462329323977,0.26077312061802943,0.3763776360603826,0.06871684047024713,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.4,30,-0.10871825821318418,0.023720850738170398,0.004330815010836332,0.3587022045620342,0.34253375887288234,0.06253782214723767,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.45,30,-0.09060584578294756,0.02460217177458205,0.0044917214815184976,0.2769280642323002,0.5136323804201929,0.09377601367373815,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.5,30,-0.08102545178995417,0.03316615154396799,0.00605528311542202,0.07115728361610119,0.4346391102062171,0.07935388167797298,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.55,30,-0.08349011742133745,0.026182937423588903,0.004780328482881947,0.08254679734033128,0.5577480363216102,0.10183039363251888,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.6,30,-0.07277077205592106,0.03053553937215122,0.005575001239904787,0.2740210051744763,0.47004100556241746,0.0858173538996491,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.65,30,-0.056088016903889835,0.028359011783891053,0.00517762348753065,0.12765827803232835,0.5165338730038588,0.0943057513199074,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.7,30,-0.06000494425268817,0.028435959300250422,0.005191672117681991,-0.04960645588418115,0.46657710756693016,0.08518493554330735,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.75,30,-0.061048662492307955,0.026315334111352336,0.004804500700357613,0.07804276104872858,0.5508660232049662,0.10057391569084143,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.8,30,-0.05220066814781531,0.03625554833204588,0.006619327218726777,0.16582594347482046,0.5344024505616836,0.0975680923195578,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.85,30,-0.04446606814482589,0.035998598942695345,0.006572414893165286,0.007249336594152182,0.7395305816565926,0.13501919384607736,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,0.9,30,-0.05147573448840013,0.04502736026128783,0.00822083364000635,-0.03934113006357829,0.7126416803524648,0.13010997458247703,0.24472796985277318,0.06772390964242031,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1,1.3982747990981972
