source,case_id,case_label,eta,nmstv,ref_id,radius,phi_energy_raw,split_logZ_per_P_diff,ess_fraction,ref_key
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.01,-0.0002551375962759,2.2067876385636e-07,0.9996393625181308,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.02,-0.0002908267911523,2.7798064693460893e-06,0.9966352487939016,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.03,-0.0003734353592994,6.704694632875872e-06,0.975992987518906,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.04,-0.0005357452920253,5.433935306361674e-06,0.8891135813569947,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.05,-0.0008132716747512,9.641223863727709e-06,0.7139599515057149,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.06,-0.0012216038661755,5.171649145722872e-06,0.9989952366121462,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.07,-0.0017775692231588,8.12647135127323e-05,0.7841055733916266,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.08,-0.0024687045071667,6.929452502230524e-05,1.0,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.09,-0.0032346422307668,0.0002330133969128,0.7982433436476474,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.1,-0.0042817708938158,0.000304722974329,0.6700310665165052,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.11,-0.0054071933196664,1.129669330221256e-05,0.77885166290114,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.12,-0.0065219120339962,8.113090272445886e-05,0.9916028132156294,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.13,-0.0074771261113575,2.141917681932433e-05,0.6147298024774563,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.14,-0.0089596488687782,0.0008284397562134,0.6713006597989448,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.15,-0.0104214365944272,0.000472657072777,0.7552167433615059,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.16,-0.0125838918224759,0.0002357487285836,0.6042715261284181,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.17,-0.0139307841687912,0.0003709500176339,0.8356358469986287,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.18,-0.0154370963271933,0.0002319862869967,0.6755280102609948,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.19,-0.0148414172759129,0.0024857974752055,0.7281645694871908,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.2,-0.018772266807286,0.001101802421502,0.9584275974293712,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.21,-0.0199867674186756,0.0014517740799569,0.6679626353821665,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.22,-0.022983669095066,0.0010384600638808,0.6167236836105409,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.23,-0.0239025154541517,0.000645462315104,0.5326100360444675,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.24,-0.0246910902674825,0.001310157589925,0.7724674471001859,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.25,-0.0265693220471288,0.0014565699773356,0.823818022009816,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.26,-0.026251159109437,0.0015285144098586,0.9085378936940456,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.27,-0.0276395126091459,0.0024246972880051,0.6149021223053748,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.28,-0.0309464045018087,0.0021067186551664,0.999855884055385,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.29,-0.0284560835293953,0.0057900784198136,0.785346973940633,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.3,-0.0330544133469866,0.0015691410103837,0.76480098231389,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.31,-0.0357883609516834,0.0002321690513553,0.7763709865129725,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.32,-0.0355798242359056,0.0046075064071419,0.956971253258984,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.33,-0.0370741172362584,0.0011237988419053,0.7500404362625881,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.34,-0.039531033600479,0.0005689425564588,0.7649695551464946,eta_flip:eta_0.02:0
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,0.35,-0.0414328203079297,0.000433187863706,0.9932983706195953,eta_flip:eta_0.02:0
