source,case_id,case_label,eta,nmstv,method,ref_count,A_kappa_mean,A_kappa_sem,dphi_min_mean,dphi_min_radius_mean,curvature_max_mean,curvature_max_radius_mean,curvature_sign_changes_mean
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p05,30,0.24472796985277318,0.012364637664531742,-0.16828569891030784,0.2783333333333333,1.2501395499685937,0.69,7.1
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,coarsen_0p10,30,0.11687202118639044,0.0052611732053041114,-0.147065738816199,0.22333333333333333,0.3478689302259761,0.5666666666666667,2.3
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,moving_avg_7,30,0.8350189079554596,0.0320227360378426,-0.2337258682261306,0.5493333333333333,6.941051131932423,0.8130000000000001,35.56666666666667
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,raw_gradient,30,4.592154846732584,0.10254630099959106,-0.5377304765339487,0.8413333333333333,37.23844118473441,0.8183333333333334,43.833333333333336
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,savgol_11_3,30,0.6744673934162156,0.042560337184509564,-0.25534276789709426,0.6186666666666666,8.276243031837994,0.83,24.933333333333334
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,savgol_21_3,30,0.1992301038291034,0.014621213414234191,-0.1699656553911142,0.30233333333333334,1.4092617500254712,0.7260000000000001,13.633333333333333
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,coarsen_0p05,30,0.30694613207730226,0.011553490073580645,-0.23301983336038526,0.245,1.311134103398405,0.5233333333333333,6.733333333333333
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,coarsen_0p10,30,0.16948805394309396,0.003983039692657378,-0.20524727026475295,0.20333333333333334,0.5135905694491018,0.38333333333333336,2.566666666666667
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,moving_avg_7,30,0.9264440753214501,0.03280270377020841,-0.26533082222941234,0.3846666666666667,6.806233603416194,0.744,34.3
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,raw_gradient,30,4.783630984613867,0.1031533060479283,-0.5322636199819027,0.6053333333333334,38.43967149403602,0.7816666666666666,44.1
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,savgol_11_3,30,0.6828212546199659,0.03675459128601782,-0.32657321789239074,0.5346666666666666,6.095414823619977,0.6859999999999999,25.166666666666668
