source,case_id,case_label,eta,nmstv,n_refs,A_kappa_mean,A_kappa_sd,A_kappa_sem,min_dphi_dr_mean,min_dphi_dr_sd,min_dphi_dr_sem,min_dphi_dr_radius_mean,max_curvature_mean,max_curvature_sd,max_curvature_sem,max_curvature_radius_mean,mean_curve_min_dphi_dr,mean_curve_min_dphi_dr_radius,mean_curve_max_curvature,mean_curve_max_curvature_radius,phi_energy_raw_at_dmax,d_max
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,30,0.8350189079554596,0.1753957488096,0.0320227360378426,-0.2337258682261306,0.12099909705027982,0.02209131163073169,0.5493333333333333,6.941051131932423,2.372372234903918,0.43313392928527356,0.8130000000000001,-0.15876576377970733,0.21,0.9530960747273828,0.49,-0.08439921230955205,1.0
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,30,0.9264440753214501,0.17966780802102908,0.03280270377020841,-0.26533082222941234,0.06714035678530081,0.012258095976751428,0.38466666666666666,6.806233603416194,1.7733214102108652,0.32376271269312096,0.744,-0.22527920461452242,0.22,1.3381822548247506,0.38,-0.0987866863804118,1.0
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,30,1.1447795584091691,0.13319979023945422,0.024318843256368503,-0.48033817860564915,0.047346280501064764,0.008644208614800059,0.24866666666666667,8.12410867306294,1.6763171898455689,0.3060522461373627,0.4263333333333333,-0.43517141523350544,0.21,2.4481255581782904,0.27,-0.13435514659617045,1.0
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,30,1.3760654275257733,0.17804082097721854,0.03250565793532053,-0.6163715567272379,0.05208320489996087,0.00950904873029072,0.189,10.618175084687303,2.786454787211291,0.5087347141412938,0.3973333333333333,-0.5669879860319168,0.19,3.5591427393044603,0.3,-0.1496254960225646,1.0
mnist_rule,even_odd,even odd,,0.4932864276461805,30,0.7509152127175251,0.14806125306321227,0.027032162731734085,-0.1795902576228535,0.06741852608499593,0.012308882510167575,0.502,6.748145224647209,2.2080999375654287,0.40314204834344475,0.8093333333333333,-0.12779124830203437,0.2,1.2353616612458764,0.98,-0.07414464174982165,1.0
