source,case_id,case_label,eta,nmstv,ref_id,method,n_radius,dphi_min,dphi_min_radius,curvature_max,curvature_max_radius,curvature_sign_changes,A_kappa
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,6,savgol_21_3,100,-0.17995185782088005,0.25,1.5229049539553363,1.0,11,0.27678504374100527
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,6,coarsen_0p05,21,-0.15775057255347,0.15,0.8048215277195541,1.0,7,0.1664312359653159
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,6,coarsen_0p10,11,-0.15350672697456452,0.2,0.2828696949736825,0.5,2,0.10861363421973702
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,7,raw_gradient,100,-0.47490236480351955,0.83,41.81748327500666,0.88,46,5.335327340464614
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,7,moving_avg_7,100,-0.21827891510300007,1.0,7.740102642141129,0.86,34,0.9407320015397427
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,7,savgol_11_3,100,-0.2155877089751541,0.27,4.626666673817629,0.94,26,0.5714626221577436
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,7,savgol_21_3,100,-0.16808979121856663,0.24,2.512955598801818,1.0,7,0.352211353509895
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,7,coarsen_0p05,21,-0.18818414924933607,0.25,2.0095831073869976,1.0,5,0.33533942059538097
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,7,coarsen_0p10,11,-0.15720141665721152,0.2,0.4300857800270131,0.6,3,0.12287105029221608
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,8,raw_gradient,100,-0.5560378185330546,0.86,36.689699153571425,0.99,45,4.983764296529007
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,8,moving_avg_7,100,-0.1856700697977693,0.19,10.189608591701742,0.97,35,1.0422330856419635
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,8,savgol_11_3,100,-0.23158465243220258,0.27,13.567357994865777,1.0,29,0.8762204210481582
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,8,savgol_21_3,100,-0.17604210898897657,0.24,4.40211115085879,1.0,13,0.3716921974417087
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,8,coarsen_0p05,21,-0.17410145435575997,0.2,2.586728354812152,0.95,7,0.4026373262026619
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,8,coarsen_0p10,11,-0.1636554245099405,0.2,0.37137463019673006,0.4,3,0.15687529015371232
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,9,raw_gradient,100,-0.5255850569333202,0.95,40.159383518800496,0.96,42,4.2754485602620695
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,9,moving_avg_7,100,-0.22112757181836773,1.0,4.512666780865384,0.57,38,0.6632345606310791
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,9,savgol_11_3,100,-0.22567021010631783,1.0,3.306549726962979,0.89,26,0.48603025138056777
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,9,savgol_21_3,100,-0.16330572011369265,0.23,0.5979693999161224,0.32,10,0.1329371736017933
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,9,coarsen_0p05,21,-0.169712652214405,0.3,1.0525768344251993,0.35,6,0.19571487031244295
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,9,coarsen_0p10,11,-0.1367431688952015,0.2,0.2444869608630727,0.6,2,0.09024036485852172
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,10,raw_gradient,100,-0.6330955237625355,0.94,43.518642184592146,0.78,45,5.232825156969869
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,10,moving_avg_7,100,-0.15758657258104447,0.21,6.449591721261106,0.98,39,0.9357378996420833
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,10,savgol_11_3,100,-0.20448243235764113,0.82,18.993512973362147,1.0,31,0.946142361290214
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,10,savgol_21_3,100,-0.1541091018803315,0.2,0.5410209697435744,0.55,22,0.1245813792590181
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,10,coarsen_0p05,21,-0.15500367023857703,0.2,1.581426258475282,0.95,7,0.31839370307209136
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,10,coarsen_0p10,11,-0.13131454881315652,0.2,0.3376650122059755,1.0,3,0.11536425597038083
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,11,raw_gradient,100,-1.0800901698985292,1.0,30.901643397740973,0.82,48,3.888903423951524
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,11,moving_avg_7,100,-0.6567562552796916,1.0,7.589283086698836,0.74,36,0.6492975968510377
