source,case_id,case_label,eta,nmstv,ref_key,radius,phi_energy_raw,dphi_dr_raw,dphi_dr_smooth,curvature_smooth,positive_curvature_smooth
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.01,-0.0002551375962759,-0.00356891948764,-0.007775472416853571,-0.43891441742671433,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.02,-0.0002908267911523,-0.005914888151175005,-0.012164616591120715,-0.5383569082329286,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.03,-0.0003734353592994,-0.012245925043650003,-0.018542610581512138,-0.7388005035332856,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.04,-0.0005357452920253,-0.021991815772589993,-0.026940626661786427,-0.914791738962,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.05,-0.0008132716747512,-0.03429292870751001,-0.03683844536075214,-1.1001654433859998,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.06,-0.0012216038661755,-0.04821487742037998,-0.04894393552950642,-1.2937147184472133,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.07,-0.0017775692231588,-0.062355032049560014,-0.06271273972969642,-1.3314062188411437,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.08,-0.0024687045071667,-0.07285365038040004,-0.0755720599063293,-1.1372782293819652,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.09,-0.0032346422307668,-0.09065331933245495,-0.08545830431733571,-1.0205405371126055,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.1,-0.0042817708938158,-0.10862755444498001,-0.09598287064858142,-1.1323746887331785,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.11,-0.0054071933196664,-0.11200705700902011,-0.10810579809199927,-1.3801356386315007,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.12,-0.0065219120339962,-0.10349663958455496,-0.12358558342121143,-1.379803976358784,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.13,-0.0074771261113575,-0.12188684173909986,-0.13570187761917496,-0.8489052155473917,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.14,-0.0089596488687782,-0.14721552415348504,-0.14056368773215927,0.2317337918717497,0.2317337918717497
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.15,-0.0104214365944272,-0.18121214768488497,-0.13106720178174,0.022953694520395196,0.022953694520395196
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.16,-0.0125838918224759,-0.17546737871819984,-0.1401046138417514,-1.418875355850819,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.17,-0.0139307841687912,-0.14266022523587008,-0.1594447088987564,-1.4195375402467825,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.18,-0.0154370963271933,-0.04553165535608528,-0.16849536464668707,-0.5566417451745371,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.19,-0.0148414172759129,-0.16675852400463487,-0.1705775438022471,0.539436185774675,0.539436185774675
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.2,-0.018772266807286,-0.25726750713813484,-0.15770664093119355,0.7101158263170699,0.7101158263170699
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.21,-0.0199867674186756,-0.21057011438899975,-0.1563752272759057,-0.16537065110446036,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.22,-0.022983669095066,-0.19578740177380494,-0.16101405395328275,0.5769800654438617,0.5769800654438617
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.23,-0.0239025154541517,-0.08537105862082517,-0.14483562596702845,0.9696730958809292,0.9696730958809292
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.24,-0.0246910902674825,-0.1333403296488549,-0.14162059203566416,1.373191470686291,1.373191470686291
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.25,-0.0265693220471288,-0.07800344209772492,-0.11737179655330258,1.8580609135103048,1.8580609135103048
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.26,-0.026251159109437,-0.05350952810085485,-0.10445937376545802,-1.3632560927047672,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.27,-0.0276395126091459,-0.2347622696185847,-0.14463691840739795,-1.9583787663619585,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.28,-0.0309464045018087,-0.04082854601246866,-0.14362694909269724,0.14846723622771307,0.14846723622771307
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.29,-0.0284560835293953,-0.105400442258893,-0.1416675736828437,-0.9309665161345659,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.3,-0.0330544133469866,-0.3666138711144047,-0.16224627941538866,-0.9087416006628279,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.31,-0.0357883609516834,-0.12627054444594998,-0.15984240569610025,-0.0008039494820604176,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.32,-0.0355798242359056,-0.06428781422874996,-0.16226235840502987,0.3596738054948281,0.3596738054948281
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.33,-0.0370741172362584,-0.1975604682286698,-0.15264892958620369,2.2759346480994846,2.2759346480994846
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.34,-0.039531033600479,-0.21793515358356563,-0.11674366544304013,2.200850471597386,2.200850471597386
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.35,-0.0414328203079297,-0.05776821497497586,-0.10863192015425588,0.07025101142786294,0.07025101142786294
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.36,-0.0406863978999785,-0.038106440527109875,-0.11533864521448298,-1.2272983352552966,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.37,-0.0421949491184719,-0.11527702211225987,-0.13317788685936183,0.7152154477269717,0.7152154477269717
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.38,-0.0429919383422237,-0.0694883274244602,-0.10103433625994354,1.6274154599380966,1.6274154599380966
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.39,-0.0435847156669611,-0.11123488965033967,-0.10062957766059988,-1.4991867738556381,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.4,-0.0452166361352305,-0.32243515974282166,-0.13101807173705632,-0.4996065336446289,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.41,-0.0500334188618175,0.00706970061236234,-0.1106217083334927,1.3394182181040843,1.3394182181040843
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.42,-0.0450752421229832,-0.05493490477957019,-0.10422970737497478,0.06887687575691892,0.06887687575691892
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.43,-0.0511321169574089,-0.2508258990623049,-0.10924417081835433,0.9295413048944896,0.9295413048944896
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.44,-0.0500917601042293,0.02749752171268538,-0.08563888127708497,2.8081606077271632,2.8081606077271632
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.45,-0.0505821665231552,-0.02474432071483479,-0.05308095866381102,1.0781155657526629,1.0781155657526629
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.46,-0.050586646518526,-0.14633613375399657,-0.06407656996203169,-2.0768265647830395,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.47,-0.0535088891982351,-0.15719813295393603,-0.09461748995947161,-3.063855357702929,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.48,-0.0537306091776047,0.23497515890527998,-0.12535367711609016,-1.0047266545111828,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.49,-0.0488093860201295,-0.1319041838671149,-0.11471202304969527,3.29906685588482,3.29906685588482
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.5,-0.056368692854947,-0.46461233904438437,-0.059372339998393704,3.8672672715765124,3.8672672715765124
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.51,-0.0581016328010172,-0.1876557883836445,-0.03736667761816496,-2.2318490614525213,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.52,-0.0601218086226199,0.049747257749929386,-0.10400932122744416,-3.293651441303628,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.53,-0.0571066876460186,0.24104164760511448,-0.10323970644423758,3.2489203715356485,3.2489203715356485
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.54,-0.0553009756705176,-0.003158496292334778,-0.03903091379673113,4.357454000063706,4.357454000063706
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:0,0.55,-0.0571698575718653,-0.23152334635967442,-0.016090626442963378,0.3186084783703582,0.3186084783703582
