source,case_id,case_label,eta,nmstv,radius,phi_gap_to_even_odd,abs_phi_gap_to_even_odd,dphi_dr_gap_to_even_odd,abs_dphi_dr_gap_to_even_odd,curvature_gap_to_even_odd,abs_curvature_gap_to_even_odd,positive_curvature_gap_to_even_odd,abs_positive_curvature_gap_to_even_odd
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,0.01,-9.193278128995339e-05,9.193278128995339e-05,-0.003196484800351714,0.003196484800351714,-0.15963115151075247,0.15963115151075247,0.0,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,0.02,-0.00010740334219155672,0.00010740334219155672,-0.004792796315459237,0.004792796315459237,-0.19162754702089296,0.19162754702089296,0.0,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,0.03,-0.00014174294398892998,0.00014174294398892998,-0.00702903574076957,0.00702903574076957,-0.2447532664596535,0.2447532664596535,0.0,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,0.04,-0.00020779774319426656,0.00020779774319426656,-0.009687861644652306,0.009687861644652306,-0.2925247699523166,0.2925247699523166,0.0,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,0.05,-0.00031528176512365664,0.00031528176512365664,-0.012879531139815902,0.012879531139815902,-0.32148169134677984,0.32148169134677984,0.0,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,0.06,-0.00046222247711252655,0.00046222247711252655,-0.016117495471587896,0.016117495471587896,-0.2950687994299368,0.2950687994299368,0.0,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,0.07,-0.0006592964064703101,0.0006592964064703101,-0.01878090712841464,0.01878090712841464,-0.21763159192064174,0.21763159192064174,0.0,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,0.08,-0.0008653992254593166,0.0008653992254593166,-0.020470127310000738,0.020470127310000738,-0.1979513547398799,0.1979513547398799,0.0,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,0.09,-0.0011370712575964202,0.0011370712575964202,-0.02273993422321223,0.02273993422321223,-0.24634863331203305,0.24634863331203305,0.0,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,0.1,-0.001368524394606374,0.001368524394606374,-0.025397099976241386,0.025397099976241386,-0.19173419298729977,0.19173419298729977,0.0,0.0
