case_id,x,y,pearson_corr
eta_0.02,split_mean,curvature_abs_mean,0.3491742821598209
eta_0.02,split_fail_frac,curvature_abs_mean,0.32972880351381306
eta_0.02,phi_sem,curvature_abs_mean,0.31805703067439467
eta_0.02,ess_fraction_mean,curvature_abs_mean,-0.195560809308173
eta_0.05,split_mean,curvature_abs_mean,0.20874929973532735
eta_0.05,split_fail_frac,curvature_abs_mean,0.23420901864068222
eta_0.05,phi_sem,curvature_abs_mean,0.1319965615911332
eta_0.05,ess_fraction_mean,curvature_abs_mean,-0.15749239507021115
eta_0.15,split_mean,curvature_abs_mean,-0.06500733384034284
eta_0.15,split_fail_frac,curvature_abs_mean,-0.03336613544683265
eta_0.15,phi_sem,curvature_abs_mean,-0.08596746253083867
eta_0.15,ess_fraction_mean,curvature_abs_mean,-0.05400885054775631
eta_0.25,split_mean,curvature_abs_mean,0.0364276062821382
eta_0.25,split_fail_frac,curvature_abs_mean,0.09334240160803062
eta_0.25,phi_sem,curvature_abs_mean,0.06217986739490885
eta_0.25,ess_fraction_mean,curvature_abs_mean,-0.10747042611964455
even_odd,split_mean,curvature_abs_mean,0.5633123479647661
even_odd,split_fail_frac,curvature_abs_mean,0.5528609477826995
even_odd,phi_sem,curvature_abs_mean,0.4477666746014808
even_odd,ess_fraction_mean,curvature_abs_mean,-0.2526303594722766
