N,r,branch,phi_emp,phi_theory,finiteN_error
40,0.15,boundary_mixed_eta0,0.0,0.0,0.0
40,0.2,boundary_mixed_eta0,0.279610397679111,0.2870479475921974,-0.0074375499130864275
40,0.25,boundary_mixed_eta0,0.495870575083254,0.5092107623736974,-0.01334018729044345
40,0.3,boundary_mixed_eta0,0.6718088834945661,0.6900705986726179,-0.01826171517805175
40,0.35,boundary_mixed_eta0,0.8196378601911728,0.8421017754938938,-0.02246391530272096
40,0.4,boundary_mixed_eta0,0.9465794903081712,0.9726272381695418,-0.02604774786137054
40,0.45,boundary_mixed_eta0,1.0572634455259855,1.0868252557992997,-0.02956181027331417
40,0.5,boundary_mixed_eta0,1.1548201078764326,1.1876982456739376,-0.032878137797504925
40,0.55,boundary_mixed_eta0,1.2414667890241873,1.2769616300515363,-0.03549484102734901
40,0.6,boundary_mixed_eta0,1.31878770426045,1.357282304070904,-0.038494599810454
40,0.65,boundary_mixed_eta0,1.3879826644325386,1.4289355069251712,-0.040952842492632646
40,0.7,boundary_mixed_eta0,1.45001896613027,1.493547552487397,-0.043528586357126864
40,0.75,boundary_mixed_eta0,1.5055648775613677,1.5511605431414393,-0.045595665580071554
40,0.8,boundary_mixed_eta0,1.555063312412392,1.60339754697078,-0.04833423455838792
40,0.85,boundary_mixed_eta0,1.599304451390125,1.6492125006435714,-0.049908049253446496
40,0.9,boundary_mixed_eta0,1.6384290305196207,1.6908343352794817,-0.05240530475986094
40,0.95,boundary_mixed_eta0,1.6727097669266042,1.7272859812259171,-0.05457621429931292
40,1.0,boundary_mixed_eta0,1.702451211162349,1.7584589488555915,-0.05600773769324241
40,1.05,boundary_mixed_eta0,1.7281057478877968,1.7863090269966624,-0.05820327910886558
40,1.1,boundary_mixed_eta0,1.7494496758070124,1.8099262431791896,-0.060476567372177215
40,1.15,boundary_mixed_eta0,1.766978829055342,1.8292330623557869,-0.06225423330044477
40,1.2,boundary_mixed_eta0,1.7805978140629763,1.844533839439612,-0.06393602537663567
40,1.25,boundary_mixed_eta0,1.79056171270489,1.8560770053045967,-0.06551529259970668
40,1.3,boundary_mixed_eta0,1.7969074148873283,1.864045586352244,-0.06713817146491574
40,1.35,boundary_mixed_eta0,1.79975272626195,1.8685758490161573,-0.06882312275420732
40,1.4,boundary_mixed_eta0,1.7992421674418302,1.869763455597824,-0.07052128815599379
40,1.45,boundary_mixed_eta0,1.7952018297443866,1.8676674033110112,-0.07246557356662464
40,1.5,boundary_mixed_eta0,1.788239473045924,1.8623121610175604,-0.07407268797163646
40,1.55,boundary_mixed_eta0,1.7776530523606602,1.853688218505631,-0.07603516614497074
40,1.6,boundary_mixed_eta0,1.7641856680132646,1.841751102263772,-0.07756543425050744
40,1.65,boundary_mixed_eta0,1.747344554784363,1.8264187606030624,-0.0790742058186995
40,1.7,boundary_mixed_eta0,1.7275948637992078,1.8075670534628256,-0.07997218966361785
40,1.75,boundary_mixed_eta0,1.7045578723112886,1.7850228676650473,-0.08046499535375862
40,1.8,boundary_mixed_eta0,1.6788688896259285,1.7611327879881786,-0.08226389836225012
40,1.85,boundary_mixed_eta0,1.649948469831111,1.7347628473654049,-0.08481437753429377
40,1.9,boundary_mixed_eta0,1.6179812926227397,1.7049115192535549,-0.08693022663081518
40,1.95,boundary_mixed_eta0,1.5832663029027492,1.6713427011174669,-0.08807639821471769
40,2.0,boundary_mixed_eta0,1.5455621619810556,1.6337539149108635,-0.08819175292980796
40,2.05,boundary_mixed_eta0,1.5050631365899316,1.5936082801390823,-0.08854514354915066
40,2.1,boundary_mixed_eta0,1.4614962069358255,1.5534090002509686,-0.09191279331514313
40,2.15,boundary_mixed_eta0,1.4151783270871878,1.5093916044699691,-0.09421327738278129
40,2.2,boundary_mixed_eta0,1.3660291287120958,1.4611926561526891,-0.09516352744059331
40,0.15,full_max_envelope,0.0,0.0,0.0
40,0.2,full_max_envelope,0.279610397679111,0.2871103396163335,-0.007499941937222476
40,0.25,full_max_envelope,0.495870575083254,0.5093078790511072,-0.013437303967853198
40,0.3,full_max_envelope,0.6718088834945661,0.6901769492783956,-0.018368065783829435
40,0.35,full_max_envelope,0.8196378601911728,0.8421943305415311,-0.02255647035035835
40,0.4,full_max_envelope,0.9465794903081712,0.972685792737991,-0.026106302429819817
40,0.45,full_max_envelope,1.0572634455259855,1.0868085073747693,-0.029545061848783805
40,0.5,full_max_envelope,1.1548201078764326,1.1876172728706251,-0.032797164994192496
40,0.55,full_max_envelope,1.2414667890241873,1.2768050442008985,-0.035338255176711186
40,0.6,full_max_envelope,1.31878770426045,1.356980853077232,-0.03819314881678193
40,0.65,full_max_envelope,1.3879826644325386,1.4285316887875297,-0.04054902435499108
40,0.7,full_max_envelope,1.45001896613027,1.4929446868715672,-0.04292572074129719
40,0.75,full_max_envelope,1.5055648775613677,1.5504393236570877,-0.04487444609572
40,0.8,full_max_envelope,1.555063312412392,1.6024240215866712,-0.04736070917427915
40,0.85,full_max_envelope,1.599304451390125,1.6479502491860671,-0.04864579779594225
40,0.9,full_max_envelope,1.6384290305196207,1.6894373356773826,-0.05100830515776189
40,0.95,full_max_envelope,1.6727097669266042,1.7255478194110765,-0.052838052484472264
40,1.0,full_max_envelope,1.702451211162349,1.756341136784215,-0.0538899256218659
40,1.05,full_max_envelope,1.7281057478877968,1.7840760360895729,-0.055970288201776075
40,1.1,full_max_envelope,1.7494496758070124,1.8072861156329625,-0.0578364398259501
40,1.15,full_max_envelope,1.766978829055342,1.8261694636319703,-0.05919063457662821
40,1.2,full_max_envelope,1.7805978140629763,1.8410357858929276,-0.060437971829951254
40,1.25,full_max_envelope,1.79056171270489,1.852126135187916,-0.06156442248302585
40,1.3,full_max_envelope,1.7969074148873283,1.859626051730004,-0.06271863684267576
40,1.35,full_max_envelope,1.79975272626195,1.863674684384364,-0.06392195812241397
40,1.4,full_max_envelope,1.7992421674418302,1.8643710090055376,-0.06512884156370746
40,1.45,full_max_envelope,1.7952018297443866,1.8617778387237536,-0.066576008979367
40,1.5,full_max_envelope,1.788239473045924,1.855924043914172,-0.06768457086824808
40,1.55,full_max_envelope,1.7776530523606602,1.8468051995873795,-0.06915214722671936
40,1.6,full_max_envelope,1.7641856680132646,1.8343827183407484,-0.0701970503274838
40,1.65,full_max_envelope,1.747344554784363,1.8185813762901264,-0.07123682150576349
40,1.7,full_max_envelope,1.7275948637992078,1.7992849733170146,-0.07169010951780685
40,1.75,full_max_envelope,1.7045578723112886,1.7763296551282792,-0.07177178281699059
40,1.8,full_max_envelope,1.6788688896259285,1.750587155830431,-0.07171826620450239
40,1.85,full_max_envelope,1.649948469831111,1.723728416075005,-0.07377994624389395
40,1.9,full_max_envelope,1.6179812926227397,1.6934292375009932,-0.07544794487825346
40,1.95,full_max_envelope,1.5832663029027492,1.659465374643787,-0.0761990717410379
40,2.0,full_max_envelope,1.5455621619810556,1.621548251593481,-0.07598608961242537
40,2.05,full_max_envelope,1.5050631365899316,1.5793061713595191,-0.07424303476958749
40,2.1,full_max_envelope,1.4614962069358255,1.5382891194367403,-0.0767929125009148
40,2.15,full_max_envelope,1.4151783270871878,1.493901265541183,-0.07872293845399514
40,2.2,full_max_envelope,1.3660291287120958,1.4454251891238528,-0.07939606041175695
40,0.15,full_mixed_maxQ_min_s_eta,0.0,0.0,0.0
40,0.2,full_mixed_maxQ_min_s_eta,0.279610397679111,0.2870479475921974,-0.0074375499130864275
40,0.25,full_mixed_maxQ_min_s_eta,0.495870575083254,0.5092107623736974,-0.01334018729044345
40,0.3,full_mixed_maxQ_min_s_eta,0.6718088834945661,0.6900705986726179,-0.01826171517805175
40,0.35,full_mixed_maxQ_min_s_eta,0.8196378601911728,0.8421017754938938,-0.02246391530272096
