N,branch,rmse,max_abs_error,emp_peak_radius,theory_peak_radius,peak_radius_abs_diff
40,boundary_mixed_eta0,0.08453796799659938,0.13632710196589448,1.35,1.4,0.04999999999999982
40,full_max_envelope,0.0839404316338372,0.13423063174026995,1.35,1.4,0.04999999999999982
40,full_mixed_maxQ_min_s_eta,0.08453796799659938,0.13632710196589448,1.35,1.4,0.04999999999999982
80,boundary_mixed_eta0,0.05256771321381763,0.08877701020624218,1.4,1.4,0.0
80,full_max_envelope,0.05195319360152256,0.08668053998061764,1.4,1.4,0.0
80,full_mixed_maxQ_min_s_eta,0.05256771321381763,0.08877701020624218,1.4,1.4,0.0
160,boundary_mixed_eta0,0.029486121681634895,0.05185136412022873,1.4,1.4,0.0
160,full_max_envelope,0.028860811335681184,0.04975489389460419,1.4,1.4,0.0
160,full_mixed_maxQ_min_s_eta,0.029486121681634895,0.05185136412022873,1.4,1.4,0.0
320,boundary_mixed_eta0,0.02068472399378688,0.03886473249352074,1.4,1.4,0.0
320,full_max_envelope,0.020037196349409713,0.0367682622678962,1.4,1.4,0.0
320,full_mixed_maxQ_min_s_eta,0.02068472399378688,0.03886473249352074,1.4,1.4,0.0
