r,N,phi_emp,phi_radius_emp,phi_energy_emp,weighted_CE,weighted_err,reference_count,mean_ess_frac,q05_ess_frac,max_split_logZ_per_N_diff,fallback_unit_count,fallback_unit_fraction,min_smc_cess_fraction,max_smc_step_count
0.15,80,0.0,0.0,0.0,3.3219951420776477,0.04416390158835005,100,0.9807520432951123,0.9738580853256187,0.0001969924907651,0,0.0,0.9602589059445664,1.0
0.2,80,0.2833318539444339,0.2840860465461338,-0.0007541926016998879,3.345888075228518,0.0584078166208806,100,0.9663277996138143,0.954214098474938,0.0002737454245025,0,0.0,0.931791642912298,1.0
0.25,80,0.5025170925235599,0.5044403034689159,-0.0019232109453559687,3.3775564555181528,0.07219066693941632,100,0.9488720684176856,0.9310184799335082,0.0002809965834154,0,0.0,0.9030876937856848,1.0
0.3,80,0.6808848758326821,0.684482840802946,-0.003597964970263856,3.4148326171329906,0.08526443846779824,100,0.9288379699305742,0.9049410459988614,0.0004682042671681,0,0.0,0.850000000003071,2.0
0.35,80,0.8308391732449817,0.8367066371323637,-0.005867463887382041,3.45438624303143,0.09747349725128351,100,0.9066078544721585,0.8763131994489498,0.0005125666283414,0,0.0,0.8500000000004935,2.0
0.4,80,0.9596379500445141,0.9685688873490798,-0.008930937304565578,3.502306934602552,0.10991974415429016,100,0.8969500836211307,0.8585075303382194,0.000546486474493,0,0.0,0.8500000000002044,2.0
0.45,80,1.0720312320184813,1.0848796350597585,-0.0128484030412773,3.551735221176062,0.12187908147659457,100,0.9294820341240336,0.8562467815261556,0.0006642090378751,0,0.0,0.8500000000000262,2.0
0.5,80,1.1711674251423574,1.188923144271862,-0.017755719129504487,3.6059282776195336,0.13365468762276178,100,0.9697634556091518,0.8626472277840438,0.0005815098003113,0,0.0,0.8500000000000103,2.0
0.55,80,1.2592631942919017,1.2830419468286327,-0.023778752536730962,3.6624079167640544,0.1454483866675202,100,0.9899094394693284,0.9170467047661622,0.00076304430532,0,0.0,0.8500000000000059,2.0
0.6,80,1.3379614638232349,1.368965681605892,-0.03100421778265714,3.721908123883056,0.1570425886193942,100,0.9984243906856688,1.0000000000000002,0.0008206553588714,0,0.0,0.8500000000000005,2.0
0.65,80,1.4084489658825532,1.4480078554335094,-0.03955888955095625,3.787120359070034,0.16977783203124994,100,1.0000000000000002,1.0000000000000002,0.0009667432890015,0,0.0,0.8500000000000021,2.0
0.7,80,1.4717066690487972,1.5211894779353097,-0.04948280888651242,3.8487024690061094,0.18114218031823312,100,0.9999984117438211,1.0000000000000002,0.0009712689328663,0,0.0,0.8500000000000089,3.0
0.75,80,1.5284219478046515,1.589319938528674,-0.06089799072402258,3.9152040201692695,0.19322804641052208,100,0.9999735747713351,1.0000000000000002,0.0010611630649139,0,0.0,0.8500000000000111,3.0
0.8,80,1.5791523769070421,1.6530517281520258,-0.07389935124498362,3.984575331215852,0.20536591137461982,100,0.9999590069964129,1.0000000000000002,0.0013163118328914,0,0.0,0.8500000000000202,3.0
0.85,80,1.6244183375206322,1.7129185421957551,-0.08850020467512279,4.050906069646691,0.21661510930559508,100,0.999679025503422,0.999467827267169,0.0012481441912438,0,0.0,0.8500000000000526,3.0
0.9,80,1.6645249262365525,1.7693624758627045,-0.10483754962615191,4.128803522158451,0.22945964763990012,100,0.9991257747224215,0.9960168275693105,0.0013666650600898,0,0.0,0.8500000000000005,3.0
0.95,80,1.699888701341241,1.8227538568671016,-0.12286515552586055,4.198212421045874,0.24067159329845086,100,0.9972561813653519,0.9870007651430053,0.0016895616713811,0,0.0,0.8500000000000345,3.0
1.0,80,1.730676790791339,1.873405985074808,-0.14272919428346897,4.273717629745217,0.25314910426053466,100,0.9936889979519521,0.9761966241242316,0.0014629108747775,0,0.0,0.8500000000000307,3.0
1.05,80,1.7571354245745083,1.9215862721921222,-0.16445084761761378,4.352593422060048,0.2651544689306317,100,0.9885375783888704,0.9676130067591501,0.0019285000642728,0,0.0,0.8500000000000103,3.0
1.1,80,1.7795227831065812,1.967524787631579,-0.1880020045249978,4.423017454805466,0.2749921806683479,100,0.9781591507558203,0.9460880869320822,0.0017441087677714,0,0.0,0.8500000000000059,3.0
1.15,80,1.7979273482646883,2.011420903170277,-0.21349355490558874,4.501422133014065,0.2869276262166366,100,0.9675855742231521,0.9269796103235595,0.0019657535035868,0,0.0,0.8500000000000073,3.0
1.2,80,1.8125333817524003,2.053448522408838,-0.24091514065643765,4.573875670395529,0.2971132241952938,100,0.9509471650276563,0.9041295795471573,0.0014792611953888,0,0.0,0.8500000000000224,3.0
1.25,80,1.8233181119392676,2.09376024199759,-0.2704421300583223,4.660932835145166,0.30816183372497163,100,0.937238494346449,0.8885578979946265,0.0015142524242419,0,0.0,0.8500000000000247,4.0
1.3,80,1.830493806601028,2.1324906962364554,-0.3019968896354276,4.744346375932359,0.3193804038644183,100,0.9244300885784413,0.870703035155484,0.0020654613340686,0,0.0,0.8500000000000032,4.0
1.35,80,1.8343419674347399,2.169759270119517,-0.33541730268477704,4.814532313413785,0.32795109417178614,100,0.9223070482460737,0.8643698201295171,0.0022385761387879,0,0.0,0.8500000000000081,4.0
1.4,80,1.8345274092323876,2.2056723187382556,-0.3711449095058682,4.902819056617149,0.33826768500396653,100,0.9306921812287472,0.8655892327170055,0.002186808630136,0,0.0,0.8500000000000254,4.0
1.45,80,1.8314686804716134,2.240324997051885,-0.40885631658027155,4.977724627712266,0.34728469532667205,100,0.9438636344557506,0.867481532108016,0.0021497542869029,0,0.0,0.8500000000000126,4.0
1.5,80,1.8251405282586046,2.2738027793316204,-0.4486622510730158,5.058734228842255,0.35602054031308866,100,0.9555254806973533,0.8694674742390107,0.0022943814306695,0,0.0,0.8500000000000036,4.0
1.55,80,1.8154912647295762,2.306182729369324,-0.49069146463974755,5.143374569253405,0.36492046595294597,100,0.9801020520580408,0.9150481559482639,0.0025352711980332,0,0.0,0.8500000000000059,4.0
1.6,80,1.8028241617079572,2.337534568954972,-0.5347104072470146,5.211701473428973,0.3714221550489061,100,0.9915489413344403,0.9269796892763005,0.0034153354596466,0,0.0,0.8500000000000096,4.0
1.65,80,1.7867702025863514,2.367921581888391,-0.5811513793020396,5.304830281211751,0.3807720281090954,100,0.9986306795323423,1.0,0.0029887213323737,0,0.0,0.8500000000000263,4.0
1.7,80,1.767595575861221,2.397401382998701,-0.6298058071374801,5.395563041606655,0.3891974251805528,100,0.9992600751202184,1.0,0.0029284513444038,0,0.0,0.8500000000000043,5.0
1.75,80,1.7456099593515342,2.4260265756610377,-0.6804166163095036,5.4675404108133,0.3960680561117986,100,0.999957045252352,0.9998909855529576,0.0038547532318323,0,0.0,0.8500000000000194,5.0
1.8,80,1.720498529948436,2.4538453166656504,-0.7333467867172143,5.541375852375183,0.40174346381226883,100,0.9990754716090244,0.9954737961315671,0.0036716844614041,0,0.0,0.8500000000000029,5.0
1.85,80,1.6923458695219538,2.4809018036764137,-0.7885559341544599,5.626370474695511,0.4088685476207724,100,0.9991574954699147,0.9961777529122764,0.0011253551615894,0,0.0,0.8500000000000323,5.0
1.9,80,1.6613065327440895,2.5072366976700478,-0.8459301649259583,5.7086296272473485,0.4152437530902136,100,0.9966845926358998,0.9815854965674928,0.0030600234552576,0,0.0,0.8500000000000156,5.0
1.95,80,1.6272018454509818,2.5328874904932674,-0.9056856450422857,5.798054138761118,0.42270370491313797,100,0.9926813647169814,0.9650322932519311,0.0033381088137897,0,0.0,0.8500000000000089,5.0
2.0,80,1.5901973051779184,2.557888825877754,-0.9676915206998356,5.876619536893659,0.4275032561645157,100,0.9887162356242505,0.9578644683874636,0.0012451319552678,0,0.0,0.8500000000000345,5.0
2.05,80,1.5503508838526545,2.5822727808107455,-1.031921896958091,5.955484217042462,0.43280940828082526,100,0.9812843075679052,0.9403704658337607,0.0010117443813092,0,0.0,0.8500000000000066,5.0
2.1,80,1.5075660690874448,2.606069112995068,-1.0985030439076233,6.043457653320316,0.4386349714405334,100,0.9725159394982041,0.922785249475062,0.0011240013497358,0,0.0,0.850000000000027,6.0
2.15,80,1.4619673725703,2.629305479187635,-1.167338106617335,6.128003405145279,0.4442780759333377,100,0.9636753526447559,0.9069203095265197,0.0010413169950009,0,0.0,0.850000000000018,6.0
2.2,80,1.413579482427925,2.6520076284345246,-1.2384281460065996,6.20499110740553,0.4486016334653271,100,0.9516286589771278,0.8839108420913125,0.0013474639710002,0,0.0,0.8500000000000036,6.0
