eta,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
0.05,2461,0.05,1.175383585072994e-05,-1.17538e-05
0.05,2461,0.05,5.236543280103587e-05,5.23654e-05
0.05,2461,0.05,1.3529845337158034e-05,1.35298e-05
0.05,2461,0.05,1.5334813272579888e-06,-1.53348e-06
0.05,2461,0.05,2.051344842551148e-06,-2.05134e-06
0.05,2461,0.05,2.387802440004133e-05,2.3878e-05
0.05,2461,0.05,6.796229165195561e-06,-6.79623e-06
0.05,2461,0.05,1.4440711257862942e-05,1.44407e-05
0.05,2461,0.05,2.7029215257989847e-05,-2.70292e-05
0.05,2461,0.05,1.9109537358691967e-05,1.91095e-05
0.05,2461,0.05,6.175025000353899e-06,6.17503e-06
0.05,2461,0.05,1.4487012281138226e-05,-1.4487e-05
0.05,2461,0.05,1.7917841683674615e-05,-1.79178e-05
0.05,2461,0.05,2.3202794808957296e-05,-2.32028e-05
0.05,2461,0.05,1.857157641172203e-05,1.85716e-05
0.05,2461,0.05,1.477798121595096e-05,-1.4778e-05
0.05,2461,0.05,3.9723941769138266e-05,-3.97239e-05
0.05,2461,0.05,2.5949242628677395e-05,2.59492e-05
0.05,2461,0.05,3.696984341019757e-06,3.69698e-06
0.05,2461,0.05,1.2274337150639504e-05,1.22743e-05
0.05,2461,0.05,2.749333281701905e-05,2.74933e-05
0.05,2461,0.05,1.9959420415646808e-05,1.99594e-05
0.05,2461,0.05,3.4845084937384764e-06,-3.48451e-06
0.05,2461,0.05,8.812353403864224e-06,-8.81235e-06
0.05,2461,0.05,2.5453166417095275e-05,-2.54532e-05
0.05,2461,0.05,9.143566432351e-06,9.14357e-06
0.05,2461,0.05,5.316066362286966e-05,-5.31607e-05
0.05,2461,0.05,3.27177865830262e-05,3.27178e-05
0.05,2461,0.05,5.0342181406719216e-05,-5.03422e-05
0.05,2461,0.05,1.4901813705615151e-05,1.49018e-05
0.05,2461,0.1,0.0002498887408515,-0.000249889
0.05,2461,0.1,0.0001855137424437,0.000185514
