eta,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
0.15,2461,0.05,0.0002105861239066,0.000210586
0.15,2461,0.05,4.847437251184029e-05,-4.84744e-05
0.15,2461,0.05,7.216620378097042e-05,-7.21662e-05
0.15,2461,0.05,2.854458143531547e-05,2.85446e-05
0.15,2461,0.05,4.450436440045419e-05,-4.45044e-05
0.15,2461,0.05,0.0001414643087876,0.000141464
0.15,2461,0.05,0.000102363740693,0.000102364
0.15,2461,0.05,5.309740093028803e-05,5.30974e-05
0.15,2461,0.05,1.9753036820338552e-05,-1.9753e-05
0.15,2461,0.05,0.0001055154459992,0.000105515
0.15,2461,0.05,2.991884391546592e-05,-2.99188e-05
0.15,2461,0.05,1.5292030223096783e-05,-1.5292e-05
0.15,2461,0.05,8.44209793571903e-07,8.4421e-07
0.15,2461,0.05,4.399895604380678e-05,-4.3999e-05
0.15,2461,0.05,6.215937448515484e-05,6.21594e-05
0.15,2461,0.05,1.2969884627515893e-05,-1.29699e-05
0.15,2461,0.05,1.4884492964699387e-05,-1.48845e-05
0.15,2461,0.05,0.0001325854197887,-0.000132585
0.15,2461,0.05,1.302833047871116e-06,1.30283e-06
0.15,2461,0.05,8.317774077997253e-05,8.31777e-05
0.15,2461,0.05,7.105871306463179e-05,-7.10587e-05
0.15,2461,0.05,9.401282455685675e-06,9.40128e-06
0.15,2461,0.05,4.200667323312567e-05,-4.20067e-05
0.15,2461,0.05,4.26758938974606e-05,-4.26759e-05
0.15,2461,0.05,3.5034065850634865e-05,-3.50341e-05
0.15,2461,0.05,4.718847653231224e-06,4.71885e-06
0.15,2461,0.05,5.337046170544469e-05,5.33705e-05
0.15,2461,0.05,7.778409522722594e-05,-7.77841e-05
0.15,2461,0.05,0.0001124343829467,-0.000112434
0.15,2461,0.05,6.335774743319033e-05,6.33577e-05
0.15,2461,0.1,0.0003831235736154,0.000383124
0.15,2461,0.1,0.000745513770097,-0.000745514
0.15,2461,0.1,0.0007588513244609,-0.000758851
0.15,2461,0.1,0.0008695509285114,0.000869551
0.15,2461,0.1,0.0011689059651196,-0.00116891
0.15,2461,0.1,0.0016222760544141,-0.00162228
0.15,2461,0.1,0.0005675280204715,-0.000567528
0.15,2461,0.1,0.0001611119877636,0.000161112
0.15,2461,0.1,6.352121497024095e-05,-6.35212e-05
0.15,2461,0.1,0.0003241532422056,-0.000324153
0.15,2461,0.1,0.0009325866463605,-0.000932587
0.15,2461,0.1,0.000275461664523,-0.000275462
0.15,2461,0.1,0.0011544583682272,0.00115446
0.15,2461,0.1,0.001783274977045,-0.00178327
0.15,2461,0.1,0.0008386228787265,-0.000838623
0.15,2461,0.1,0.0028522490693308,-0.00285225
0.15,2461,0.1,0.0005844367690861,-0.000584437
0.15,2461,0.1,0.0013708385583778,-0.00137084
0.15,2461,0.1,0.0007248500852497,-0.00072485
0.15,2461,0.1,0.0005828217099796,0.000582822
0.15,2461,0.1,0.0001136535071079,0.000113654
0.15,2461,0.1,0.0003350201032183,-0.00033502
0.15,2461,0.1,0.0002563518357591,0.000256352
0.15,2461,0.1,1.6298115706596738e-05,-1.62981e-05
0.15,2461,0.1,0.0003308125565272,-0.000330813
0.15,2461,0.1,0.0007002224432156,0.000700222
0.15,2461,0.1,0.0004536944147329,-0.000453694
0.15,2461,0.1,0.0011735922999373,0.00117359
0.15,2461,0.1,0.0018426324286693,-0.00184263
0.15,2461,0.1,0.0002315226618618,-0.000231523
0.15,2461,0.15,0.0003124588676729,0.000312459
0.15,2461,0.15,0.0050443282175639,-0.00504433
0.15,2461,0.15,0.0006674216362302,-0.000667422
0.15,2461,0.15,0.0015068045376865,-0.0015068
0.15,2461,0.15,0.0026698371790053,0.00266984
0.15,2461,0.15,0.000884908845856,0.000884909
0.15,2461,0.15,0.0036577821931575,-0.00365778
0.15,2461,0.15,0.0014612537297529,-0.00146125
0.15,2461,0.15,0.0004437155954408,0.000443716
0.15,2461,0.15,0.0014638295132303,-0.00146383
0.15,2461,0.15,0.0052855346756433,-0.00528553
0.15,2461,0.15,0.0006926969944817,-0.000692697
0.15,2461,0.15,0.001441813653077,-0.00144181
0.15,2461,0.15,0.0013374014645539,0.0013374
0.15,2461,0.15,0.0017056762461125,-0.00170568
0.15,2461,0.15,0.0013986072420904,-0.00139861
0.15,2461,0.15,0.0019136420525371,-0.00191364
0.15,2461,0.15,0.0015466539656875,-0.00154665
0.15,2461,0.15,0.0047775741711424,-0.00477757
0.15,2461,0.15,0.005571617561162,-0.00557162
0.15,2461,0.15,0.0027684639839153,-0.00276846
0.15,2461,0.15,0.0020263029331252,-0.0020263
0.15,2461,0.15,0.0019768290617274,0.00197683
0.15,2461,0.15,0.0017143949935076,-0.00171439
0.15,2461,0.15,0.002848894486089,-0.00284889
0.15,2461,0.15,0.0007970099531573,0.00079701
0.15,2461,0.15,4.0190912631718926e-07,-4.01909e-07
0.15,2461,0.15,0.001158215413715,-0.00115822
0.15,2461,0.15,0.0047687550405474,-0.00476876
0.15,2461,0.15,0.0036876857954549,0.00368769
0.15,2461,0.2,0.0057776476959097,-0.00577765
0.15,2461,0.2,0.0011774335526825,0.00117743
0.15,2461,0.2,0.0018553225361494,-0.00185532
0.15,2461,0.2,0.0003465952257879,-0.000346595
0.15,2461,0.2,0.0078414792244071,-0.00784148
0.15,2461,0.2,0.0013236884519652,0.00132369
0.15,2461,0.2,0.0057773160298406,-0.00577732
0.15,2461,0.2,0.0002553679648918,-0.000255368
0.15,2461,0.2,0.0037783840508133,-0.00377838
0.15,2461,0.2,0.0046441542259839,0.00464415
0.15,2461,0.2,0.0026285665719202,0.00262857
0.15,2461,0.2,0.0006940313905327,0.000694031
0.15,2461,0.2,0.0075971651434227,0.00759717
0.15,2461,0.2,0.0015018062070528,-0.00150181
0.15,2461,0.2,9.11008521962806e-05,-9.11009e-05
0.15,2461,0.2,0.0029475651014862,0.00294757
0.15,2461,0.2,0.0076255054377122,-0.00762551
0.15,2461,0.2,0.0009696955977287,-0.000969696
0.15,2461,0.2,0.0082951880408284,0.00829519
0.15,2461,0.2,0.0031808079374225,-0.00318081
0.15,2461,0.2,0.0060611897782762,-0.00606119
0.15,2461,0.2,0.0008631113529325,0.000863111
0.15,2461,0.2,0.0036679581096003,-0.00366796
0.15,2461,0.2,0.0028580498292078,0.00285805
0.15,2461,0.2,0.0059339324790056,0.00593393
0.15,2461,0.2,0.0019783710201156,-0.00197837
0.15,2461,0.2,0.0056404217904525,-0.00564042
0.15,2461,0.2,4.553472433752981e-05,4.55347e-05
0.15,2461,0.2,0.0024059229466642,-0.00240592
0.15,2461,0.2,0.0057787620173377,-0.00577876
0.15,2461,0.25,0.0005251787166922,-0.000525179
