unit_index,beta,dataset_id,ref_id,radius,n_samples,python_elapsed_seconds,julia_elapsed_seconds,python_units_per_s,julia_units_per_s,julia_speedup_vs_python,python_smc_completed,julia_smc_completed
0,0.05,0,0,0.01,1024,5.750315199999022,9.64300012588501,0.17390351054150388,0.1037021660215132,0.5963201415463295,True,True
1,0.05,0,0,0.5,1024,5.09039089998987,0.9149999618530273,0.19644856743752037,1.0928962204269752,5.563268975094798,True,True
2,0.05,0,0,2.5,1024,7.776470099997823,1.812999963760376,0.1285930489207796,0.5515719911686495,4.289283097319267,True,True
3,0.12,6,0,0.01,1024,4.578069900002447,0.7220001220703125,0.21843266307477427,1.3850413170742017,6.340815963957148,True,True
4,0.12,6,0,0.5,1024,3.814124399999855,1.003000020980835,0.2621833729387636,0.997008952225244,3.802716171700593,True,True
5,0.12,6,0,2.5,1024,7.002293199999258,1.6579999923706055,0.142810358183817,0.603136311581161,4.223337293257397,True,True
6,0.19,12,0,0.01,1024,2.956168200005777,0.7730000019073486,0.33827574493157925,1.2936610576100096,3.824279680092552,True,True
7,0.19,12,0,0.5,1024,2.82295349999913,0.7690000534057617,0.3542389203365582,1.3003900267252018,3.6709405773078703,True,True
8,0.19,12,0,2.5,1024,7.278873399991426,2.489000082015991,0.13738389789842725,0.4017677649853831,2.9244166975261114,True,True
9,0.26,17,29,0.01,1024,3.2156672999990406,1.6380000114440918,0.31097744471273453,0.6105006062352717,1.9631668361003536,True,True
10,0.26,17,29,0.5,1024,2.96902059999411,0.6949999332427979,0.33681140508152213,1.4388490590698382,4.271972496660491,True,True
11,0.26,17,29,2.5,1024,6.014122099993983,1.5279998779296875,0.16627530724742026,0.6544503140634518,3.9359440971570088,True,True
12,0.33,23,29,0.01,1024,2.7759004999970784,0.8550000190734863,0.3602434597353372,1.169590617183426,3.2466671790313644,True,True
13,0.33,23,29,0.5,1024,3.9246254000026966,0.999000072479248,0.25480138817817183,1.001000928376582,3.928553668933014,True,True
14,0.33,23,29,2.5,1024,5.259537599995383,1.383000135421753,0.19013078259976274,0.7230657281859519,3.802991384662056,True,True
15,0.4,29,29,0.01,1024,2.901704100004281,0.9549999237060547,0.3446250773807449,1.0471205025015229,3.0384338553072117,True,True
16,0.4,29,29,0.5,1024,2.737586300005205,0.7599999904632568,0.3652852879918703,1.3157894901951928,3.6020872820491925,True,True
17,0.4,29,29,2.5,1024,5.717552500005695,1.2420001029968262,0.1749000118493016,0.8051529122961396,4.60350404658566,True,True
