metric,n,mean_diff_julia_minus_python,ci95_low,ci95_high,equivalence_tolerance_abs,passed
logZ_inf,18,0.019253772747610903,-0.028330842734430966,0.06683838822965277,10.18,True
logZ_inf_full,18,0.019253772747611055,-0.028330842734430966,0.06683838822965307,10.18,True
ess_frac,18,0.009771225192115707,-0.016037652134726355,0.03558010251895777,0.15,True
weighted_ce,18,-0.028941837613387485,-0.10412286192803957,0.04623918670126461,0.08,False
weighted_error,18,0.0005499674248849913,-0.002460440469097042,0.003560375318867024,0.03,True
weighted_h,18,-0.003155951904703827,-0.02226028143139257,0.015948377621984918,0.15,True
dlogZ_inf_dr,18,-0.05419982684971602,-0.19266292662521042,0.08426327292577837,10.18,True
ce_ref,18,3.8163916471489756e-17,0.0,3.8163916471489756e-17,1e-07,True
err_ref,18,0.0,0.0,0.0,1e-07,True
theta_ref_norm,18,2.842170943040401e-14,0.0,2.842170943040401e-14,1e-07,True
theta_ref_norm_sq,18,7.275957614183426e-12,0.0,7.275957614183426e-12,1e-07,True
kappa,18,8.881784197001252e-16,0.0,8.881784197001252e-16,1e-07,True
log_prefactor,18,0.0,0.0,0.0,1e-07,True
reference_prior_log_weight,18,8.881784197001252e-16,0.0,8.881784197001252e-16,1e-07,True
